Aṅguttara Nikāya 2 ||| Numbered Discourses 2.163–179
15. Samāpattivagga ||| The Chapter on Attainment
163 ||| 163
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Samāpattikusalatā ca samāpattivuṭṭhānakusalatā ca. ||| Skill in meditative attainments and skill in emerging from those attainments.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
164 ||| 164
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Ajjavañca maddavañca. ||| Integrity and tenderness.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
165 ||| 165
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Khanti ca soraccañca. ||| Patience and gentleness.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
166 ||| 166
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sākhalyañca paṭisanthāro ca. ||| Camaraderie and hospitality.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
167 ||| 167
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Avihiṁsā ca soceyyañca. ||| Harmlessness and purity.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
168 ||| 168
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Indriyesu aguttadvāratā ca bhojane amattaññutā ca. ||| Not guarding the sense doors and eating too much.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
169 ||| 169
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Indriyesu guttadvāratā ca bhojane mattaññutā ca. ||| Guarding the sense doors and moderation in eating.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
170 ||| 170
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Paṭisaṅkhānabalañca bhāvanābalañca. ||| The power of reflection and the power of development.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
171 ||| 171
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Satibalañca samādhibalañca. ||| The power of mindfulness and the power of immersion.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
172 ||| 172
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Samatho ca vipassanā ca. ||| Serenity and discernment.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
173 ||| 173
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sīlavipatti ca diṭṭhivipatti ca. ||| Failure in ethical conduct and failure in view.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
174 ||| 174
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sīlasampadā ca diṭṭhisampadā ca. ||| Accomplishment in ethical conduct and accomplishment in view.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
175 ||| 175
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sīlavisuddhi ca diṭṭhivisuddhi ca. ||| Purification of ethics and purification of view.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
176 ||| 176
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Diṭṭhivisuddhi ca yathādiṭṭhissa ca padhānaṁ. ||| Purification of view and making an effort in line with that view.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
177 ||| 177
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Asantuṭṭhitā ca kusalesu dhammesu, appaṭivānitā ca padhānasmiṁ. ||| To never be content with skillful qualities, and to never stop trying.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
178 ||| 178
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Muṭṭhassaccañca asampajaññañca. ||| Lack of mindfulness and lack of situational awareness.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
179 ||| 179
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Sati ca sampajaññañca. ||| Mindfulness and situational awareness.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
Samāpattivaggo pañcamo.
Tatiyo paṇṇāsako samatto.
