Aṅguttara Nikāya 5.287–292 ||| Numbered Discourses 5.287–292
28. Sikkhāpadapeyyāla ||| 28. Abbreviated Texts on Training Rules
Bhikkhunīsuttādi ||| A Nun
“Pañcahi, bhikkhave, dhammehi samannāgatā bhikkhunī …pe… sikkhamānā … sāmaṇero … sāmaṇerī … upāsako … upāsikā yathābhataṁ nikkhittā evaṁ niraye. ||| “A nun … trainee nun … novice monk … novice nun … layman … laywoman … with five qualities is placed in hell as if delivered there.
Katamehi pañcahi? ||| What five?
Pāṇātipātinī hoti, adinnādāyinī hoti, kāmesumicchācārinī hoti, musāvādinī hoti, surāmerayamajjapamādaṭṭhāyinī hoti. ||| They kill living creatures, steal, commit sexual misconduct, lie, and consume beer, wine, and liquor intoxicants.
Imehi kho, bhikkhave, pañcahi dhammehi samannāgatā upāsikā yathābhataṁ nikkhittā evaṁ niraye. ||| With these five qualities they’re placed in hell as if delivered there.
Pañcahi, bhikkhave, dhammehi samannāgatā upāsikā yathābhataṁ nikkhittā evaṁ sagge. ||| A nun … trainee nun … novice monk … novice nun … layman … laywoman … with five qualities is placed in heaven as if delivered there.
Katamehi pañcahi? ||| What five?
Pāṇātipātā paṭiviratā hoti, adinnādānā paṭiviratā hoti, kāmesumicchācārā paṭiviratā hoti, musāvādā paṭiviratā hoti, surāmerayamajjapamādaṭṭhānā paṭiviratā hoti. ||| They don’t kill living creatures, steal, commit sexual misconduct, lie, or consume beer, wine, and liquor intoxicants.
Imehi kho, bhikkhave, pañcahi dhammehi samannāgatā upāsikā yathābhataṁ nikkhittā evaṁ sagge”ti. ||| With these five qualities they’re placed in heaven as if delivered there.”
Sattamaṁ.
