Aṅguttara Nikāya 7 ||| Numbered Discourses 7
10. Āhuneyyavagga ||| 10. Worthy of Offerings
~ ||| Observing Impermanence in the Eye
“Sattime, bhikkhave, puggalā āhuneyyā …pe… dakkhiṇeyyā añjalikaraṇīyā anuttaraṁ puññakkhettaṁ lokassa. ||| “Mendicants, these seven individuals are worthy of offerings dedicated to the gods, worthy of hospitality, worthy of a religious donation, worthy of greeting with cupped palms, and are the supreme field of merit for the world.
Katame satta? ||| What seven?
Idha, bhikkhave, ekacco puggalo cakkhusmiṁ aniccānupassī viharati aniccasaññī aniccapaṭisaṁvedī satataṁ samitaṁ abbokiṇṇaṁ cetasā adhimuccamāno paññāya pariyogāhamāno. ||| First, take an individual who meditates observing impermanence in the eye. They perceive impermanence and experience impermanence. Constantly, continually, and without interruption, they apply the mind and fathom with wisdom.
So āsavānaṁ khayā anāsavaṁ cetovimuttiṁ paññāvimuttiṁ diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharati. ||| They realize the undefiled freedom of heart and freedom by wisdom in this very life. And they live having realized it with their own insight due to the ending of defilements.
Ayaṁ kho, bhikkhave, paṭhamo puggalo āhuneyyo pāhuneyyo …pe… anuttaraṁ puññakkhettaṁ lokassa. ||| This is the first individual who is worthy of offerings dedicated to the gods, worthy of hospitality, worthy of a religious donation, worthy of greeting with cupped palms, and is the supreme field of merit for the world.
Puna caparaṁ, bhikkhave, idhekacco puggalo cakkhusmiṁ aniccānupassī viharati aniccasaññī aniccapaṭisaṁvedī satataṁ samitaṁ abbokiṇṇaṁ cetasā adhimuccamāno paññāya pariyogāhamāno. ||| Next, take an individual who meditates observing impermanence in the eye. …
Tassa apubbaṁ acarimaṁ āsavapariyādānañca hoti jīvitapariyādānañca. ||| Their defilements and their life come to an end at exactly the same time.
Ayaṁ, bhikkhave, dutiyo puggalo āhuneyyo …pe… anuttaraṁ puññakkhettaṁ lokassa. ||| This is the second individual who is worthy of offerings …
Puna caparaṁ, bhikkhave, idhekacco puggalo cakkhusmiṁ aniccānupassī viharati aniccasaññī aniccapaṭisaṁvedī satataṁ samitaṁ abbokiṇṇaṁ cetasā adhimuccamāno paññāya pariyogāhamāno. ||| Next, take an individual who meditates observing impermanence in the eye. …
So pañcannaṁ orambhāgiyānaṁ saṁyojanānaṁ parikkhayā antarāparinibbāyī hoti …pe… ||| With the ending of the five lower fetters they’re extinguished between one life and the next. …
upahaccaparinibbāyī hoti …pe… ||| With the ending of the five lower fetters they’re extinguished upon landing. …
asaṅkhāraparinibbāyī hoti …pe… ||| With the ending of the five lower fetters they’re extinguished without extra effort. …
sasaṅkhāraparinibbāyī hoti …pe… ||| With the ending of the five lower fetters they’re extinguished with extra effort. …
uddhaṁsoto hoti akaniṭṭhagāmī. ||| With the ending of the five lower fetters they head upstream, going to the Akaniṭṭha realm. …
Ayaṁ, bhikkhave, sattamo puggalo āhuneyyo …pe… anuttaraṁ puññakkhettaṁ lokassa. ||| This is the seventh individual.
Ime kho, bhikkhave, satta puggalā āhuneyyā pāhuneyyā dakkhiṇeyyā añjalikaraṇīyā anuttaraṁ puññakkhettaṁ lokassā”ti. ||| These are the seven individuals who are worthy of offerings dedicated to the gods, worthy of hospitality, worthy of a religious donation, worthy of greeting with cupped palms, and are the supreme field of merit for the world.”
