Majjhima Nikāya 34 ||| Middle Discourses 34
Cūḷagopālakasutta ||| The Shorter Discourse on the Cowherd
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā vajjīsu viharati ukkacelāyaṁ gaṅgāya nadiyā tīre. ||| At one time the Buddha was staying in the land of the Vajjis near Ukkacelā on the bank of the Ganges river.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants,
“bhikkhavo”ti. ||| “Mendicants!”
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ. ||| “Venerable sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“Bhūtapubbaṁ, bhikkhave, māgadhako gopālako duppaññajātiko, vassānaṁ pacchime māse saradasamaye, asamavekkhitvā gaṅgāya nadiyā orimaṁ tīraṁ, asamavekkhitvā pārimaṁ tīraṁ, atittheneva gāvo patāresi uttaraṁ tīraṁ suvidehānaṁ. ||| “Once upon a time, mendicants, there was an unintelligent Magadhan cowherd. In the last month of the rainy season, in autumn, without inspecting the near shore or the far shore, he drove his cattle across a place with no ford on the Ganges river to the northern shore among the Suvidehans.
Atha kho, bhikkhave, gāvo majjhegaṅgāya nadiyā sote āmaṇḍaliyaṁ karitvā tattheva anayabyasanaṁ āpajjiṁsu. ||| But the cattle bunched up in mid-stream and came to ruin right there.
Taṁ kissa hetu? ||| Why is that?
Tathā hi so, bhikkhave, māgadhako gopālako duppaññajātiko, vassānaṁ pacchime māse saradasamaye, asamavekkhitvā gaṅgāya nadiyā orimaṁ tīraṁ, asamavekkhitvā pārimaṁ tīraṁ, atittheneva gāvo patāresi uttaraṁ tīraṁ suvidehānaṁ. ||| Because the unintelligent cowherd failed to inspect the shores before driving the cattle across at a place with no ford.
Evameva kho, bhikkhave, ye hi keci samaṇā vā brāhmaṇā vā akusalā imassa lokassa akusalā parassa lokassa, akusalā māradheyyassa akusalā amāradheyyassa, akusalā maccudheyyassa akusalā amaccudheyyassa, tesaṁ ye sotabbaṁ saddahātabbaṁ maññissanti, tesaṁ taṁ bhavissati dīgharattaṁ ahitāya dukkhāya. ||| In the same way, there are ascetics and brahmins who are unskilled in this world and the other world, unskilled in Māra’s dominion and its opposite, and unskilled in Death’s dominion and its opposite. If anyone thinks they are worth listening to and trusting, it will be for their lasting harm and suffering.
Bhūtapubbaṁ, bhikkhave, māgadhako gopālako sappaññajātiko, vassānaṁ pacchime māse saradasamaye, samavekkhitvā gaṅgāya nadiyā orimaṁ tīraṁ, samavekkhitvā pārimaṁ tīraṁ, tittheneva gāvo patāresi uttaraṁ tīraṁ suvidehānaṁ. ||| Once upon a time, mendicants, there was an intelligent Magadhan cowherd. In the last month of the rainy season, in autumn, after inspecting the near shore and the far shore, he drove his cattle across a ford on the Ganges river to the northern shore among the Suvidehans.
So paṭhamaṁ patāresi ye te usabhā gopitaro gopariṇāyakā. ||| First he drove across the bulls, the fathers and captains of the herd.
Te tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu. ||| They breasted the stream of the Ganges and safely reached the far shore.
Athāpare patāresi balavagāvo dammagāvo. ||| Then he drove across the strong and tractable cattle.
Tepi tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu. ||| They too breasted the stream of the Ganges and safely reached the far shore.
Athāpare patāresi vacchatare vacchatariyo. ||| Then he drove across the bullocks and heifers.
Tepi tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu. ||| They too breasted the stream of the Ganges and safely reached the far shore.
Athāpare patāresi vacchake kisābalake. ||| Then he drove across the calves and weak cattle.
Tepi tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu. ||| They too breasted the stream of the Ganges and safely reached the far shore.
Bhūtapubbaṁ, bhikkhave, vacchako taruṇako tāvadeva jātako mātugoravakena vuyhamāno, sopi tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamāsi. ||| Once it happened that a baby calf had just been born. Urged on by its mother’s lowing, even it managed to breast the stream of the Ganges and safely reach the far shore.
Taṁ kissa hetu? ||| Why is that?
Tathā hi so, bhikkhave, māgadhako gopālako sappaññajātiko, vassānaṁ pacchime māse saradasamaye, samavekkhitvā gaṅgāya nadiyā orimaṁ tīraṁ, samavekkhitvā pārimaṁ tīraṁ, tittheneva gāvo patāresi uttaraṁ tīraṁ suvidehānaṁ. ||| Because the intelligent cowherd inspected both shores before driving the cattle across at a ford.
Evameva kho, bhikkhave, ye hi keci samaṇā vā brāhmaṇā vā kusalā imassa lokassa kusalā parassa lokassa, kusalā māradheyyassa kusalā amāradheyyassa, kusalā maccudheyyassa kusalā amaccudheyyassa, tesaṁ ye sotabbaṁ saddahātabbaṁ maññissanti, tesaṁ taṁ bhavissati dīgharattaṁ hitāya sukhāya. ||| In the same way, there are ascetics and brahmins who are skilled in this world and the other world, skilled in Māra’s dominion and its opposite, and skilled in Death’s dominion and its opposite. If anyone thinks they are worth listening to and trusting, it will be for their lasting welfare and happiness.
Seyyathāpi, bhikkhave, ye te usabhā gopitaro gopariṇāyakā te tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu; ||| Just like the bulls, fathers and captains of the herd, who crossed the Ganges to safety
evameva kho, bhikkhave, ye te bhikkhū arahanto khīṇāsavā vusitavanto katakaraṇīyā ohitabhārā anuppattasadatthā parikkhīṇabhavasaṁyojanā sammadaññāvimuttā, te tiriyaṁ mārassa sotaṁ chetvā sotthinā pāraṅgatā. ||| are the mendicants who are perfected, who have ended the defilements, completed the spiritual journey, done what had to be done, laid down the burden, achieved their heart’s goal, utterly ended the fetter of continued existence, and are rightly freed through enlightenment. Having breasted Māra’s stream, they have safely crossed over to the far shore.
Seyyathāpi te, bhikkhave, balavagāvo dammagāvo tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu; ||| Just like the strong and tractable cattle who crossed the Ganges to safety
evameva kho, bhikkhave, ye te bhikkhū pañcannaṁ orambhāgiyānaṁ saṁyojanānaṁ parikkhayā opapātikā tattha parinibbāyino anāvattidhammā tasmā lokā, tepi tiriyaṁ mārassa sotaṁ chetvā sotthinā pāraṁ gamissanti. ||| are the mendicants who, with the ending of the five lower fetters, are reborn spontaneously. They’re extinguished there, and are not liable to return from that world. They too, having breasted Māra’s stream, will safely cross over to the far shore.
Seyyathāpi te, bhikkhave, vacchatarā vacchatariyo tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu; ||| Just like the bullocks and heifers who crossed the Ganges to safety
evameva kho, bhikkhave, ye te bhikkhū tiṇṇaṁ saṁyojanānaṁ parikkhayā rāgadosamohānaṁ tanuttā sakadāgāmino sakideva imaṁ lokaṁ āgantvā dukkhassantaṁ karissanti, tepi tiriyaṁ mārassa sotaṁ chetvā sotthinā pāraṁ gamissanti. ||| are the mendicants who, with the ending of three fetters, and the weakening of greed, hate, and delusion, are once-returners. They come back to this world once only, then make an end of suffering. They too, having breasted Māra’s stream, will safely cross over to the far shore.
Seyyathāpi te, bhikkhave, vacchakā kisābalakā tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamaṁsu; ||| Just like the calves and weak cattle who crossed the Ganges to safety
evameva kho, bhikkhave, ye te bhikkhū tiṇṇaṁ saṁyojanānaṁ parikkhayā sotāpannā avinipātadhammā niyatā sambodhiparāyanā, tepi tiriyaṁ mārassa sotaṁ chetvā sotthinā pāraṁ gamissanti. ||| are the mendicants who, with the ending of three fetters are stream-enterers, not liable to be reborn in the underworld, assured, destined for awakening. They too, having breasted Māra’s stream, will safely cross over to the far shore.
Seyyathāpi so, bhikkhave, vacchako taruṇako tāvadeva jātako mātugoravakena vuyhamāno tiriyaṁ gaṅgāya sotaṁ chetvā sotthinā pāraṁ agamāsi; ||| Just like the baby calf who had just been born, but, urged on by its mother’s lowing, still managed to cross the Ganges to safety
evameva kho, bhikkhave, ye te bhikkhū dhammānusārino saddhānusārino, tepi tiriyaṁ mārassa sotaṁ chetvā sotthinā pāraṁ gamissanti. ||| are the mendicants who are followers of teachings, followers by faith. They too, having breasted Māra’s stream, will safely cross over to the far shore.
Ahaṁ kho pana, bhikkhave, kusalo imassa lokassa kusalo parassa lokassa, kusalo māradheyyassa kusalo amāradheyyassa, kusalo maccudheyyassa kusalo amaccudheyyassa. Tassa mayhaṁ, bhikkhave, ye sotabbaṁ saddahātabbaṁ maññissanti, tesaṁ taṁ bhavissati dīgharattaṁ hitāya sukhāyā”ti. ||| Mendicants, I am skilled in this world and the other world, skilled in Māra’s dominion and its opposite, and skilled in Death’s dominion and its opposite. If anyone thinks I am worth listening to and trusting, it will be for their lasting welfare and happiness.”
Idamavoca bhagavā. ||| That is what the Buddha said.
Idaṁ vatvā sugato athāparaṁ etadavoca satthā: ||| Then the Holy One, the Teacher, went on to say:
“Ayaṁ loko paro loko, ||| “This world and the other world
jānatā suppakāsito; ||| have been clearly explained by one who knows;
Yañca mārena sampattaṁ, ||| as well as Māra’s reach,
appattaṁ yañca maccunā. ||| and what’s out of Death’s reach.
Sabbaṁ lokaṁ abhiññāya, ||| Directly knowing the whole world,
sambuddhena pajānatā; ||| the Buddha who understands
Vivaṭaṁ amatadvāraṁ, ||| has opened the door to freedom from death,
khemaṁ nibbānapattiyā. ||| for finding the sanctuary, extinguishment.
Chinnaṁ pāpimato sotaṁ, ||| The Wicked One’s stream has been cut,
Viddhastaṁ vinaḷīkataṁ; ||| it’s blown away and mown down.
Pāmojjabahulā hotha, ||| Be full of joy, mendicants,
Khemaṁ pattattha bhikkhavo”ti. ||| set your heart on sanctuary!”
Cūḷagopālakasuttaṁ niṭṭhitaṁ catutthaṁ.
