Saṁyutta Nikāya 32.3–12 ||| Linked Discourses 32.3–12
1. Valāhakavagga ||| 1. Gods of the Thunderclouds
Sītavalāhakadānūpakārasuttadasaka ||| Ten Discourses On How Giving Helps to Become a Cool Thundercloud God
Sāvatthinidānaṁ. ||| At Sāvatthī.
Ekamantaṁ nisinno kho so bhikkhu bhagavantaṁ etadavoca: ||| Seated to one side, that mendicant said to the Buddha:
“ko nu kho, bhante, hetu, ko paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā sītavalāhakānaṁ devānaṁ sahabyataṁ upapajjatī”ti? ||| “Sir, what is the cause, what is the reason why someone, when their body breaks up, after death, is reborn in the company of the gods of cool thunderclouds?”
“Idha, bhikkhu, ekacco kāyena sucaritaṁ carati, vācāya sucaritaṁ carati, manasā sucaritaṁ carati. ||| “Mendicant, it’s when someone does good things by way of body, speech, and mind.
Tassa sutaṁ hoti: ||| And they’ve heard:
‘sītavalāhakā devā dīghāyukā vaṇṇavanto sukhabahulā’ti. ||| ‘The gods of cool thunderclouds are long-lived, beautiful, and very happy.’
Tassa evaṁ hoti: ||| They think:
‘aho vatāhaṁ kāyassa bhedā paraṁ maraṇā sītavalāhakānaṁ devānaṁ sahabyataṁ upapajjeyyan’ti. ||| ‘If only, when my body breaks up, after death, I would be reborn in the company of the gods of the cool thunderclouds!’
So annaṁ deti …pe… ||| They give food …
padīpeyyaṁ deti. ||| a lamp.
So kāyassa bhedā paraṁ maraṇā sītavalāhakānaṁ devānaṁ sahabyataṁ upapajjati. ||| When their body breaks up, after death, they’re reborn in the company of the gods of cool thunderclouds.
Ayaṁ kho, bhikkhu, hetu, ayaṁ paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā sītavalāhakānaṁ devānaṁ sahabyataṁ upapajjatī”ti. ||| This is the cause, this is the reason why someone, when their body breaks up, after death, is reborn in the company of the gods of cool thunderclouds.”
Dvādasamaṁ.
