Saṁyutta Nikāya 35.88 ||| Linked Discourses 35.88
9. Channavagga ||| 9. With Channa
Puṇṇasutta ||| With Puṇṇa
Atha kho āyasmā puṇṇo yena bhagavā tenupasaṅkami; upasaṅkamitvā …pe… ekamantaṁ nisinno kho āyasmā puṇṇo bhagavantaṁ etadavoca: ||| And then Venerable Puṇṇa went up to the Buddha, bowed, sat down to one side, and said to him:
“sādhu me, bhante, bhagavā saṅkhittena dhammaṁ desetu, yamahaṁ bhagavato dhammaṁ sutvā eko vūpakaṭṭho appamatto ātāpī pahitatto vihareyyan”ti. ||| “Sir, may the Buddha please teach me Dhamma in brief. When I’ve heard it, I’ll live alone, withdrawn, diligent, keen, and resolute.”
“Santi kho, puṇṇa, cakkhuviññeyyā rūpā iṭṭhā kantā manāpā piyarūpā kāmūpasaṁhitā rajanīyā. ||| “Puṇṇa, there are sights known by the eye, which are likable, desirable, agreeable, pleasant, sensual, and arousing.
Tañce bhikkhu abhinandati abhivadati ajjhosāya tiṭṭhati. ||| If a mendicant approves, welcomes, and keeps clinging to them,
Tassa taṁ abhinandato abhivadato ajjhosāya tiṭṭhato uppajjati nandī. ||| this gives rise to relishing.
‘Nandisamudayā dukkhasamudayo, puṇṇā’ti vadāmi …pe… ||| Relishing is the origin of suffering, I say.
santi kho, puṇṇa, jivhāviññeyyā rasā …pe… ||| There are sounds … smells … tastes … touches …
santi kho, puṇṇa, manoviññeyyā dhammā iṭṭhā kantā manāpā piyarūpā kāmūpasaṁhitā rajanīyā. ||| There are ideas known by the mind, which are likable, desirable, agreeable, pleasant, sensual, and arousing.
Tañce bhikkhu abhinandati abhivadati ajjhosāya tiṭṭhati. ||| If a mendicant approves, welcomes, and keeps clinging to them,
Tassa taṁ abhinandato abhivadato ajjhosāya tiṭṭhato uppajjati nandī. ||| this gives rise to relishing.
‘Nandisamudayā dukkhasamudayo, puṇṇā’ti vadāmi. ||| Relishing is the origin of suffering, I say.
Santi kho, puṇṇa, cakkhuviññeyyā rūpā iṭṭhā kantā manāpā piyarūpā kāmūpasaṁhitā rajanīyā. ||| There are sights known by the eye, which are likable, desirable, agreeable, pleasant, sensual, and arousing.
Tañce bhikkhu nābhinandati nābhivadati nājjhosāya tiṭṭhati, tassa taṁ anabhinandato anabhivadato anajjhosāya tiṭṭhato nirujjhati nandī. ||| If a mendicant doesn’t approve, welcome, and keep clinging to them, relishing ceases.
‘Nandinirodhā dukkhanirodho, puṇṇā’ti vadāmi …pe… ||| When relishing ceases, suffering ceases, I say. …
santi kho, puṇṇa, manoviññeyyā dhammā iṭṭhā kantā manāpā piyarūpā kāmūpasaṁhitā rajanīyā. ||| There are ideas known by the mind, which are likable, desirable, agreeable, pleasant, sensual, and arousing.
Tañce bhikkhu nābhinandati nābhivadati nājjhosāya tiṭṭhati, tassa taṁ anabhinandato anabhivadato anajjhosāya tiṭṭhato nirujjhati nandī. ||| If a mendicant doesn’t approve, welcome, and keep clinging to them, relishing ceases.
‘Nandinirodhā dukkhanirodho, puṇṇā’ti vadāmi. ||| When relishing ceases, suffering ceases, I say.
Iminā tvaṁ, puṇṇa, mayā saṅkhittena ovādena ovadito katamasmiṁ janapade viharissasī”ti? ||| Puṇṇa, now that I’ve given you this brief advice, what country will you live in?”
“Atthi, bhante, sunāparanto nāma janapado, tatthāhaṁ viharissāmī”ti. ||| “Sir, there’s a country named Sunāparanta; I will live there.”
“Caṇḍā kho, puṇṇa, sunāparantakā manussā; ||| “The people of Sunāparanta are wild and rough, Puṇṇa.
pharusā kho, puṇṇa, sunāparantakā manussā.
Sace taṁ, puṇṇa, sunāparantakā manussā akkosissanti paribhāsissanti, tatra te, puṇṇa, kinti bhavissatī”ti? ||| If they abuse and insult you, what will you think of them?”
“Sace maṁ, bhante, sunāparantakā manussā akkosissanti paribhāsissanti, tatra me evaṁ bhavissati: ||| “If they abuse and insult me, I will think:
‘bhaddakā vatime sunāparantakā manussā, subhaddakā vatime sunāparantakā manussā, yaṁ me nayime pāṇinā pahāraṁ dentī’ti. ||| ‘These people of Sunāparanta are gracious, truly gracious, since they don’t hit me with their fists.’
Evamettha, bhagavā, bhavissati; ||| That’s what I’ll think, Blessed One.
evamettha, sugata, bhavissatī”ti. ||| That’s what I’ll think, Holy One.”
“Sace pana te, puṇṇa, sunāparantakā manussā pāṇinā pahāraṁ dassanti, tatra pana te, puṇṇa, kinti bhavissatī”ti? ||| “But if they do hit you with their fists, what will you think of them then?”
“Sace me, bhante, sunāparantakā manussā pāṇinā pahāraṁ dassanti, tatra me evaṁ bhavissati: ||| “If they hit me with their fists, I’ll think:
‘bhaddakā vatime sunāparantakā manussā, subhaddakā vatime sunāparantakā manussā, yaṁ me nayime leḍḍunā pahāraṁ dentī’ti. ||| ‘These people of Sunāparanta are gracious, truly gracious, since they don’t throw stones at me.’
Evamettha, bhagavā, bhavissati; ||| That’s what I’ll think, Blessed One.
evamettha, sugata, bhavissatī”ti. ||| That’s what I’ll think, Holy One.”
“Sace pana te, puṇṇa, sunāparantakā manussā leḍḍunā pahāraṁ dassanti, tatra pana te, puṇṇa, kinti bhavissatī”ti? ||| “But if they do throw stones at you, what will you think of them then?”
“Sace me, bhante, sunāparantakā manussā leḍḍunā pahāraṁ dassanti, tatra me evaṁ bhavissati: ||| “If they throw stones at me, I’ll think:
‘bhaddakā vatime sunāparantakā manussā, subhaddakā vatime sunāparantakā manussā, yaṁ me nayime daṇḍena pahāraṁ dentī’ti. ||| ‘These people of Sunāparanta are gracious, truly gracious, since they don’t beat me with a club.’
Evamettha, bhagavā, bhavissati; ||| That’s what I’ll think, Blessed One.
evamettha, sugata, bhavissatī”ti. ||| That’s what I’ll think, Holy One.”
“Sace pana puṇṇa, sunāparantakā manussā daṇḍena pahāraṁ dassanti, tatra pana te, puṇṇa, kinti bhavissatī”ti? ||| “But if they do beat you with a club, what will you think of them then?”
“Sace me, bhante, sunāparantakā manussā daṇḍena pahāraṁ dassanti, tatra me evaṁ bhavissati: ||| “If they beat me with a club, I’ll think:
‘bhaddakā vatime sunāparantakā manussā, subhaddakā vatime sunāparantakā manussā, yaṁ me nayime satthena pahāraṁ dentī’ti. ||| ‘These people of Sunāparanta are gracious, truly gracious, since they don’t stab me with a knife.’
Evamettha, bhagavā, bhavissati; ||| That’s what I’ll think, Blessed One.
evamettha, sugata, bhavissatī”ti. ||| That’s what I’ll think, Holy One.”
“Sace pana te, puṇṇa, sunāparantakā manussā satthena pahāraṁ dassanti, tatra pana te, puṇṇa, kinti bhavissatī”ti? ||| “But if they do stab you with a knife, what will you think of them then?”
“Sace me, bhante, sunāparantakā manussā satthena pahāraṁ dassanti, tatra me evaṁ bhavissati: ||| “If they stab me with a knife, I’ll think:
‘bhaddakā vatime sunāparantakā manussā, subhaddakā vatime sunāparantakā manussā, yaṁ maṁ nayime tiṇhena satthena jīvitā voropentī’ti. ||| ‘These people of Sunāparanta are gracious, truly gracious, since they don’t take my life with a sharp knife.’
Evamettha, bhagavā, bhavissati; ||| That’s what I’ll think, Blessed One.
evamettha, sugata, bhavissatī”ti. ||| That’s what I’ll think, Holy One.”
“Sace pana taṁ, puṇṇa, sunāparantakā manussā tiṇhena satthena jīvitā voropessanti, tatra pana te, puṇṇa, kinti bhavissatī”ti? ||| “But if they do take your life with a sharp knife, what will you think of them then?”
“Sace maṁ, bhante, sunāparantakā manussā tiṇhena satthena jīvitā voropessanti, tatra me evaṁ bhavissati: ||| “If they take my life with a sharp knife, I’ll think:
