འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all the buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན་འདི་ལྟ་སྟེ། བསམ་གཏན་པ་རྣམས་ཀྱི་གནས། གནས་མེད་པ་རྣམས་ཀྱི་གནས། སྟོང་པ་ཉིད་ལ་གནས་པ་རྣམས་ཀྱི་གནས། མཚན་མ་མེད་པ་ལ་གནས་པ་དང་། སྨོན་པ་མེད་པ་ལ་གནས་པ་རྣམས་ཀྱི་གནས་ན་འདི་ལྟ་སྟེ། དགེ་སློང་འབུམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was at the Kalandaka­nivāpa in the Veṇuvana, near Rājagṛha—an abode for those who practice concentration, an abode for those who do not abide, an abode for those who dwell in emptiness, an abode for those who dwell in signlessness, and an abode for those who dwell in wishlessness. The Blessed One was there together with a great saṅgha of one hundred thousand monks,
ཐམས་ཅད་ཀྱང་སྒྲ་བསྐྱུངས་པ། དབེན་པ་ལ་གནས་པ། ནང་དུ་ཡང་དག་འཇོག་ལ་མངོན་པར་བརྩོན་པ་ཤ་སྟག་གོ། ། ||| all of whom talked only little, remained in solitude, and diligently practiced meditative seclusion.
དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་ ||| At one point the venerable Śāradvatī­putra rose from his meditative seclusion and went before the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| He bowed his head to the Blessed One’s feet and then sat to one side.
ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་ཀཱ་ཏྱཱའི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་གསུས་པོ་ཆེ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་ཀ་པི་ན་དང་། ཚེ་དང་ལྡན་པ་སྐུལ་བྱེད་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་རབ་འབྱོར་དང་། ཚེ་དང་ལྡན་པ་དོན་ཡོད་རྒྱལ་པོ་དང་། ཚེ་དང་ལྡན་པ་རླངས་པ་དང་། ཚེ་དང་ལྡན་པ་དགའ་བོ་དང་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། ཚེ་དང་ལྡན་པ་དགའ་བྱེད་དང་། ཚེ་དང་ལྡན་པ་ཅི་འཇིགས་དང་། ཚེ་དང་ལྡན་པ་ཉེ་སྦས་དང་། ཚེ་དང་ལྡན་པ་མིས་བྱིན་གྱི་བུ་དང་། ཚེ་དང་ལྡན་པ་ཐང་ལ་གནས་པ་དང་། ཚེ་དང་ལྡན་པ་མོ་ཀི་ལ་དང་། ཚེ་དང་ལྡན་པ་ཉེ་བར་འཁོར་དང་། དེ་དག་དང་གཞན་ཡང་དབང་དང་ལྡན་པར་གྱུར་པ་ལྔ་བརྒྱ་ཐམ་པ་ཕྱེ་མ་རེད་ཀྱི་དུས་ཀྱི་ཚེ་ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ནསབཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Likewise did the venerable Mahā­maudgalyā­yana, the venerable Mahākātyāyana, the venerable Mahākauṣṭhila, the venerable Kapphiṇa, the venerable Mahācunda, the venerable Subhūti, the venerable Amogharāja, the venerable Vāṣpa, the venerable Nanda, the venerable Ānanda, the venerable Nandaka, the venerable Kimbhīra, the venerable Upagupta, the venerable Nārada, the venerable Vasiṣṭha, the venerable Mokila, and the venerable Upāli, along with five hundred others who had all gained mastery. They all now rose from their afternoon meditation session and went before the Blessed One, bowed their heads to his feet, and sat to one side.
ཡང་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་གྲགས་སྦྱིན་དང་། ཚེ་དང་ལྡན་པ་ཡུལ་འཁོར་སྐྱོང་དང་། ཚེ་དང་ལྡན་པ་ལས་མཆོད་དང་། ཚེ་དང་ལྡན་པ་གྲགས་འདོད་དང་། ཚེ་དང་ལྡན་པ་དགའ་སྡེ་དང་། ཚེ་དང་ལྡན་པ་དགའ་འདོད་དང་། དེ་དག་དང་གཞན་ཡང་དགེ་སློང་ལྔ་བརྒྱ་ཐམ་པ་ལམ་དུ་ཞུགས་པ་ལས་དབྱར་མཉན་ཡོད་ན་གནས་ནས ||| A party including the venerable Yaśodatta , the venerable Dhṛtarāṣṭra, the venerable Marutpūjita, the venerable Yaśaskāma, the venerable Nandisena, the venerable Nandikāma, and five hundred other monks had been traveling from Śrāvastī where they had spent the rainy season.
རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Now they arrived at the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha. They also went before the Blessed One, bowed their heads to his feet, and sat to one side.
ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་དེ་དང་འདྲ་བའི་བྱང་ཆུབ་སེམས་དཔའ་སྟོང་དང་ལྷན་ཅིག་ཏུ་ཡུལ་ཙམ་པར་དབྱར་གནས་ནས་ལམ་དུ་ཞུགས་ཏེ། ||| At that time another party consisting of the bodhisattva great being Ajita and one thousand bodhisattvas like him were likewise on the way from Campā where they had stayed during the rains retreat.
