༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་རཏྣ་ཀོ་ཊི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Infinite Jewels
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་ལྔ་བརྒྱ་ཐམ་པའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling on Vulture Peak Mountain near Rājagṛha, together with a great saṅgha of five hundred monks.
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་མཚན་མོ་སྲོད་ལ་བཅོམ་ལྡན་འདས་ཀྱི་བཞུགས་ཁང་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཞུགས་ཁང་གི་སྒོ་དྲུང་ན་འགྲེང་སྟེ་བཅོམ་ལྡན་འདས་ལ་སྡོད་དོ། ||| At dusk Youthful Mañjuśrī went to the Blessed One’s residence, stood at the door, and praised the Blessed One.
།དེའི་ཚེ་བཅོམ་ལྡན་འདས་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ། ||| At that time, the Blessed One was resting in equipoise in the absorption known as infinite jewels.
།དེ་ནས་བཅོམ་ལྡན་འདས་དྲན་པ་དང་མཁྱེན་བཞིན་དུ་ཏིང་ངེ་འཛིན་དེ་ལས་བཞེངས་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་སྒོ་ན་འདུག་པ་གཟིགས་སོ། །གཟིགས་ནས་ཀྱང་འཇམ་དཔལ་ཁྱོད་ནང་དུ་ཤོག་ཅེས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| Mindful and alert, the Blessed One then arose from that absorption. He saw that Youthful Mañjuśrī was at the door and said, “Please come inside, Mañjuśrī.”
།བཅོམ་ལྡན་འདས་ལེགས་སོ་ལེགས་སོ་ཞེས་གསོལ་ཏེ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་མཉན་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| “Very well, Blessed One, very well,” replied Youthful Mañjuśrī, and, heeding the Blessed One’s words, he went before the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འགྲེང་ངོ་། ||| He prostrated, placing his head at the Blessed One’s feet, and stood to one side.
།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ཕྱོགས་གཅིག་ཏུ་འགྲེང་བ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་སྟན་ལ་འདུག་ཅེས་གནང་བ་མཛད་དོ། །བཅོམ་ལྡན་འདས་ཀྱིས་གནང་བས་དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| The Blessed One gave Youthful Mañjuśrī permission to sit, and, with the Blessed One’s permission, Youthful Mañjuśrī bowed with palms joined and then sat to one side of the Blessed One.
།ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ད་གདོད་ཏིང་ངེ་འཛིན་གང་གིས་བཞུགས་བཞུགས་པ་ལས་བཞེངས་ལགས། ||| Sitting to one side, Youthful Mañjuśrī asked the Blessed One, “What was the absorption from which you just arose, Blessed One?”
