༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་བརྞྞ་བཱ་ལུ་ཀོ་པ་མ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་གསེར་གྱི་བྱེ་མ་ལྟ་བུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Like Gold Dust
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་མང་པོ་དག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was staying at Prince Jeta’s Grove, Anāthapiṇḍada’s park in Śrāvastī, along with a great saṅgha of 1,250 monks and many thousands of bodhisattvas.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྟན་ལས་ལངས་ཏེ་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཅི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་དཔག་ཏུ་མ་མཆིས་པ་ལགས་སམ། ||| Venerable Ānanda rose from his seat, draped his upper robe over one shoulder, placed his right knee on the ground, and bowing toward the Blessed One with palms pressed together, asked the Blessed One, “Blessed One, are thus-gone, worthy, perfectly complete buddhas limitless?
བཅོམ་ལྡན་འདས་ཅི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཡོན་ཏན་དཔག་ཏུ་མ་མཆིས་པ་དང་ལྡན་ལགས་སམ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Blessed One, do thus-gone, worthy, perfectly complete buddhas possess limitless good qualities?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་དཔག་ཏུ་མེད་དོ། ། ||| The Blessed One replied to Venerable Ānanda, “Ānanda, thus-gone, worthy, perfectly complete buddhas are limitless.
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་ཡོན་ཏན་དཔག་ཏུ་མེད་པ་དང་ལྡན་ནོ། ། ||| Ānanda, thus-gone, worthy, perfectly complete buddhas possess limitless good qualities.”
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ལན་གཉིས་སུ་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཅི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་དཔག་ཏུ་མ་མཆིས་པ་ལགས་སམ། ||| Venerable Ānanda then asked the Blessed One a second time, “Blessed One, are thus-gone, worthy, perfectly complete buddhas limitless?
བཅོམ་ལྡན་འདས་ཅི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཡོན་ཏན་དཔག་ཏུ་མ་མཆིས་པ་དང་ལྡན་ལགས་སམ། ||| Blessed One, do thus-gone, worthy, perfectly complete buddhas possess limitless good qualities?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་ལན་གཉིས་ལན་གསུམ་དུ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་དཔག་ཏུ་མེད་དོ། ། ||| The Blessed One replied to Venerable Ānanda a second, and also a third time, “Yes, Ānanda, thus-gone, worthy, perfectly complete buddhas are limitless.
