༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
བམ་པོ་དང་པོ།
།སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| I pay homage to all the buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus have I heard at one time:
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན། བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་འབུམ་དུ་ཚང་བའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། །བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་བརྒྱད་ཅུ་དང་ཡང་ཐབས་ཅིག་སྟེ། ཐམས་ཅད་ཀྱང་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ། མངོན་པར་ཤེས་པས་མངོན་པར་ཤེས་པ། ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་དག་ནས་འདུས་པ། ||| The Bhagavān was residing at Vulture Peak Mountain in Rājagṛha together with a great bhikṣu saṅgha of a full hundred thousand bhikṣus, and together with eighty quintillion bodhisattvas, all of whom had one rebirth remaining, were renowned for their higher cognitions, and had gathered there from the worlds in the ten directions;
གཟུངས་དང་མདོ་སྡེ་རྟོགས་པར་ཁོང་དུ་ཆུད་པ། ||| they had complete mastery of the dhāraṇīs and sūtras;
སེམས་ཅན་ཐམས་ཅད་ལ་ཆོས་ཀྱི་སྦྱིན་པས་ཚིམ་པར་བྱེད་པ། ||| they satisfied all beings with the gift of the Dharma;
མངོན་པར་ཤེས་པ་ཆེན་པོའི་ཡེ་ཤེས་བརྗོད་པ་ལ་མཁས་པ། ||| they were skilled in speaking of the wisdom of the higher cognitions;
ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ། ||| they had attained the highest perfection of all the highest perfections;
བྱང་ཆུབ་སེམས་དཔའི་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པ་ཐམས་ཅད་རྣམ་པར་གཞག་པ་ཤེས་པ་ལ་མཁས་པ། ||| they were skilled in the knowledge of remaining in all bodhisattva samādhis and samāpattis;
སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་བསྟོད་ཅིང་བསྔགས་ཏེ་རབ་ཏུ་བཀུར་བ། སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་དུ་རྫུ་འཕྲུལ་གྱིས་འགྲོ་བ་ལ་མཁས་པ། ||| they had been praised, extolled, and lauded by all the buddhas; they were skilled in miraculously going to all buddha realms;
