༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་དེ་ཉིད་ཀྱི་དུས་ཀྱི་ཚེ་ཀུ་ཤའི་གྲོང་ཁྱེར་ན་གྱད་རྣམས་དང་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་ཚལ་ན་ཤིང་སཱ་ལ་ཟུང་གི་བར་ན་བཞུགས་སོ། ། ||| At the time of his parinirvāṇa, the Blessed One was resting between a pair of śāla trees in the Yamakaśāla Grove near Kuśinagara, in the country of the Mallas. At this time, Venerable Ānanda went to see the Blessed One.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་ཐལ་མོ་སྦྱར་ཏེ་བཅོམ་ལྡན་འདས་ལ་མིག་མི་འཛུམས་པར་རྟོག་ཅིང་འདུག་གོ། ། ||| When he came into his presence, he joined his palms together and then stood there looking at the Blessed One with his eyes wide open.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། གོའུ་ཏ་མའི་བུ་ཁྱོད་ཅིའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལ་མིག་མི་འཛུམས་པར་རྟོག་པར་བྱེད། ||| The Blessed One asked Venerable Ānanda, “Son of Gautama, why are you looking at the Thus-Gone One with your eyes wide open?”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་མདང་བདག་གིས་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་སྔ་ལྟས་གཡར་ལམ་འཇིགས་པ་ཆེན་པོ་འཇིགས་སུ་རུང་བ་སྤུ་ཟིང་ཞེས་བགྱིད་པ་ཞིག་རྨིས་ལགས་ཏེ། ||| Venerable Ānanda replied, “Blessed One, I had a terrifying dream last night, a premonition of the Thus-Gone One’s parinirvāṇa, so terrifying that it made the hairs of my body stand on end.
བཅོམ་ལྡན་འདས་བདག་གཡར་ལམ་དེ་རྨིས་ནས་བཅོམ་ལྡན་འདས་ཤིན་ཏུ་མྱུར་བར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་མི་འགྱུར་ལགས་གྲང་སྙམ་ནས་དེའི་སླད་དུ་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་བ་དང་། མྱ་ངན་གྱི་ཟུག་རྔུས་གཟིར་བར་གྱུར་ལགས་སོ། ། ||| Blessed One, ever since this dream I have been worried that the Blessed One may soon pass into parinirvāṇa, and because of this I have been miserable, unhappy, and pained by sorrow.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གོའུ་ཏ་མའི་བུ་ཁྱོད་ཀྱི་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་སྔ་ལྟས་འཇིགས་པ་ཇི་ལྟ་བུ་ཞིག་རྨིས། ||| The Blessed One said, “Son of Gautama, what was this terrifying dream of yours, portending the Thus-Gone One’s parinirvāṇa?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། སཱ་ལའི་ཚལ་ཁྲོད་འདི་ཉིད་དུ། །འཇིག་རྟེན་མགོན་པོའི་ལྟས་སུ་ནི། །ཁྱོད་ཀྱིས་རྨི་ལམ་ཅི་རྨིས་པ། །དྲིས་པ་དེ་ནི་ང་ལ་སྨྲོས། ། ||| The Blessed One also asked this to Venerable Ānanda in verse: “Answer this question, Here in this grove of śāla trees: What was this dream of yours, With its premonition about the world protector?”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། མདང་སུམ་བདག་གི་གཡར་ལམ་ན། །འཇིགས་སུ་རུང་ཞིང་དངངས་བགྱིད་ལ། །སྤུ་ཟིང་བགྱིད་པ་རྨིས་གྱུར་པ། ། ||| Venerable Ānanda replied to the Blessed One in verse: “This was my dream last night— It was terrifying, it scared me, It made my hairs stand on end.
