འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སངས་རྒྱས་ཀྱི་ཞིང་ཐ་དད་པ་ནས་འདུས་པའི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Blessed One was dwelling in Rājagṛha at Vulture Peak Mountain together with a great bodhisattva saṅgha of bodhisattva great beings who had gathered there from various buddha realms.
ཐམས་ཅད་ཀྱང་བདུད་དང་ཕྱིར་རྒོལ་བ་བཅོམ་པ། ||| Every one of them had conquered the demons and all adversaries.
ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱི་བག་ཆགས་ཀྱི་ཀུན་ཏུ་རྒྱུ་བ་ལས་རིང་དུ་གྱུར་པ། ||| They were far removed from the fluctuations of the habitual tendencies of all disturbing emotions and subsidiary disturbing emotions.
བསམས་བཞིན་དུ་སྲིད་པར་སྐྱེ་བ་ཀུན་ཏུ་སྟོན་པ་ལ་དབང་ཆེན་པོའི་ས་ཐོབ་པ། ||| They had attained the level of great mastery where one can demonstrate birth into existence at will.
བསྐལ་པ་དཔག་ཏུ་མེད་པར་ལུས་དང་གནས་གཏོང་བའི་དབང་ཐོབ་པ། ||| They had attained the power that springs from giving away their bodies and abodes throughout limitless eons.
བདུད་ཀྱི་ལས་ཚད་མེད་པ་དང་བར་དུ་གཅོད་པ་ཐམས་ཅད་ཤིན་ཏུ་རབ་ཏུ་རྟོགས་པ། ||| They had realized the limitless workings of the demons along with all obstacles.
སེམས་ཅན་ཐམས་ཅད་ཀྱི་དོན་ཐམས་ཅད་ཐོབ་པར་བྱ་བའི་ཐབས་ཀྱི་ཆོ་ག་ཤེས་པ། ||| They knew the conduct that is the means for achieving all the aims of all beings.
ངེས་པར་འབྱུང་བ་ཐམས་ཅད་ཤེས་པའི་སྟོབས་ཆེན་པོ་ཐོབ་པ། ||| They had obtained the great power that comes from knowing all types of liberation.
མུ་སྟེགས་ཅན་གྱི་སྨྲ་བ་ཐམས་ཅད་བཟློག་པ་ལ་མཁས་པ། ||| They were skilled in refuting all the claims of non-Buddhists.
རྫུ་འཕྲུལ་གྱི་རྣམ་པར་འཕྲུལ་པ་ཆེན་པོས་སྐྱེ་བོ་ཕལ་པོ་ཆེ་ཉེ་བར་བསྡུ་བ་ལ་མཁས་པ། ||| They were skilled in attracting large crowds by means of their great miraculous emanations.
ཕ་རོལ་ཏུ་ཕྱིན་པ་ཆེན་པོ་བསྒོམས་པས་རྣལ་འབྱོར་ཆེན་པོ་རྣམ་པ་ཐམས་ཅད་ཐོབ་པ། ||| Through cultivating the immense perfections, they had attained all the features of great practitioners.
ནམ་མཁའ་ལྟ་བུར་འཇིག་རྟེན་གྱི་ཆོས་ཀྱིས་སེམས་མ་གོས་པ་ཤ་སྟག་ལ་འདི་ལྟ་སྟེ། ||| Like the sky, their minds were unstained by worldly phenomena.
