འཕགས་པ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Pratibhānamati
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་ ||| The Blessed One was residing in Jeta Grove, Anāthapiṇḍada’s park at Śrāvastī.
དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཁྲི་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| He was there together with a great saṅgha of 1,250 monks as well as 10,000 bodhisattvas.
དེ་ནས་བཅོམ་ལྡན་འདས་འཁོར་མང་པོས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་གྱིས་བལྟས་ནས་ཆོས་སྟོན་ཏོ། ། ||| Surrounded and revered by an immense retinue, the Blessed One taught the Dharma.
དེའི་ཚེ་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་ཞེས་བྱ་བ་ཞིག་ཚོང་དཔོན་གྱི་བུ་ལྔ་བརྒྱ་ཙམ་སོ་སོའི་གཡོག་འཁོར་ལྔ་བརྒྱ་ལྔ་བརྒྱས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་བ་དང་ལྷན་ཅིག་ཏུ་མཉན་དུ་ཡོད་པའི་གྲོང་ཁྱེར་ནས་བྱུང་སྟེ ||| At that time, the merchant Pratibhānamati left the city of Śrāvastī, surrounded and venerated by a group of five hundred merchant’s sons, each of whom was also accompanied by an entourage of five hundred servants.
རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་དེ་ལོགས་སུ་སོང་སྟེ་ཕྱིན་ནས། ||| As they arrived at Jeta Grove in Anāthapiṇḍada’s park where the Blessed One was residing,
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་གཡོག་འཁོར་དང་བཅས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Pratibhānamati bowed his head at the Blessed One’s feet, circumambulated him three times, and sat down together with his entourage.
དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་སྟན་ལས་ལངས་ཏེ། ||| At this point, through the power of the Buddha, the merchant Pratibhānamati stood up,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| draped his shawl over one shoulder, and knelt on his right knee.
