འཕགས་པ་བློ་གྲོས་རྒྱ་མཚོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Sāgaramat
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ཡུལ་རིན་པོ་ཆེ་བཀོད་པའི་འཁོར་གྱི་ཁྱམས་དེ་བཞིན་གཤེགས་པའི་གནས། ||| The Blessed One was staying at Rājagṛha, domain of the thus-gone ones, in a jeweled pavilion. It is the home of the thus-gone ones,
བསོད་ནམས་ཆེན་པོའི་རྒྱན་གྱི་ཚོགས་བསགས་པ། སྤྱོད་པ་ཆེན་པོའི་རྒྱུ་འཐུན་པ། སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་ཀྱི་རྣམ་པར་སྨིན་པས་མངོན་པར་གྲུབ་པ། ||| adorned with accumulations of great merit, produced by great deeds, the result of the ripening of all qualities of buddhahood;
བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོའི་གནས། ||| the home of great bodhisattvas;
བསྟན་པ་མཐའ་ཡས་པ། ||| an infinite display;
དེ་བཞིན་གཤེགས་པས་རྣམ་པར་སྤྲུལ་པས་བྱིན་གྱིས་བརླབས་པ། ||| a place blessed with the thus-gone ones’ magic;
ཆགས་པ་མེད་པའི་སྤྱོད་ཡུལ་གྱི་ཡེ་ཤེས་ལ་འཇུག་པ། ||| an entry point to wisdom’s unobstructed domain;
དགའ་བ་རྒྱ་ཆེན་པོ་བསྐྱེད་པ། ||| a source of great joy;
དྲན་པ་དང་། བློ་གྲོས་དང་། རྟོགས་པས་འཇུག་པ། ||| a gateway to mindfulness, intelligence, and realization;
ཀུན་ནས་མ་སྨད་པ། ||| a place without blame;
ཡེ་ཤེས་ཀྱིས་རྣམ་པར་དཔྱད་པ་དེ་ལ་མ་ཆགས་པར་རྟོགས་པས་འཇུག་པ། ||| a place formed with wisdom; a gateway to unobstructed wisdom;
བསྐལ་པ་མུ་མེད་པར་མངོན་པར་བསྟོད་པ། ||| a place that has been praised for limitless eons;
ཡོན་ཏན་གྱི་ཚོགས་ཐམས་ཅད་དཔག་ཏུ་མེད་པ་ན་བཞུགས་ཏེ ||| and a place that embodies an immeasurable accumulation of positive qualities.
བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ནི་མཉམ་པ་ཉིད་དུ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས། ||| The Blessed One had perfectly realized the sameness of all phenomena.
ཆོས་ཀྱི་འཁོར་ལོ་ནི་ཤིན་ཏུ་བསྐོར། ||| He had set the wheel of Dharma in motion.
སློབ་མ་ཤིན་ཏུ་དུལ་བ་མཐའ་ཡས་པའི་ཚོགས་ནི་མངའ། ||| He led a limitless assembly of highly disciplined disciples.
ཆོས་ཐམས་ཅད་ལ་མངའ་དབང་ནི་བརྙེས། ||| He had achieved dominion over all phenomena.
སེམས་ཅན་ཐམས་ཅད་ཀྱི་བསམ་པ་སྒྲུབ་པ་ནི་ལེགས་པར་མཁྱེན། ||| He knew how to fulfill the intentions of all beings.
དབང་པོའི་དམ་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ནི་བརྙེས། ||| He had achieved the sublime perfection of faculties.
བག་ཆགས་ཀྱི་མཚམས་སྦྱོར་བ་ཡང་དག་པར་འཇོམས་པ་ལ་ནི་མཁས། ||| He was skilled in destroying the binding force of habitual patterns.
སངས་རྒྱས་ཀྱི་མཛད་པ་ལྷུན་གྱིས་གྲུབ་པ་ནི་རྒྱུན་མ་ཆད་ཅིང་། ||| His awakened activities were spontaneous and unceasing.
དགེ་སློང་འབུམ་ཕྲག་དྲུག་ཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་སྟེ། ||| With him was a great monastic saṅgha of six million monks.
ཐམས་ཅད་ཀྱང་ཅང་ཤེས་ཀྱི་སེམས་དང་ལྡན་པ། ||| All of them had minds of great refinement.
ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱི་བག་ཆགས་ཀྱི་མཚམས་སྦྱོར་བ་ཡང་དག་པར་འཇོམས་པ་ལ་བརྩོན་པ། ||| They were diligently destroying the binding force of the habitual patterns of the afflictive emotions.
