འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time:
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་རི་བྱ་རྒོད་ཀྱི་ཕུང་པོ་ལ་དགེ་སློང་དྲུག་ཁྲི་ཉིས་སྟོང་གི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཕལ་ཆེར་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ནས་འདུས་པ་བདུན་ཁྲི་ཉིས་སྟོང་ཐམས་ཅད་ཀྱང་མངོན་པར་ཤེས་པས་མངོན་པར་ཤེས་པ། ||| The Blessed One was residing on Vulture Peak in Rājagṛha together with a great saṅgha of sixty-two thousand monks, and with seventy-two thousand bodhisattva great beings who had gathered from the worlds of the ten directions. All of them had developed the higher perceptions.
གཟུངས་རབ་ཏུ་ཐོབ་པ། སྤོབས་པ་ཆགས་པ་མེད་པ། ཏིང་ངེ་འཛིན་རབ་ཏུ་ཐོབ་པ། དྲན་པ་དང་། བློ་གྲོས་དང་། རྟོགས་པ་དང་། མོས་པ་དང་། ངོ་ཚ་ཤེས་པ་དང་། ཁྲེལ་ཡོད་པ་ཕུན་སུམ་ཚོགས་པ། བསམ་པ་རྡོ་རྗེ་ལྟར་བརྟན་ཞིང་མི་ཕྱེད་པ། ||| They had attained recollection, unobstructed eloquence, and absorption. They were perfectly mindful, intelligent, realized, devoted, humble, and modest. Their motivation was firm and indivisible like vajra.
སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་ལ་སྦྱོར་བ་ཕུན་སུམ་ཚོགས་པ། ལྷག་པའི་བསམ་པ་ཁྱད་པར་དུ་འཕགས་པ་ལ་ཞུགས་པ། ||| They perfectly applied themselves to all the qualities of buddhahood, and they had developed the most noble motivation.
བདག་ཉིད་བྱང་ཆུབ་ཀྱི་སེམས་མི་འདོར་བ། སེམས་ཅན་གཞན་བྱང་ཆུབ་ཀྱི་སེམས་ཡང་དག་པར་འཛིན་དུ་འཇུག་པ། ||| Without ever themselves forsaking the mind set on awakening, they caused others to adopt that same attitude.
སྦྱིན་པ་དང་། དུལ་བ་དང་། སྡོམ་པ་དང་། དེས་པ་དང་། བཟོད་པ་དང་། སྡུག་པའི་དངོས་པོ་ཐམས་ཅད་ཡོངས་སུ་གཏོང་བ་དང་། ཡོངས་སུ་བསྔོ་བའི་ཆོ་ག་ཤེས་པ། ||| They were generous, self-controlled, restrained, gentle, and patient. Everything that was pleasant they would give away, and knew how to dedicate these acts.
ལུས་དང་། ངག་དང་། སེམས་དང་། ཚུལ་ཁྲིམས་ཀྱི་རྒྱན་གྱིས་ལེགས་པར་བརྒྱན་པ། སེམས་ཅན་ཐམས་ཅད་ལ་སེམས་སྙོམས་པ་དང་། བཟོད་པ་དང་། དེས་པའི་སྟོབས་ཀྱི་གོ་ཆ་ཤིན་ཏུ་བགོས་པ། ||| Their bodies, speech, and minds were adorned with the ornament of discipline. They had an impartial attitude toward all beings and they had donned the powerful armors of patience and gentleness.
བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་གྲངས་མེད་པར་བརྩོན་འགྲུས་ཤིན་ཏུ་བརྩམས་པ། བསམ་གཏན་དང་། རྣམ་པར་ཐར་པ་དང་། ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པ་དང་། མངོན་པར་ཤེས་པའི་ཡེ་ཤེས་ཀྱིས་རྣམ་པར་རོལ་པ། ||| They had exercised diligence for countless billions of eons, and they reveled in the wisdom of the concentrations, liberations, absorptions, attainments, and higher knowledges.
ཚིག་ཐམས་ཅད་རབ་ཏུ་དབྱེ་བ་ལ་སྤོབས་པ་ཆགས་པ་མེད་པའི་ཤེས་རབ་དང་། ཡེ་ཤེས་ལ་མཁས་པ། རི་རབ་ཀྱི་རི་ལྟར་སེམས་གཡོ་བ་མེད་པ། ས་དང་། ཆུ་དང་། མེ་དང་། རླུང་དང་། རི་ལྟར་རྗེས་སུ་ཆགས་པ་དང་། ཁོང་ཁྲོ་བ་དང་བྲལ་བ་ ||| They were experts in the wisdom and insight of unobstructed eloquence with respect to the distinctions of all words. Their minds were unshakeable like Mount Sumeru. Like earth, water, fire, wind, and mountains they were free of attachment and anger.
