༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
བམ་པོ་དང་པོ།
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་ཀ་ལན་ད་ཀ་གནས་པའི་འོད་མའི་ཚལ་ན་དགེ་སློང་སྟོང་ཕྲག་དྲུག་ཅུ་རྩ་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling in Veṇuvana, at the Kalandakanivāpa, near Rājagṛha, together with a large saṅgha of sixty-four thousand monks and seventy-two thousand bodhisattvas.
ཐམས་ཅད་ཀྱང་མངོན་པར་ཤེས་པས་མངོན་པར་ཤེས་པ། ||| They were all clairvoyant, having the superknowledges.
གཟུངས་ཐོབ་པ། སྤོབས་པ་ཐོགས་པ་མེད་པ། ཏིང་ངེ་འཛིན་ཐོབ་པ། མངོན་པར་ཤེས་པས་རྣམ་པར་རོལ་ཅིང་སྤོབས་པ་མི་འཇིགས་པ་དང་ལྡན་པ། ཆོས་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་སྟོན་པ་ལ་མཁས་པ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པ་རྣམས་ལ་འདི་ལྟ་སྟེ། ||| All of them had attained recollection, had unflinching confidence, had mastered absorption, enjoyed the superknowledges, were endowed with fearless eloquence, were proficient in the teachings on the essence of all things, and had attained acceptance that phenomena are unborn.
གཞོན་ནུར་གྱུར་པ་འཇམ་དཔལ་དང་། གཞོན་ནུར་གྱུར་པ་ལག་ན་རིན་པོ་ཆེ་དང་། གཞོན་ནུར་གྱུར་པ་ལག་ན་ཕྱག་རྒྱ་རིན་པོ་ཆེ་དང་། གཞོན་ནུར་གྱུར་པ་རིན་པོ་ཆེ་དཔལ་དང་། གཞོན་ནུར་གྱུར་པ་ནམ་མཁའ་མཛོད་དང་། གཞོན་ནུར་གྱུར་པ་སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་དང་། གཞོན་ནུར་གྱུར་པ་དྲ་བ་ཅན་གྱི་འོད་དང་། གཞོན་ནུར་གྱུར་པ་རྣམ་པར་བསྒྱིངས་པ་དང་། གཞོན་ནུར་གྱུར་པ་དཔལ་གྱི་སྙིང་པོ་དང་། གཞོན་ནུར་གྱུར་པ་བདོག་པ་ཐམས་ཅད་ཡོངས་སུ་གཏོང་བ་དང་། གཞོན་ནུར་གྱུར་པ་པད་མ་བཀོད་པ་དང་། གཞོན་ནུར་གྱུར་པ་སེང་གེ་དང་། གཞོན་ནུར་གྱུར་པ་ཟླ་འོད་དང་། གཞོན་ནུར་གྱུར་པ་ཟླ་བའི་འོད་ཟེར་གྱི་འོད་དང་། གཞོན་ནུར་གྱུར་པ་བློ་གྲོས་མཆོག་དང་། གཞོན་ནུར་གྱུར་པ་རྒྱན་ཐམས་ཅད་བཀོད་པ་དང་། བཟང་སྐྱོང་ལ་སོགས་པ་སྐྱེས་བུ་དམ་པ་བཅུ་དྲུག་ལ་འདི་ལྟ་སྟེ། ||| Among them were youthful Mañjuśrī, youthful Ratnapāṇi, youthful Ratnamudrāhasta, youthful Ratnaśrī, youthful Gaganagañja, youthful Saha­cittotpāda­dharmacakra­pravartin, youthful Jālinīprabha, youthful Vijṛmbhita, youthful Śrīgarbha, youthful Sarva­svaparityāgin, youthful Padmavyūha, youthful Siṃha, youthful Candraprabha, youthful Candra­raśmi­prabha, youthful Agramati, and youthful Svālaṃkāra­vyūha.
བཟང་སྐྱོང་དང་། དཀོན་མཆོག་འབྱུང་གནས་དང་། དེད་དཔོན་མཆོག་དང་། མེས་བྱིན་དང་། ཕུག་སྦས་དང་། ཆུས་བྱིན་དང་། དབང་པོས་བྱིན་དང་། བླ་མའི་བློ་གྲོས་དང་། ཁྱད་པར་བློ་གྲོས་དང་། བློ་གྲོས་འཕེལ་དང་། མཐོང་བ་དོན་ཡོད་དང་། ཤིན་ཏུ་ཡང་དག་ཞུགས་དང་། རབ་ཀྱི་རྩལ་གྱིས་རྣམ་པར་གནོན་པ་དང་། བློ་གྲོས་མཐའ་ཡས་པ་དང་། བརྩོན་པ་མི་གཏོང་བ་དང་། ཉི་མའི་སྙིང་པོ་དང་། ས་འཛིན་དང་། དེ་ལྟ་བུ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སྟོང་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། བརྒྱ་བྱིན་ལྷའི་དབང་པོ་ལ་སོགས་པ་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་དང་། མཚེ་མ་དང་། དགའ་ལྡན་དང་། འཕྲུལ་དགའ་དང་། གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་ལྷ་རྣམས་དང་། ཚངས་པ་ལ་སོགས་པ་ཚངས་པའི་རིས་ཀྱི་ལྷ་བརྒྱ་སྟོང་དང་། དེ་མ་ཡིན་པ་གཞན་གཟི་བརྗིད་ཆེ་བའི་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་མི་མ་ཡིན་པ་རྣམས་དང་ཡང་ཐབས་ཅིག་སྟེ། ||| Present also were the sixteen holy beings Bhadrapāla, Ratnākara, Susārthavāha, Naradatta, Guhagupta, Varuṇadatta, Indradatta, Uttaramati, Viśeṣamati, Vardhamānamati, Amoghadarśin, Susaṃprasthita, Suvi­krānta­vikrāmin, Anantamati, Anikṣiptadhura, Sūryagarbha, and Dharaṇīṃ­dhara, along with other such beings among seventy-two thousand bodhisattvas. There were also the Four Great Kings, the gods of the Heaven of the Thirty-Three, such as Śakra, lord of the gods, and the gods of the Heaven Free from Strife, the Heaven of Joy, the Heaven of Delighting in Emanations, and the Heaven of Making Use of Others’ Emanations, as well as a hundred thousand gods of the Brahmā realm, including Brahmā. There were also other humans and nonhuman beings, including various fantastic gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahoragas, who had all gathered together.
དེ་ནས་བཅོམ་ལྡན་འདས་འཁོར་བརྒྱ་སྟོང་དུ་མས་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་ཆོས་སྟོན་ཏོ། ||| Amid this assembly of hundreds of thousands of different disciples, the Blessed One was teaching the Dharma.
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་གཞོན་ནུར་གྱུར་པ་དྲ་བ་ཅན་གྱི་འོད་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ། ||| The bodhisattva youthful Jālinīprabha draped his shawl over one shoulder and knelt on his right knee.
