འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡུལ་ཡངས་པ་ཅན་ན། སྤྲེའུ་རྫིང་གི་འགྲམ་ན་ཁང་པ་བརྩེགས་པའི་གནས་ན་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling in Vaiśālī in a mansion located by the Monkey Pond, together with a great assembly of monks.
བྱམས་པ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་རྣམས་དང་། སྐྱེ་བ་གཉིས་ཀྱིས་ཐོགས་པ་རྣམས་དང་། སྐྱེ་བ་གསུམ་གྱིས་ཐོགས་པ་རྣམས་དང་། སྐྱེ་བ་བཞིས་ཐོགས་པ་རྣམས་དང་། སྐྱེ་བ་ལྔས་ཐོགས་པ་རྣམས་དང་། སྐྱེ་བ་བཅུས་ཐོགས་པ་རྣམས་དང་། སུམ་ཅུ་དང་། བཞི་བཅུ་དང་། སྐྱེ་བ་སྟོང་གི་བར་རྣམས་ཀྱིས་ཐོགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བཞི་བཅུ་རྩ་གཉིས་དང་། ||| In the assembly were four hundred twenty million bodhisattvas. Some of the bodhisattvas, such as Maitreya, were held back by just one birth, while others were held back by two, three, four, five, ten, thirty, or forty births, with some bodhisattvas even held back by one thousand births.
དགྲ་བཅོམ་པ་བྱེ་བ་ཕྲག་དྲུག་ཅུ་དང་། ལྷ་བྱེ་བ་ཕྲག་དགུ་བཅུ་རྩ་དགུ་ལ་འདོད་པ་ན་སྤྱོད་པ་དང་། གཟུགས་ན་སྤྱོད་པའི་ལྷའི་བུ་རྣམས་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། ལྷའི་བུ་ཤིན་ཏུ་དཔལ་བཟང་ལྡན་དང་། ལྷའི་བུ་ཟླ་བའི་འོད་དང་། ལྷའི་བུ་ཉི་མའི་འོད་དང་། ལྷའི་བུ་གྲགས་པའི་ཏོག་དང་། ལྷའི་བུ་མངོན་པར་དགའ་བ་དང་། ||| Also in the assembly were six hundred million worthy ones and nine hundred ninety million gods including the gods in the desire realm and form realm, the four great kings, Śakra who rules the gods, Brahmā who rules the Sahā world, the god Great Splendor, the god Candraprabha, the god Sūryaprabha, the god Pinnacle of Renown, and the god Joyful .
ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་དང་། ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་དང་། ཀླུའི་རྒྱལ་པོ་ནོར་རྒྱས་ཀྱི་བུ་དང་། གཟི་ཅན་དང་། ཀླུའི་རྒྱལ་པོ་དགའ་བོ་དང་། ཉེ་དགའ་བོ་དང་། ཀླུའི་རྒྱལ་པོ་བཏང་བཟུང་དང་། ཀླུའི་རྒྱལ་པོ་བཏང་བཟུང་ཆེན་པོ་དང་། ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་དང་། ལྷ་མ་ཡིན་གྱི་དབང་པོ་ཐམས་ཅད་ཀྱི་འཁོར་དང་ཡང་ཐབས་ཅིག་གོ། ། ||| In attendance were also the nāga kings Anavatapta, Sāgara, Vāsukin, Manasvin, Nanda, Upananda, Mucilinda, and Mahāmucilinda, as well as the asura sovereign Rāhu and the retinues of all the other asura sovereigns.
དེའི་ཚེ་གྲོང་ཁྱེར་ཆེན་པོ་ཡངས་པ་ཅན་ན་དེད་དཔོན་སེང་གེའི་བུ་ལིཙྪ་བཱི་སྟོབས་མཐའ་ཡས་ཞེས་བྱ་བ་ཞིག་གནས་སོ། ། ||| At that time, in the city of Vaiśālī, there was a Licchavi named Limitless Strength, who was the son of Siṃha the captain.
དེའི་ཚེ་སེང་གེའི་བུ་སྟོབས་མཐའ་ཡས་དེའི་བུ་གཞོན་ནུ་ལིཙྪ་བཱི་རིན་ཆེན་དྲ་བ་ཅན་ཞེས་བྱ་བ་ ||| Limitless Strength, son of Siṃha, himself had a son, a young Licchavi boy known as Ratnajālin.
སངས་རྒྱས་མང་པོ་ལ་བསྙེན་བཀུར་བྱས་པ། ||| Since this child had previously served many buddhas,
ཆོས་ཀྱི་ཚུལ་སྣང་བ་མཐའ་ཡས་པའི་སྒྲོན་མ་དང་ལྡན་པ་ཡང་དག་པར་འཛིན་པ། ||| he had come to possess the lamp that shines with the immense light of the Dharma way.
