འཕགས་པ་བདེ་བྱེད་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Question of Kṣemaṅkara
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཤཱཀྱའི་ཡུལ་སེར་སྐྱའི་གནས་ན། ཤཱཀྱ་རྣམས་ཀྱི་ཤིང་ནྱ་གྲོ་དྷའི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་ལྔ་བརྒྱའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One was staying in the Nyagrodha Park of the Śākyas, near Kapilavastu in the Śākya country, together with a great saṅgha of five hundred monks.
།དེའི་ཚེ་ཤཱཀྱའི་བུ་བདེ་བྱེད་ཅེས་བྱ་བ་སེར་སྐྱའི་གནས་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ནས་བྱུང་སྟེ། ཤིང་ནྱ་གྲོ་དྷའི་ཀུན་དགའ་ར་བ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| At that time a Śākya youth named Kṣemaṅkara set out from the city of Kapilavastu for Nyagrodha Park, where the Blessed One was staying.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །དེ་ནས་ཤཱཀྱའི་བུ་བདེ་བྱེད་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། ||| As soon as he arrived there, he touched his head to the feet of the Blessed One and sat down to one side.
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་དུ་དང་ལྡན་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར། ཚེགས་ཆུང་ངུས་ཀྱང་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་མངོན་པར་སྒྲུབ་པར་བགྱིད། སངས་རྒྱས་ཀྱི་ཞིང་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དུ་མཆི་བར་བགྱིད། རྨོངས་པ་མ་མཆིས་པར་འགུམ་པའི་དུས་བགྱིད་པར་འགྱུར། སྐྱེས་ནས་ཀྱང་མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པར་འགྱུར། མི་ཁོམ་པ་ཐམས་ཅད་རྣམ་པར་སྤངས་ཤིང་ཁོམ་པ་འབྱོར་པ་ཐོབ་པར་འགྱུར། གཟུངས་ཀྱང་ཐོབ་པར་འགྱུར། སྤོབས་པ་ཐོགས་པ་མ་མཆིས་པ་དང་ཡང་ལྡན་པར་འགྱུར། ཕྱིར་མི་ལྡོག་པའི་ཆོས་དང་ལྡན་ཞིང་སྟོང་པ་ཉིད་ལ་ལྷག་པར་མོས་པར་ཡང་འགྱུར། རྟག་ཏུ་རབ་ཏུ་འབྱུང་བ་ལ་མངོན་པར་དགའ་བར་འགྱུར། ཁྱིམ་ན་གནས་ཀྱང་རྟག་ཏུ་ཚངས་པར་སྤྱོད་པ་ལ་མངོན་པར་དགའ་བར་འགྱུར་ལགས། ||| With folded palms the Śākya youth Kṣemaṅkara bowed down to the Blessed One and asked him, “Blessed One, what attributes should bodhisattvas possess in order to progress irreversibly toward unsurpassed and perfect awakening, so that even with just a little effort they will obtain the thirty-two marks of a great being, proceed from buddha realm to buddha realm, pass away free from delusion, possess the five types of superknowledge as soon as they are born, discard all unfree states, obtain leisure and advantages, gain retention, possess unobstructed eloquence, possess the quality of not regressing, gain interest in emptiness, always delight in going forth, and always delight in pure conduct, even when staying in a household?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཤཱཀྱའི་བུ་གཞོན་ནུ་བདེ་བྱེད་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་ལ་དོན་འདི་ཡོངས་སུ་ཞུ་བར་སེམས་པ་ནི་རིགས་ཀྱི་བུ་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེའི་དོན་དང་། ལྷ་དང་མི་རྣམས་ལ་ཕན་པ་དང་བདེ་བའི་ཕྱིར་ཞུགས་པ་ཡིན་ཏེ། ||| In answer to this question, the Blessed One replied to the young Śākya Kṣemaṅkara, “Noble son, you have asked the Thus-Gone One about this topic for the sake of benefiting and bringing happiness to a multitude of beings, out of love for the world, for the welfare of numerous people, and in order to benefit and bring happiness to gods and humans.
ལེགས་སོ་ལེགས་སོ། ||| Excellent, excellent!
།དེའི་ཕྱིར་རིགས་ཀྱི་བུ་ཁྱོད་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་ཁྱོད་ལ་བཤད་དོ། ||| Therefore, noble son, listen carefully and keep the following in mind, as I shall now explain.
།བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ཇི་སྐད་སྨོས་པའི་ཡོན་ཏན་དེ་དག་རྗེས་སུ་འཐོབ་སྟེ། ||| “Bodhisattvas who possess four attributes will attain the qualities you have described.
