༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་མ་ཏཱི་བྲཱཧྨ་ཎཱི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Questions of Śrīmatī the Brahmin Woman
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་བཱ་རཱ་ཎ་སཱི་ན་དྲང་སྲོང་ལྷུང་བ་རི་དགས་ཀྱི་ནགས་ན། དགེ་སློང་བདུན་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| The Blessed One was staying at Ṛṣipatana Deer Park near Vārāṇasī, with an assembly of some seven hundred monks and many bodhisattva great beings.
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཆོས་གོས་དང་ཤམ་ཐབས་མནབས་ཏེ་ལྷུང་བཟེད་བསྣམས་ནས། ཕྱི་བཞིན་འབྲང་བའི་དགེ་སློང་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་དང་། ཐབས་ཅིག་ཏུ་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིར་བསོད་སྙོམས་ཀྱི་ཕྱིར་གཤེགས་སོ། ། ||| At dawn, the Blessed One donned his upper and lower robes, picked up his alms bowl, and went on an alms round through Vārāṇasī together with his attendant monk, the venerable Ānanda, and the bodhisattva great being Ajita.
དེ་ནས་བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིར་མཐར་འཆགས་སུ་བསོད་སྙོམས་མཛད་ཅིང་། བྲམ་ཟེ་མོ་དཔལ་ལྡན་མའི་ཁྱིམ་ག་ལ་བ་དེར་གཤེགས་ཏེ་བྱོན་ནས། བསོད་སྙོམས་ཀྱི་ཕྱིར་ཕྱོགས་གཅིག་ཏུ་བཞུགས་པ་དང་། ||| As the Blessed One went steadily through the city of Vārāṇasī gathering alms, he arrived at the house of a brahmin woman by the name of Śrīmatī.
བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་བཅོམ་ལྡན་འདས་མཛེས་པ་དད་པར་བྱ་བ། ||| As the Blessed One stayed to one side waiting for alms, Śrīmatī the brahmin woman saw from afar that the Blessed One was beautiful and inspiring, his senses at peace, and his heart at peace.
དབང་པོ་ཞི་བ། ||| He was gentle.
ཐུགས་ཞི་བ། དུལ་བ་དང་ཞི་གནས་ཀྱི་ཕ་རོལ་དུ་སོན་པ། ||| He had arrived at tranquility;
ཞི་གནས་མཆོག་གི་ཕ་རོལ་དུ་བྱོན་པ། ||| he had arrived at supreme tranquility.
ཞི་བ་དུལ་བ། བསྲུངས་པ་དང་། ||| He was serene, peaceful, and well guarded.
སྡིག་པ་མེད་པ་དབང་པོ་དུལ་བ། ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པ། ||| His senses were tamed and, without a trace of wickedness, he glowed with a fine complexion.
མཚོ་ལྟར་དང་ཞིང་གསལ་ལ་རྙོག་པ་མེད་པ། གསེར་གྱི་མཆོད་སྡོང་ལྟར་མངོན་པར་འཕགས་པ་མི་བསྐྱོད་པ། མི་གཡོ་བ། བརྙེས་པ་དཔལ་གྱིས་འབར་བ། ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེ་ཞིང་གཤེགས་པ་རྒྱང་རིང་པོ་དེ་ཉིད་ནས་མཐོང་ངོ་། ། ||| Still and clear like a lake, elevated and unshakable like a golden offering post, he was unmoving, and due to the splendor of his attainment, he blazed, shone, and glowed with brilliance.
