འཕགས་པ་འཇམ་དཔལ་གྱིས་དྲིས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Question of Mañjuśrī
བམ་པོ་གཅིག་གོ། །
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པའི་ཀུན་ནས་མཛེས་པའི་ཁང་པ་ན། དགེ་སློང་བརྒྱ་ཕྲག་ཕྱེད་དང་བཅུ་གསུམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། དཔག་ཏུ་མེད་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དང་། འདུལ་བ་བརྒྱ་སྟོང་མང་པོ་དང་། སྤྱན་རས་གཟིགས་དབང་པོ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Blessed One was dwelling in the Samanta Assembly Hall in Śrāvastī together with a great saṅgha of 1,250 monks, innumerable bodhisattva mahāsattvas, and many hundreds of thousands of beings to be tamed, and other bodhisattva mahāsattvas headed by Avalokiteśvara.
བཅོམ་ལྡན་འདས་རིན་པོ་ཆེའི་སེང་གེའི་ཁྲི་ལ་སྐུ་མི་གཡོ་བར་བཞུགས་པ་དང་། ||| The Blessed One sat unwavering upon a jeweled lion throne.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་དཔལ་སངས་རྒྱས་ཀྱི་མཐུས་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་བྱས་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| Through the power of the Buddha, the bodhisattva mahāsattva Mañjuśrī rose from his seat, draped his upper robe over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Joining his palms toward the Blessed One, he said,
བཅོམ་ལྡན་འདས་བསོད་ནམས་ཆེན་པོ་གང་གིས་འདུལ་བ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མའི་བསམ་པ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དེ་བཞིན་གཤེགས་པའི་དྲུང་དུ་འགྱུར་བའི་བསོད་ནམས་ཆེན་པོ་དེ་ཇི་སྙེད་ཚད་ཇི་ཙམ་ལགས། ||| “Blessed One, how extensive is the great merit of the Tathāgata’s Dharma conch, the great merit by which the wishes of the many hundred sextillions of beings to be tamed are completely fulfilled?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་དཔལ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the bodhisattva mahāsattva Mañjuśrī,
འཇམ་དཔལ་བསོད་ནམས་ཆེན་པོ་གང་གིས་འདུལ་བ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་གི་བསམ་པ་ཡོངས་སུ་རྫོགས་པར་བྱེད་པ་དེ་བཞིན་གཤེགས་པའི་དྲུང་དུ་འགྱུར་བའི་བསོད་ནམས་ཆེན་པོ་དེ་ནི། ཤེས་རབ་ལས་བྱུང་བ་སྙིང་རྗེ་ཆེན་པོས་ཡོངས་སུ་བསྒོས་པ་ཡིན་ཏེབསམ་གྱིས་མི་ཁྱབ་བོ། ། ||| “Mañjuśrī, the great merit of the Tathāgata’s Dharma conch, the great merit by which the wishes of a hundred sextillion beings to be tamed are completely fulfilled, arises from insight and is imbued with great compassion. It is inconceivable.
འཇམ་དཔལ་འཛམ་བུའི་གླིང་གི་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་དང་ལྡན་པར་གྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱར་བསྒྱུར་བས་གླིང་བཞི་ལ་དབང་བ་རིན་པོ་ཆེ་སྣ་བདུན་དང་ལྡན་པའི་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་འགྱུར་ཏེ ||| “Mañjuśrī, if all of the beings in the world were to engage in the path of the ten virtuous actions, and if that collection of merit, which is the collection of merit of all those beings, were multiplied by a hundred, it would equal that of a cakravartin king who has dominion over the four continents and possesses the seven treasures.
དེའི་རིན་པོ་ཆེ་སྣ་བདུན་འདི་ལྟ་སྟེ། ||| The seven treasures are as follows:
འཁོར་ལོ་རིན་པོ་ཆེ་དང་། གླང་པོ་རིན་པོ་ཆེ་དང་། རྟ་རིན་པོ་ཆེ་དང་། ནོར་བུ་རིན་པོ་ཆེ་དང་། བུད་མེད་རིན་པོ་ཆེ་དང་། ཁྱིམ་བདག་རིན་པོ་ཆེ་དང་། བློན་པོ་རིན་པོ་ཆེ་དང་འདི་བདུན་འབྱུང་ངོ་། ། ||| the precious wheel, the precious elephant, the precious horse, the precious jewel, the precious woman, the precious steward, and the precious minister.
དེ་ལ་བུ་སྟོང་དཔའ་བ། རྟུལ་ཕོད་པ། ཡན་ལག་མཆོག་གི་གཟུགས་དང་ལྡན་པ། ཕ་རོལ་གྱི་སྡེ་རབ་ཏུ་འཇོམས་པ་རྣམས་ཡོད་དེ། ||| He has a thousand heroic sons who are courageous, have excellent well-built bodies, and utterly defeat opposing armies.
འཇམ་དཔལ་དེ་ལྟར་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་དེ་རྫུ་འཕྲུལ་ཆེ་ཞིང་མཐུ་ཆེ་བ་ཡིན་ནོ། ། ||| Mañjuśrī, such is the cakravartin king’s great miraculous powers and might.
འཇམ་དཔལ་གླིང་བཞི་པའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་འཁོར་ལོས་སྒྱུར་བའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་འགྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱར་བསྒྱུར་བས་བརྒྱ་བྱིན་ལྷའི་དབང་པོར་འགྱུར་ཏེ ||| “Mañjuśrī, if all beings in the world with its four continents were to possess the cakravartin king’s merit, and if that merit, which is the merit of all those beings, were multiplied by a hundred, it would equal that of Śakra, lord of the gods.
དེ་ལྟར་ལྷའི་དབང་པོ་ནི་རྫུ་འཕྲུལ་ཆེ་ཞིང་མཐུ་ཆེའོ། ། ||| Such is the lord of the gods’ great miraculous powers and great might.
འཇམ་དཔལ་གླིང་བཞི་པའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་བརྒྱ་བྱིན་གྱི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་འགྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱ་སྟོང་དུ་བསྒྱུར་བས་གང་འདོད་པའི་ཁམས་སུ་བསྟན་པས་གོ་བར་བྱེད་པ་འདོད་པའི་ཁམས་ཀྱི་དབང་པོ་བདུད་དུ་འགྱུར་ཏེ ||| “Mañjuśrī, if all of the beings in the realm of the world with its four continents were to possess Śakra’s merit, and if that merit, which is the merit of all those beings, were multiplied by a hundred thousand, it would equal that of Māra, lord of the desire realm, who understands the teachings within the desire realm.
དེ་ལྟར་འདོད་པའི་ཁམས་ཀྱི་དབང་པོ་བདུད་ནི་རྫུ་འཕྲུལ་ཆེ་ཞིང་མཐུ་ཆེའོ། ། ||| Such is Māra of the desire realm’s great miraculous powers and great might.
འཇམ་དཔལ་གླིང་བཞི་པའི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་བདུད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་གྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱ་སྟོང་དུ་བསྒྱུར་བས། གང་འཇིག་རྟེན་གྱི་ཁམས་སྟོང་བྱམས་པས་ཁྱབ་པ་སྟོང་གི་བདག་པོ་ཚངས་པར་འགྱུར་རོ། ། ||| “Mañjuśrī, if all of the beings in the realm of the world with its four continents were to possess Māra’s merit, and if that merit, which is the merit of all of those beings, were multiplied by a hundred thousand, it would equal that of a brahmā, sovereign of a chiliocosm, whose love pervades the domain of a chiliocosm.
འཇམ་དཔལ་སྟོང་གི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་སྟོང་གི་བདག་པོ་ཚངས་པའི་བསོད་ནམས་དང་ལྡན་པར་གྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་སུ་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱ་སྟོང་དུ་བསྒྱུར་བས། གང་སྟོང་གཉིས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་བྱམས་པས་ཁྱབ་པ་སྟོང་གཉིས་ཀྱི་བདག་པོ་ཚངས་པར་འགྱུར་རོ། ། ||| “Mañjuśrī, if all of the beings in this chiliocosm were to possess the merit of a brahmā god, sovereign of a chiliocosm, and if that merit, which is the merit of all those beings, were multiplied by a hundred thousand, it equal that of a brahmā god, sovereign of a dichiliocosm, whose love pervades the domain of a dichiliocosm.
འཇམ་དཔལ་སྟོང་གཉིས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་ན་སེམས་ཅན་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་སྟོང་གཉིས་ཀྱི་བདག་པོ་ཚངས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དང་ལྡན་པར་གྱུར་ལ། གང་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་བརྒྱ་སྟོང་དུ་བསྒྱུར་བས། གང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་བྱམས་པས་ཁྱབ་པ་ཚངས་པ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་བདག་པོ་དབང་ཕྱུག་ཆེན་པོའི་མཆོག་ཏུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if all of the beings in this dichiliocosm were to possess the merit of a brahmā god, sovereign of a dichiliocosm, and if that merit, which is the merit of all of those beings, were multiplied by a hundred thousand, it would equal that of a supremely great almighty brahmā, sovereign of a trichiliocosm,whose love pervades the domain of a great trichiliocosm.
འཇམ་དཔལ་ཚངས་པ་དབང་ཕྱུག་ཆེན་པོ་མཆོག་ལ་ལྟོས། ||| “Mañjuśrī, consider a supremely great almighty brahmā.
ནམ་བསྐལ་པ་འཇིག་པ་ན་བསྐལ་པའི་ཆུ་འབྱུང་བ་དེའི་ཚེ། ཕྱིས་བར་གྱི་བསྐལ་པ་གཅིག་ཏུ་ཆར་འབབ་ཅིང་ཆུའི་ཐིགས་པ་འབྱུང་བ་དེས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཆུས་གང་བར་བྱེད་དེ ||| In a single intermediate eon following the rise of the waters after the eon of destruction, the trichiliocosm fills up with rainfall with its droplets of water.
ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་ཆུས་གང་བར་འགྱུར་བའི་ཆུའི་ཐིགས་པ་དེ་དག་ཐམས་ཅད་ཀྱང་ཚངས་པ་དབང་ཕྱུག་ཆེན་པོའི་མཆོག་དེས་ཤེས་སོ། ། ||| A supremely great almighty brahmā knows all the drops of water that have amassed in his world.
དེ་ལྟར་ཡེ་ཤེས་ཆེན་པོ་དང་ལྡན་ཞིང་། རྫུ་འཕྲུལ་ཆེ་ཞིང་མཐུ་ཆེ་བ་ཡིན་ཏེ། ||| Therefore, he is endowed with great wisdom and has great miraculous powers and great might.
དགེ་བའི་རྩ་བ་ཆུང་ངུས་ནི་དབང་ཕྱུག་ཆེན་པོར་མི་འགྱུར་རོ། ། ||| The root of virtue of a great almighty one is no trifling thing.
