འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་ཀ་ལན་ད་ཀའི་གནས་འོད་མའི་ཚལ་ན། དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| The Blessed One was staying at the Kalandaka­nivāpa in Veṇuvana near Rājagṛha, with a great saṅgha of monks.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་འཁོར་མང་པོ་བརྒྱ་སྟོང་སྙེད་ཀྱིས་ཡོངས་སུ་བསྐོར་བ་ལ་ཆོས་སྟོན་ཏེ། ||| The Blessed One was teaching the Dharma to a large assembly with hundreds of thousands of beings in attendance.
འཁོར་དེའི་ནང་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇིག་རྟེན་འཛིན་ཅེས་བྱ་བའང་འདུས་པར་གྱུར་ཏེ། ||| Present in the assembly was the bodhisattva great being Lokadhara.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས། ཚད་མེད་པའི་ཡོན་ཏན་གྱིས་ཡོངས་སུ་བརྒྱན་པས་སེམས་བསྐྱེད་པའི་ཕྱིར། ||| It was his wish that bodhisattva great beings develop the mind of awakening by adorning themselves with immeasurable virtues;
ཆོས་ཐམས་ཅད་ཀྱི་ངེས་པའི་དོན་མཐར་ཕྱིན་པ་ཐམས་ཅད་ཤེས་པར་བྱ་བའི་ཕྱིར་ ||| that they understand in its entirety the true meaning of all phenomena;
ཚད་མེད་པའི་སྨོན་པས་ཚད་མེད་པའི་རྒྱན་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་ཤིན་ཏུ་ཤེས་པར་བྱ་བའི་ཕྱིར་ ||| that they understand how limitless aspirations lead to the perfection of limitless ornaments;
ཚད་མེད་པའི་ཆོས་རྣམས་ཀྱི་ངེས་པའི་མཚན་ཉིད་རྟོགས་ཤིང་ཁོང་དུ་ཆུད་པར་བྱ་བའི་ཕྱིར། ||| that they comprehend and understand the true characteristics of limitless phenomena;
སྨོན་ལམ་ཚད་མེད་པས་ལྷག་པའི་བསམ་པ་ཤིན་ཏུ་རྣམ་པར་དག་པར་བྱ་བའི་ཕྱིར། ཡོངས་སུ་རྫོགས་པར་ཤེས་པའི་ཕྱིར། ||| that they purify their motivation through limitless aspirations; that they gain comprehensive knowledge;
སྦྱིན་པའི་རྒྱན་དང་། ངེས་པའི་རྣམ་པར་དག་པའི་ཕྱིར། ཚུལ་ཁྲིམས་ཀྱི་རྒྱན་དང་། བཟོད་པ་ཡོངས་སུ་རྫོགས་པར་བྱ་བའི་ཕྱིར། མཉེན་ཅིང་དེས་པའི་སེམས་དང་། རྣམ་པར་དག་པར་བྱ་བའི་ཕྱིར། བརྩོན་འགྲུས་དང་། ཡོངས་སུ་དག་པ་ཤེས་པར་བྱ་བའི་ཕྱིར། བསམ་གཏན་དང་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཁོང་དུ་ཆུད་ཅིང་རྟོགས་པར་བྱ་བ་དང་། དེ་དག་ལ་སོགས་པ་ཡོན་ཏན་ཚད་མེད་པའི་ཕྱིར་ ||| that they attain the ornament of generosity and the purity of certainty; that they perfect the ornament of discipline and patience; that they purify the attitude of mildness and gentleness; that they understand the purity of diligence; that they understand and comprehend the perfections of concentration and insight; and that they develop limitless other such virtues. Therefore,
འདུག་པ་ལས་ལངས་ནསབླ་གོས་ཕྱོགས་གཅིག་ཏུ་བྱས་ཏེ། ||| he stood up, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་གང་ན་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| With his palms together he bowed toward the Blessed One and said,
