འཕགས་པ་འཇམ་དཔལ་གྱིས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Mañjuśrī’s Teaching
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ལྔ་སྟོང་ཐམ་པ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling in Anāthapiṇḍada’s Park, the Jeta Grove in Śrāvastī, together with a great congregation of 1,250 monks and five thousand bodhisattvas.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་འཁོར་འབུམ་ཕྲག་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་། མདུན་གྱིས་བལྟས་ནས་ཆོས་སྟོན་ཏོ། ། ||| At that time, the Blessed One was teaching the Dharma surrounded and venerated by an audience of many hundreds of thousands.
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་རིན་པོ་ཆེའི་གདུགས་དཔག་ཚད་བཅུས་འཁོར་བ་ཙམ་ཐོགས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་གི་སྟེང་གི་དྲང་ཐད་ན་འཛིན་ཅིང་འདུག་གོ། ། ||| Youthful Mañjuśrī then hoisted a jeweled parasol measuring ten yojanas in circumference and held it directly over the Blessed One’s head.
དེ་ནས་ཡོངས་སུ་དགའ་ལྡན་རིས་ཀྱི་ལྷའི་བུ་མཚམས་བཟངས་ཞེས་བྱ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་འཁོར་དང་བཅས་ཏེ། ||| Present in the retinue, along with his entourage, was a god from the house of Santuṣita called Susīma, whose progress toward unsurpassed and perfect awakening had become irreversible.
འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ནས་འདུག་པ་སྟན་ལས་ལངས་ཏེ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| He now rose from his seat, approached the place where Youthful Mañjuśrī was, and addressed him:
འཇམ་དཔལ་ཁྱོད་བཅོམ་ལྡན་འདས་ལ་མཆོད་པ་མཛད་པས་ད་དུང་ཐུགས་མ་ཚིམ་ལགས་སམ། ||| “Mañjuśrī, aren’t you satisfied with your offering to the Blessed One?”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ལྷའི་བུ་འདི་ཇི་སྙམ་དུ་སེམས། རྒྱ་མཚོ་ཆེན་པོ་ཆུ་ཟེད་པས་ཆོག་པར་འཛིན་པར་འགྱུར་སྙམ་མམ། ||| Mañjuśrī asked in return, “Divine being, tell me, is the great ocean ever satisfied by having water poured into it?”
ལྷའི་བུས་སྨྲས་པ། འཇམ་དཔལ་དེ་ནི་མ་ལགས་སོ། ། ||| “Mañjuśrī, no, it is not,” replied the god.
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ལྷའི་བུ་དེ་བཞིན་དུ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་རྒྱ་མཚོ་ཆེན་པོ་ལྟ་བུ་ཟབ་ཅིང་གཏིང་དཔག་དཀའ་ལ། ||| Mañjuśrī said, “Divine being, likewise, the wisdom of omniscience is as profound, immeasurable, and boundless as the great ocean.
དཔག་ཏུ་མེད་པ་ཡོངས་སུ་ཚོལ་བར་འདོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བྱ་བར་འདོད་པས་གཞར་ཡང་ཆོག་པར་འཛིན་པར་མི་བྱའོ། ། ||| Those bodhisattva mahāsattvas who wish to search for that wisdom should never be content in their desire to make offerings to the Tathāgata.”
