འཕགས་པ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Teaching on the Aids to Enlightenment
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱམས་པ་དང་། འཇམ་དཔལ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Bhagavān was residing on Vulture Peak Mountain in Rājagṛha accompanied by a great bhikṣu saṅgha of five hundred bhikṣus, and by bodhisattva mahāsattvas such as Maitreya and Mañjuśrī.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| At that time, the Bhagavān said to Youthful Mañjuśrī,
འཇམ་དཔལ་ཕྱིན་ཅི་ལོག་བཞི་པོ་དག་གིས་སེམས་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པའི་སེམས་ཅན་རྣམས་འཕགས་པའི་བདེན་པ་བཞི་པོ་དག་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་མ་མཐོང་བའི་ཕྱིར་འདི་ལྟར་ཡང་དག་པ་མ་ཡིན་པའི་འཁོར་བ་ལས་མི་འདའོ། ། ||| “Mañjuśrī, having minds that are misguided by the four errors, sentient beings do not see the four truths of the noble ones as they really are, and therefore they do not transcend saṃsāra, which is actually unreal.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| When the Bhagavān had said this, Youthful Mañjuśrī requested the Bhagavān,
བཅོམ་ལྡན་འདས་ཇི་ལྟར་དམིགས་ན་སེམས་ཅན་རྣམས་འཁོར་བ་ལས་མི་འདའ་བ་བཤད་དུ་གསོལ། ||| “Bhagavān, please explain how sentient beings perceive things and therefore do not transcend saṃsāra.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་སེམས་ཅན་རྣམས་བདག་དང་། བདག་གིར་ཁས་ལེན་པའི་ཕྱིར་འཁོར་བ་ལས་མི་འདའོ། ། ||| “Mañjuśrī, it is because they assume a self and something that belongs to a self that sentient beings do not transcend saṃsāra.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
འཇམ་དཔལ་སུ་བདག་དང་གཞན་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་བ་དེ་ལས་མངོན་པར་འདུ་བྱེད་པར་འགྱུར་བའི་ཕྱིར་རོ། ། ||| Mañjuśrī, it is because anyone who considers things in terms of self and other will bring about karma.
འཇམ་དཔལ་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་ཐོས་པ་དང་མི་ལྡན་པ་ནི་ཆོས་ཐམས་ཅད་ཤིན་ཏུ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པར་རབ་ཏུ་མི་ཤེས་ཏེ། བདག་དང་གཞན་དུ་དམིགས་སོ། ། ||| Mañjuśrī, unlearned and ignorant ordinary beings, not knowing that all phenomena have completely passed into nirvāṇa, perceive them in terms of self and other.
དམིགས་ནས་ལུས་དང་། ངག་དང་། ཡིད་ཀྱི་ལས་རྣམ་པ་གསུམ་མངོན་པར་འདུ་བྱེད་དོ། ། ||| With that perception, they bring about the three types of karma: corporeal, verbal, and mental.
དེ་མེད་པ་ལ་སྒྲོ་བཏགས་ནས་བདག་འདོད་ཆགས་སོ། །བདག་ཞེ་སྡང་ངོ་། །བདག་གཏི་མུག་གོ་ཞེས་རྣམ་པར་རྟོག་གོ། ། ||| Reifying what does not exist, they think, ‘I am attached,’ ‘I am averse,’ ‘I am perplexed.’
