འཕགས་པ་སྦྱིན་པའི་ཕན་ཡོན་བསྟན་པ། ||| The Noble Teaching the Benefits of Generosity
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་ཏེ། ||| The Blessed One was dwelling in Śrāvastī in the Jetavana, in the park of Anāthapiṇḍada.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said to the monks,
དགེ་སློང་དག་མཁས་པ་རྣམས་ཀྱིས་རྣམ་པ་སུམ་ཅུ་རྩ་བདུན་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “Monks, the wise give gifts in thirty-seven ways.
སུམ་ཅུ་རྩ་བདུན་གང་ཞེ་ན། ||| What are those thirty-seven? They are as follows:
སེར་སྣ་རྣམ་པར་སྤང་བའི་ཕྱིར་དད་པས་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “They give gifts with faith in order to rid themselves of stinginess.
དུས་སུ་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “They give gifts at the right time.
དེ་བཞིན་གཤེགས་པས་གནང་བའི་རུང་བ་དངོས་པོ་གསུམ་ཡོངས་སུ་དག་པར་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “They give gifts, in a pure manner, of the three things suitable to be given by the Thus-Gone One.
སེམས་ཀྱི་འཁྲུག་པའི་སྐྱོན་ཐམས་ཅད་སྤང་བའི་ཕྱིར་བསྟི་སྟང་དུ་བྱས་ཏེ་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “They give gifts respectfully in order to rid themselves of all the faults of mental agitation.
སྙིང་པོ་མེད་པའི་ལུས་ལས་སྙིང་པོ་བླང་བའི་ཕྱིར་རང་གི་ལག་ནས་སྦྱིན་པ་སྦྱིན་ནོ། ། ||| “They give gifts with their own hands in order to take hold of the essence from the essenceless body.
གཞན་ལ་མི་གནོད་པའི་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་གཏོང་བ་ཆེན་པོ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift that does not harm others, the ripening is that they will acquire great generosity.
ཁ་དོག་ཕུན་སུམ་ཚོགས་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཁ་དོག་མཛེས་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift with exquisite colors, the ripening is that they will acquire a beautiful complexion.
དྲི་ཕུན་སུམ་ཚོགས་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་གྲགས་པའི་དྲི་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift with an exquisite scent, the ripening is that they will acquire the scent of fame.
རོ་བྲོ་བ་ཕུན་སུམ་ཚོགས་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་རོ་བྲོ་བ་མཆོག་གི་དཔེ་བྱད་བཟང་པོ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift with an exquisite taste, the ripening is that they will acquire the excellent marks of supreme taste.
གྱ་ནོམ་པ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ལོངས་སྤྱོད་གྱ་ནོམ་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift that is abundant, the ripening is that they will acquire abundant wealth.
རྒྱ་ཆེན་པོ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ལོངས་སྤྱོད་རྒྱ་ཆེན་པོ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift that is vast, the ripening is that they will acquire vast wealth.
བཟའ་བ་སྦྱིན་པ་བྱིན་ན་རྣམ་པར་སྨིན་པ་ཚེ་རབས་ཐམས་ཅད་དུ་བཀྲེས་པ་རྣམ་པར་གཅོད་པ་རབ་ཏུ་འཐོབ་པར་འགྱུར་རོ། ། ||| “When they have given a gift of food, the ripening is that they will acquire the elimination of hunger in all future lives.
