ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཆུ་བོ་ཆེན་པོ་ཀླུང་ནཻ་རཉྫ་ནཱའི་འགྲམ་ན། འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ལག་ན་རྡོ་རྗེ་དང་། བྱམས་པ་དང་། འཇམ་དཔལ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་བདུན་སྟོང་དང་། རབ་འབྱོར་དང་། ཤཱ་རིའི་བུ་དང་། མཽད་གལ་གྱི་བུ་ལ་སོགས་པ་ཉན་ཐོས་ཆེན་པོ་ཐམས་ཅད་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Blessed One was dwelling on the banks of the great Nairañjanā River, together with seven thousand bodhisattvas. Among them were the Noble Avalokiteśvara, Vajrapāṇi, Maitreya, and Mañjuśrī, and all the great śrāvakas like Subhūti, Śāriputra, and Maudgalyāyana.
བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་ཐམས་ཅད་དང་། རྒྱལ་པོ་དང་། བློན་པོ་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་ཐམས་ཅད་ཀྱིས་བསྐོར་ཅིང་། མདུན་དུ་བདར་ཏེ ||| He was circumambulated by Śakra, Brahmā, and all the protectors of the world, as well as all the kings, ministers, brahmins, and householders, and was placed in front of the assembly.
ཞལ་ཟས་ཀྱི་བྱ་བ་བྱས་ནས་འཁོར་གྱི་དཀྱིལ་འཁོར་དེ་དག་ཆོས་དང་ལྡན་པའི་གཏམ་གྱིས་ཚིམ་པར་བྱས། བསྐུལ། གཟེངས་བསྟོད། ཡང་དག་པར་དགའ་བར་བྱས་ཏེ། ||| After being presented with offerings of almsfood, he pleased his surrounding retinue with a teaching on Dharma, and encouraged, uplifted, and complimented them.
འཁོར་གྱི་དཀྱིལ་འཁོར་དང་། ཐབས་ཅིག་ཏུ་དེ་བཞིན་གཤེགས་པའི་རྫུ་འཕྲུལ་ཆེན་པོས་གྲོང་ཁྱེར་གཱ་རཱ་ཎ་སཱིའི་གཤེགས་ཏེ། ||| By means of his great supernatural power, the Tathāgata and his surrounding retinue were then transported to the city of Vārāṇasī,
བཱ་རཱ་ཎ་སཱིའི་ཤིང་ཨ་མྲ་སྲུང་བའི་ཚལ་ན་བཞུགས་སོ། ། ||| where they stayed in the grove of the caretaker of mango trees.
དེ་ནས་དེའི་ཚེ་ན་ས་ཆེར་གཡོས་པར་གྱུར་ནས་ ||| At that time the earth trembled greatly, and
སེང་གེའི་ཁྲི་ཆེན་པོ་རིན་པོ་ཆེ་སྣ་བདུན་ལས་བྱས་པ། འཕང་དུ་དཔག་ཚད་གཅིག་ཙམ། ཞེང་དུ་དཔག་ཚད་ཕྱེད་ཙམ་གྱི་ཚད་ལེགས་པར་སྤྲས་པ། ཤིན་ཏུ་དགའ་བར་འགྱུར་བ། ཡིད་དུ་འོང་བ་དར་གྱི་ཆུན་པོ་བཏགས་ཤིང་དཔྱངས་པ། ལྷའི་ན་བཟའ་བརྒྱ་སྟོང་དུ་མ་བཏིང་བ། ལྷའི་མེ་ཏོག་གི་ཆུན་པོ་བྱེ་བ་དུ་མ་རབ་ཏུ་དཔྱངས་པ། ལྷའི་དྲི་དང་ལྡན་པ། ཁ་དོག་དང་ལྡན་པ། ||| a vast lion throne made from the seven kinds of precious substances appeared. Covering about ten miles in height and five miles in breadth, it was well adorned, delightful, and pleasing to the mind. It was tied with hanging silk tassels, clothed with thousands of divine garments, covered with myriad garlands of divine flowers, endowed with a divine fragrance, and colorful.
དེ་བཞིན་གཤེགས་པའི་སྔོན་གྱི་དགེ་བའི་རྩ་བ་ལས་སྐྱེས་པ། དེ་མཐོང་མ་ཐག་ཏུ་སེམས་ཅན་ཐམས་ཅད་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་འགྱུར་བ་ཞིག་བྱུང་ངོ་། ། ||| The lion throne had arisen from the Tathāgata’s previously developed roots of virtue. As soon as they saw it, all beings would immediately reach the stage of accepting that phenomena are not produced.
དེ་ནས་བཅོམ་ལྡན་འདས་སེང་གེའི་ཁྲི་དེ་ཉིད་ལ་བཞུགས་ཏེ་ ||| Then, the Blessed One sat down on this lion throne,
