༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཀྵེ་མ་བ་ཏཱི་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ།
བོད་སྐད་དུ།
འཕགས་པ་བདེ་ལྡན་མ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Prophecy of Kṣemavatī
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་ཉི་ཁྲིའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱམས་པ་དང་། འཇམ་དཔལ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One was residing in Rājagṛha on Vulture Peak together with a large monastic congregation of twenty thousand monks and many bodhisattva great beings including Maitreya and Mañjuśrī.
།དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཆོས་གོས་དང་ཤམ་ཐབས་གསོལ་ཏེ། ལྷུང་བཟེད་བསྣམས་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་ཐབས་ཅིག་ཏུ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་བསོད་སྙོམས་ལ་གཤེགས་སོ། ||| At dawn, the Blessed One donned his robes, picked up his alms bowl, and, together with the bodhisattva great being Maitreya, went to the city of Rājagṛha for alms.
།དེ་ནས་བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་དུ་མཐར་ཆགས་ཀྱིས་བསོད་སྙོམས་རྒྱུ་ཞིང་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་ཕོ་བྲང་ག་ལ་བ་དེར་གཤེགས་སོ། ||| As they progressed through their rounds in the city of Rājagṛha, they neared the palace of King Bimbisāra.
།དེ་ནས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ཞེས་བྱ་བ་ཁང་བཟངས་མཆོག་གི་སྟེང་ན་འདུག་པས་བཅོམ་ལྡན་འདས་ཐག་རིང་པོ་ནས་གཤེགས་པ་མཐོང་ངོ་། ||| From atop the royal residence, King Bimbisāra’s queen, Kṣemavatī, could see the Blessed One approaching from a distance.
།མཐོང་ནས་ཀྱང་སེམས་དགའ་བར་གྱུར་ཏེ། ཁང་བཟངས་ཀྱི་སྟེང་ནས་བབས་ནས། བཅོམ་ལྡན་འདས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པའི་གདན་དར་དཀར་རིན་ཆེ་བ་བཏིང་ངོ་། །དེ་ནས་བཅོམ་ལྡན་འདས་དང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་གདན་བཤམས་པ་ལ་བཞུགས་སོ། ||| Filled with joy at the sight of the Blessed One, Kṣemavatī descended from the palace and laid out ornate cushions made of white silk for the Blessed One and the bodhisattva great being Maitreya.
།དེ་ནས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལུས་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པས་བཅོམ་ལྡན་འདས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་ ||| The Blessed One and the bodhisattva great being Maitreya seated themselves on the seats that had been prepared for them, and Kṣemavatī, bedecked in all her jewelry, bowed her head at their feet.
ཆོས་མཉན་པའི་ཕྱིར་ཞེ་ས་དང་བཅས།གུས་པ་དང་བཅས་པས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་གོ། ||| So that she might hear teachings on the Dharma, she sat before the Blessed One with great respect and reverence for him.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལུས་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་ལ་གཟིགས་ནས་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་ཕྱིར་མཁྱེན་བཞིན་དུ་རྒྱལ་པོའི་བཙུན་མོ་བདེ་ལྡན་མ་ལ་བཀའ་སྩལ་པ། ||| The Blessed One saw Queen Kṣemavatī bedecked in all her jewelry and, although he knew the answer, addressed her in order to benefit all beings. He asked,
