༄༅༅། །རྒྱ་གར་སྐད་དུ། རཱ་ཛ་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
རྒྱལ་པོ་ལ་གདམས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra Advice to a King (1) Advice to King Bimbisāra
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཆལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་རབ་ཏུ་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| The Blessed One was staying at Prince Jeta’s Grove, Anāthapiṇḍada’s Park, with a large community of monks and a community of many bodhisattvas.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་རྣམས་ལ་བཀའ་སྩལ་པ། དེ་རིང་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོ་གདུལ་བར་བྱ་བའི་དུས་ལ་བབ་ཀྱིས་ཡུལ་མ་ག་དྷཱར་འགྲོ་བར་བྱའོ་ཞེས་གསུངས་ནས། ||| At that time, the Blessed One declared to his audience, “Since the time has now come for King Bimbisāra to be trained, we must go to Magadha.”
འཁོར་དང་བཅས་པ་ངང་པའི་རྒྱལ་པོ་ལྟར་ནམ་མཁའ་ལ་ལྡིངས་ཏེ་གཤེགས་པ་བློན་པོ་ཟླ་བ་བཟང་པོས་མཐོང་ནས་རྒྱལ་པོ་ལ་སྨྲས་པ། ||| He then departed, gliding through the sky like a king of swans along with his entourage. When the minister Sucandra saw this, he said to his king, “Lord, the Buddha and his entourage are approaching our land.
ལྷ་ལགས་སངས་རྒྱས་འཁོར་དང་བཅས་པ་འོ་སྐོལ་གྱི་ཡུལ་དུ་བྱོན་པས་གྲོང་ཁྱེར་བརྒྱན་པ་དང་བསྙེན་བཀུར་བྱ་བར་རིགས་སོ། ། ||| We should adorn the city to pay our respects.”
རྒྱལ་པོས་སྨྲས་པ། འཛམ་བུའི་གླིང་ན་ང་ལས་ཆེ་བ་མེད་པར་སུ་ལ་བསྙེན་བཀུར་བྱེད་ཅེས་སླར་ཉིད་དུ་དྲེགས་པར་གྱུར་ཏོ། ། ||| “There is no one in Jambudvīpa greater than I,” replied the king, inflated with his own arrogance, “so to whom should I pay my respects?”
དེ་ནས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་ཕོ་བྲང་གི་སྒོར་གདན་བཤམས་པ་ལ་བཅོམ་ལྡན་འདས་འཁོར་དང་བཅས་པ་བཞུགས་སོ། ། ||| Then the Buddha and his entourage sat down on seats laid out at the gates of King Bimbisāra’s palace.
དེ་ལྟར་བཞུགས་པར་ཤེས་ནས་རྒྱལ་པོས་གྱད་ཆེན་པོའི་འདེགས་པ་ཞེས་བྱ་བ་རྦད་དེ་རྡོ་ཤིན་ཏུ་ཆེ་བ་བཅོམ་ལྡན་འདས་ལ་འཕངས་སོ། ། ||| When the king came to know that the Blessed One and his entourage were thus seated, he called on a wrestler known as a heavy lifter to throw a huge rock at the Blessed One.
རྡོ་དེ་ནམ་མཁའ་ལ་ལྡིང་ཞིང་དེ་ལས་སྒྲ་འདི་སྐད་ཅེས་གྲག་གོ། ། ||| From the sound of that rock flying through the air came a voice that proclaimed: “Alas!
ཀྱེ་མ་འདུས་བྱས་རྟག་པ་མེད། །སྐྱེ་ཞིང་འགོག་པའི་ཆོས་ཅན་ཡིན། ། ||| Compounded things have no permanence; Their nature is to arise and to cease.
སྐྱེ་བ་ཡོད་ན་འཆི་བ་ཡོད། ། ||| Where there is birth, there is death.
འདུ་བ་ཡོད་ན་འབྲལ་བ་ཡོད། ། ||| Where there is coming together, there is separation.
བསགས་པ་ཡོད་ན་འཛད་པ་ཡོད། ། ||| Where there is accumulation, there is depletion.
ལང་ཚོའི་མདོག་ཀྱང་ནད་ཀྱིས་འཕྲོག །འཚོ་བའི་ཚེ་ཡང་འཆི་བས་འཕྲོག ། ||| The glow of youth is robbed by illness And life itself is snatched by death.
ཆགས་པར་གྱུར་ན་སྡུག་བསྔལ་འཕེལ། ། ||| “Where there is attachment, suffering thrives.
