༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
བམ་པོ་དང་པོ།
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་རི་བྱ་རྒོད་ཀྱི་ཕུང་པོ་ལ། དགེ་སློང་བརྒྱ་ཕྲག་ཕྱེད་དང་བཅུ་གསུམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སངས་རྒྱས་ཀྱི་ཞིང་སྣ་ཚོགས་ནས་ལྷགས་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་དང་། ||| The Blessed One was dwelling in Rājagṛha at Vulture Peak Mountain with a great saṅgha of one thousand two hundred fifty monks as well as eighty-four thousand bodhisattvas who had arrived from various other buddha realms.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མངོན་པར་ཤེས་པས་མངོན་པར་ཤེས་པ། ||| These bodhisattva great beings had extraordinary abilities.
གཟུངས་ཐོབ་པ། སྤོབས་པ་ཐོགས་པ་མེད་པ། མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པ། ཏིང་ངེ་འཛིན་དང་གཟུངས་སྒྲུབ་པ་ཤེས་ཤིང་མཁས་པ། སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་ཀྱི་བསམ་པ་ཇི་ལྟར་མོས་པ་བཞིན་དུ་ཆོས་སྟོན་པ་རྣམས་དང་། ||| They had attained dhāraṇī, had unimpeded eloquence, had gained the acceptance that phenomena are nonarising, were knowledgeable and skilled in the practice of absorption and dhāraṇī, and could teach the Dharma in accordance with the inclinations of all beings.
རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། བརྒྱ་བྱིན་ལྷའི་དབང་པོ་དང་། ཚངས་པ་མི་མཇེད་ཀྱི་བདག་པོ་དང་། དེ་མ་ཡིན་པ་གཞན་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་བརྒྱ་སྟོང་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| Also in attendance were the Four Great Kings, Śakra, who is the lord of the gods, Brahmā, who is the lord of the Sahā world, and hundreds of other gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahoragas.
།ཡང་དེའི་ཚེ་དེའི་དུས་ན་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་རི་ཞིག་གི་བང་རིམ་གྱི་ངོས་ལ་སྐྱེས་བུ་དམ་པ་ཉི་ཤུ་རྩ་ལྔ་དང་ལྷན་ཅིག་ཏུ་གནས་པ་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་ཀླུ་དཔལ་དང་། ཀླུས་བྱིན་དང་། དཔལ་འབྱུང་དང་། དཔལ་གྱི་སྙིང་པོ་དང་། པད་མ་བླ་མའི་དཔལ་དང་། པད་མ་དཔལ་འབྱུང་དང་། སྐྱེ་བོ་འཛིན་དང་། ས་འཛིན་དང་། ལག་ན་རིན་ཆེན་དང་། ལག་ན་རིན་ཆེན་ཕྱག་རྒྱ་དང་། སེང་གེའི་བློ་གྲོས་དང་། སེང་གེའི་འགྲོས་བསྒྲགས་དབྱངས་དང་། ནམ་མཁའ་མཛོད་དང་། སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཆོས་ཀྱི་འཁོར་ལོས་སྒྱུར་བ་དང་། ཚིག་གི་རབ་ཏུ་ཐ་དད་པ་ཐམས་ཅད་ལ་སྤོབས་པ་དང་། སྤོབས་པའི་ཕུང་པོ་དང་། བློ་གྲོས་རྒྱ་མཚོ་དང་། ལྷུན་པོ་ཆེན་པོ་དང་། མཐོང་ན་དགའ་བ་དང་། རབ་ཏུ་དགའ་བའི་རྒྱལ་པོ་དང་། མཐའ་ཡས་མཐོང་བ་དང་། མཐའ་ཡས་དམིགས་པར་གནས་པ་དང་། བདུད་ཀྱི་ལྟ་བ་ཡང་དག་པར་འཇོམས་པ་དང་། མྱ་ངན་མེད་སྦྱིན་དང་། དོན་ཐམས་ཅད་གྲུབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དང་། སྐྱེས་བུ་དམ་པ་ཉི་ཤུ་རྩ་ལྔ་པོ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་གནས་སོ། ||| At that time, Mañjuśrī Kumārabhūta was staying on a mountain terrace with twenty-five sublime beings, namely, the bodhisattva great beings Nāgaśrī, Nāgadatta, Śrīsambhava, Śrīgarbha, Most Glorious Lotus, Emerging Lotus Glory, Beings’ Supporter, Earth Supporter, Bearer of the Jewel, Bearer of the Jeweled Seal, Siṃhamati, Leonine Proclaimer, Gaganagañja, He Who Turned the Wheel of Dharma Immediately upon Developing the Mind of Awakening, Eloquence Regarding All Distinct Terminology, Mass of Eloquence, Sāgaramati, Mahāmeru, Priyadarśa, Joyful King, Infinite Vision, Abiding in Limitless Observations, Destroyer of the Views of Māra, Aśokadatta, and Sarvārthasiddha. These were the twenty-five bodhisattva great beings, the sublime beings, who accompanied him.
།དགའ་ལྡན་གྱི་རིས་ཀྱི་ལྷའི་བུ་བཞི་ཡང་ཆོས་མཉན་པའི་ཕྱིར་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་ཕྱི་བཞིན་དུ་འབྲང་བར་གྱུར་ཏེ། ||| Four gods from the Heaven of Joy were also following Mañjuśrī Kumārabhūta in order to hear the Dharma.
ལྷའི་བུ་ཀུན་ནས་མེ་ཏོག་ཅེས་བྱ་བ་དང་། ལྷའི་བུ་མེ་ཏོག་འོད་ཟེར་ཅན་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མེ་ཏོག་མན་དཱ་ར་བའི་དྲི་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་ཆོས་ལ་གནས་པར་རྟག་ཏུ་བརྩོན་པ་ཞེས་བྱ་བ་དེ་དག་དང་། ལྷའི་བུ་མང་པོ་གཞན་དག་ཀྱང་འདི་ལྟ་སྟེ། ||| They were the gods Samantakusuma, Luminous Flower, Māndārava Scent, and Constantly Striving to Abide by the Dharma.
