༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling on Vulture Peak in Rājagṛha, together with a large assembly of twelve hundred and fifty monks.
དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་རྣམས་དང་། རྒྱལ་པོ་དང་། བློན་པོ་རྣམས་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་དང་། མུ་སྟེགས་ཅན་སྣ་ཚོགས་དགེ་སྦྱོང་དང་། བྲམ་ཟེ་དང་། སྤྱོད་པ་ཅན་དང་། ཀུན་ཏུ་རྒྱུ་རྣམས་དང་། ལྷ་རྣམས་དང་། ཀླུ་རྣམས་དང་། གནོད་སྦྱིན་རྣམས་དང་། དྲི་ཟ་རྣམས་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའི་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་བསྟི་སྟང་དུ་བྱས། བླ་མར་བྱས། རིམ་གྲོ་བྱས་ཏེ་མཆོད་ནས། བཅོམ་ལྡན་འདས་ཀྱིས་ལྷ་དང་མིའི་ན་བཟའ་དང་། ཞལ་ཟས་དང་། གཟིམས་ཆ་དང་། སྙུན་གསོས་སྨན་དང་། ཡོ་བྱད་བཟང་པོ་མང་པོ་བརྙེས་ལ། ||| Those monks, as well as nuns, male and female lay devotees, kings, ministers, brahmins, householders, various non-Buddhist ascetics, brahmins, practitioners, and renunciants, as well as gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, and mahoragas, worshiped, venerated, and honored the Blessed One. Through their offerings, the Blessed One obtained divine and human garments, food, bedding, medicines, and many excellent provisions.
པད་མ་ལ་ཆུ་མི་ཆགས་པ་བཞིན་དུ་འདོད་པ་དག་གིས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་མི་གོས་ཏེ། ||| Nevertheless, just as water does not adhere to a lotus, desires do not sully the Blessed One.
འདི་ལྟར་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཞེས་བྱ་བར་བཅོམ་ལྡན་འདས་ཀྱི་བརྗོད་པ་དང་། སྒྲ་དང་། ཚིགས་སུ་བཅད་པ་དགེ་བ་འདི་ལྟ་བུ་འདི་མངོན་པར་འཕགས་པར་གྱུར་ཏོ། ||| Then, virtuous verses were heard that celebrated the Blessed One, declaring him a tathāgata, an arhat, a perfect buddha rich in knowledge and conduct, a sugata, one who knows the ways of the world, a supreme charioteer for people in need of taming, a teacher of gods and humans, a buddha, and a blessed one.
།དེས་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་དང་། བདུད་དང་བཅས་པ་དང་། ཚངས་པ་དང་བཅས་པ་དང་། དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་དང་། ལྷ་དང་མིར་བཅས་པའི་སྐྱེ་དགུ་རང་གི་མངོན་པར་མཁྱེན་པས་མངོན་དུ་མཛད་དེ་རྫོགས་པར་མཛད་ནས་མཁྱེན་ཏོ། ||| Through his own intuition he gained direct and perfect insight into the world with its gods, with beings including Māra and Brahmā, renunciants and brahmins, and gods and humans.
།དེ་ཆོས་ཀྱང་སྟོན་ཏེ་ཚངས་པར་སྤྱོད་པ་ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། ||| He also expounded the Dharma, and gave all beings instructions in proper spiritual conduct that were virtuous in the beginning, middle, and end;
དོན་བཟང་པོ། ཚིག་འབྲུ་བཟང་པོ། མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་བྱང་བ། ཡང་དག་པར་སྟོན་ཏོ། ||| that were excellent in meaning and in expression; and that were uncontaminated and perfect, pure and unsullied.
།དེའི་ཚེ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ན་ཁྱིམ་བདག་དཔལ་སྦས་ཞེས་བྱ་བ་ཕྱུག་པ། ||| At that time, a householder named Śrīgupta lived in the city of Rājagṛha.
