འཕགས་པ་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Taking Refuge in the Three Jewels
དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Three Jewels!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| The Blessed One was residing at Jeta Grove, Anāthapiṇḍada’s park at Śrāvastī, together with a great saṅgha of 1,250 monks.
དེ་ནས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་གཅིག་པུ་དབེན་པར་འདུག་པ་དང་། ||| At that time, while the venerable Śāradvatīputra was alone in the forest,
སེམས་ཀྱིས་སེམས་ཀྱི་ཡོངས་སུ་རྟོག་པ་འདི་ལྟ་བུ་སྐྱེས་སོ། ། ||| this thought arose in his mind:
སྟོན་པ་ནི་བདག་གི་མངོན་སུམ་དུ་གྱུར་ན། བདེ་བར་གཤེགས་པ་ཆོས་ཀྱི་རྗེའི་སྤྱན་སྔར་བདག་སོང་ལ། ||| “I should go before the Teacher so that I can ask the Blissful One, the Dharma Lord, this question:
རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་དང་ལྡན་པ་གང་ལ་ལ་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བའི་གང་ཟག་དེའི་བསོད་ནམས་ཇི་སྙེད་ཅིག་སོགས་པར་འགྱུར་བའི་དོན་དེ་ཞུ་བར་བྱའོ་སྙམ་དུ་སེམས་སོ། ། ||| ‘How much merit is accumulated by faithful noble sons or noble daughters who take refuge in the Buddha, the Dharma, and the Saṅgha of monks?’ ”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ཕྱེ་མ་རེད་ཀྱི་དུས་ཀྱི་ཚེ་ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ཏེ། ||| At dusk the venerable Śāriputra emerged from his meditative seclusion and
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| went to see the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| When he arrived, he bowed his head to the Blessed One’s feet and sat to one side.
