སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡུལ་ག་ཡ་ན་ག་ཡ་མགོའི་རི་ལ་དགེ་སློང་བདུན་ཁྲི་ཉིས་སྟོང་གི། དགེ་འདུན་ཆེན་པོ་དག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was residing at Gayā­śīrṣa Hill in the Gayā region together with a great saṅgha of seventy-two thousand monks.
ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ། ||| All of them were worthy ones who had brought the defilements to exhaustion.
ཉོན་མོངས་པ་མེད་པ། དབང་དང་ལྡན་པར་གྱུར་པ། ||| They were free from affliction and composed.
སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| Their minds were fully liberated. Their insight was fully liberated.
ཅང་ཤེས་པ། གླང་པོ་ཆེན་པོ། བྱ་བ་བྱས་པ། བྱེད་པ་བྱས་པ། ||| They were beings of noble birth, great elephants, who had accomplished their tasks and completed their work.
བུར་བོར་བ། བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ། ||| They had laid down their burden and fulfilled their objectives.
སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ། བཀའ་ཡང་དག་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| With all their bonds to existence exhausted, they had reached the utter liberation of the mind by means of genuine knowledge.
སེམས་ཀྱི་དབང་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ། ཆོས་ཀྱི་དབྱིངས་ལ་མཁས་པ། ||| They had reached the final culmination of complete mastery over mind and were experts with respect to the realm of phenomena.
ཆོས་ཀྱི་རྒྱལ་པོའི་སྲས། ||| They were children of the King of Dharma.
སེམས་རྙེད་པ་དང་། བཀུར་སྟི་ཐམས་ཅད་དང་བྲལ་བ། ||| Completely disinterested in acquisitions and praise,
ལེགས་པར་རབ་ཏུ་བྱུང་བ། ལེགས་པར་བསྙེན་པར་རྫོགས་པ། བརྣག་པ་ཡོངས་སུ་རྫོགས་པ། ||| they were true renunciants, who had completed their ordination and perfected their pursuits.
མྱ་ངན་ལས་འདའ་བའི་ལམ་ལ་གནས་པ་ཤ་སྟག་སྟེ། ||| Thus, they all remained upon the path to nirvāṇa
གང་ཟག་གཅིག་མ་གཏོགས་པ་ནི་འདི་ལྟ་སྟེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའོ། ||| —all except for one: the venerable Ā­nanda.
བྱང་ཆུབ་སེམས་དཔའ་བརྒྱད་ཁྲི་བཞི་སྟོང་གི་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཆེན་པོ་དང་ཡང་ཐབས་ཅིག་སྟེ། ཐམས་ཅད་ཀྱང་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ། ||| The Blessed One was also accompanied by a great gathering of eighty-four thousand bodhisattvas, all of whom were obstructed by only a single birth.
