༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
བམ་པོ་དང་པོ།
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཁང་པ་བརྩེགས་པ་དཔེ་མེད་པ། ནམ་མཁའི་སྤྱོད་ཡུལ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་དཀྱིལ་ཐ་མི་དད་པ་ཀུན་ནས་ཡངས་པ་རང་གི་བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས་ཀྱི་རྫུ་འཕྲུལ་གྱིས་སྤྲུལ་པ། གནས་གསུམ་གྱི་མངོན་པར་འདུ་བྱེད་པ་དང་མི་འདྲ་བ། ||| The Blessed One was staying in an incomparable mansion that was so vast as to be indistinct from the center of the expanse of phenomena that extends throughout the domain of space. It was a miraculous emanation of his own accumulation of merit and wisdom, and it was unlike any contrived phenomena in the three worlds.
དཔེ་ཐམས་ཅད་ལས་ཤིན་ཏུ་འདས་པ། དེ་བཞིན་གཤེགས་པའི་རྣམ་པར་སྨིན་པ། བསམ་གྱིས་མི་ཁྱབ་པ་ལས་བྱུང་བ་ན། ||| Completely beyond comparison, it was born from the Thus-Gone One’s inconceivable karmic ripening.
དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་ཕལ་ཆེར་དགྲ་བཅོམ་པ། སོ་སོ་ཡང་དག་པར་རིག་པ་ཐོབ་པ། གཉིས་ཀའི་ཆ་ལས་རྣམ་པར་གྲོལ་བ་ཤ་སྟག་དང་། ||| He resided there together with a great assembly of 1,250 monks, most of whom were arhats who had attained correct discernment, and all of whom were liberated from the two factors.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤིན་ཏུ་རྣམ་པར་དག་པ། ཏིང་ངེ་འཛིན་ལ་རྟག་ཏུ་སྤྱོད་ཡུལ་བ། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་ཡུལ་དང་སྤྱོད་ཡུལ་ལ་གནས་པ། ཆོས་ཀྱི་དབྱིངས་མཐའ་དང་དབུས་མེད་པ་དམ་པའི་ཕ་རོལ་དུ་ཕྱིན་པ། བྱང་ཆུབ་སེམས་དཔའི་བརྣག་པ་དང་བསམ་པ་ཐམས་ཅད་ཡོངས་སུ་རྫོགས་པ། བྱང་ཆུབ་སེམས་དཔའི་དབང་ཐམས་ཅད་ཤིན་ཏུ་རྟོགས་པར་ཁོང་དུ་ཆུད་པ། མཐར་ཐུག་པའི་གནས་བཅུ་ཐོབ་པ། ཡོན་ཏན་གྱི་རྒྱན་དཔག་ཏུ་མེད་པས་བརྒྱན་པ། བྱང་ཆུབ་སེམས་དཔའི་ཏིང་ངེ་འཛིན་དང་། ||| Also present were exceedingly pure bodhisattva great beings who were constantly in samādhi, who maintained the scope and referents of omniscient wisdom, who reached the culmination of the sublime expanse of phenomena that is without center or edge, who had perfected all of the aims and intentions of a bodhisattva, who had mastered the realization of all the bodhisattva powers, who had attained the ten culminations, who were adorned with infinite ornaments of good qualities, and who had mastered the realization of the samādhi, dhāraṇī, patience, and correct discernments of a bodhisattva.
གཟུངས་དང་བཟོད་པ་དང་སོ་སོ་ཡང་དག་པར་རིག་པ་རྟོགས་པར་ཁོང་དུ་ཆུད་པ་ཤ་སྟག་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་གཟི་བརྗིད་ཆེ་བ་བརྒྱ་སྟོང་དང་། གཡོག་བརྒྱ་སྟོང་དུ་མ་དང་ཡང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| There were also hundreds of thousands of gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, mahoragas, śakras, brahmās, and many hundreds of thousands of resplendent world guardians, along with many hundreds of thousands of attendants.
དེའི་ཚེ་ན་བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ཀྱི་གོ་རིམས་ཀྱི་ཚུལ་གྱི་སྒོ་ལ་འཇུག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཆེན་པོ་སྟོན་ཏོ། །འདི་ལྟ་སྟེ། འཕགས་པ་རྣམས་མཐོང་བས་དད་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| On that occasion, the Blessed One was teaching the great approach to the Dharma called Entering the Gate of the Progressive Approach to All Dharmas: “By seeing the noble ones, one will attain faith.
དད་པ་ཐོབ་པས་དགེ་བའི་ཆོས་ལ་འདུན་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| By attaining faith, one will aspire to virtuous qualities.
