༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མཱ་དྷི་ཙཀྲ་ནཱ་མ་མ་ཧཱ་ཡ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཏིང་ངེ་འཛིན་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Wheel of Meditative Concentration
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་བཞུགས་ཏེ། དགེ་སློང་གི་དགེ་འདུན་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུ་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཚད་མེད་གྲངས་མེད་པ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One was residing on Vulture Peak in Rājagṛha accompanied by a saṅgha of 1,250 bhikṣus and a saṅgha of innumerable, countless bodhisattvas.
།གཞན་ཡང་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་ལ་སོགས་པའི་འཁོར་སྣ་ཚོགས་པས་བསྐོར་ནས་ཆོས་སྟོན་པར་གྱུར་ཏེ། ||| Surrounded also by various retinues of gods, nāgas, yakṣas, and other beings, he was teaching them the Dharma.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཏིང་ངེ་འཛིན་གྱི་འཁོར་ལོ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་པ་དང་། ||| At that time, the Blessed One was absorbed in the meditative concentration called wheel of meditative concentration.
ཏིང་ངེ་འཛིན་དེའི་མཐུས་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་རབ་ཏུ་གཡོས་པར་གྱུར་ཏོ། །སྣང་བ་ཆེན་པོས་ཀྱང་ཐམས་ཅད་གསལ་བར་གྱུར་ཏེ། ||| Through the power of that meditative concentration, all the buddha lands shook and were illuminated by a great light.
དེ་ནས་འཁོར་དེར་བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་འདུག་པར་གྱུར་ཏེ། སྟན་ལས་ལངས་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཏིང་ངེ་འཛིན་གྱི་འཁོར་ལོ་ལ་སྙོམས་པར་ཞུགས་པ་ནི་བཅོམ་ལྡན་འདས་ངོ་མཚར་ཏོ། ||| Then, the bodhisattva Youthful Mañjuśrī, who was present in that retinue, rose from his seat and said to the Blessed One, “Blessed One, your absorption in the wheel of meditative concentration is amazing.
།བདེ་བར་གཤེགས་པ་ཤིན་ཏུ་ངོ་མཚར་ལགས་སོ། ||| Sugata, it is truly amazing.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཡང་དག་པའི་མཐའ་ཤེས་སམ། བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| The Blessed One asked, “Mañjuśrī, do you know the very limit of reality?” “
བཅོམ་ལྡན་འདས་བདག་གིས་འཚལ་ལགས་སོ། ||| I know it, Blessed One,” replied the bodhisattva Mañjuśrī. “
།བཀའ་སྩལ་པ། འཇམ་དཔལ་ཡང་དག་པའི་མཐའ་གང་ན་འདུག ། ||| Mañjuśrī, where is the very limit of reality?”
གསོལ་པ། ||| asked the Blessed One.
བཅོམ་ལྡན་འདས་ཡང་དག་པའི་མཐའ་ནི་གང་ན་མ་མཆིས་པ་དེ་ན་མཆིས་ལགས་སོ། །བཀའ་སྩལ་པ། ||| Mañjuśrī replied, “Blessed One, the very limit of reality is where it is not.” “
འཇམ་དཔལ་གང་ན་མེད་པ་དེ་གང་ཡིན། ||| Mañjuśrī, where is it not?”
གསོལ་པ། བཅོམ་ལྡན་འདས་ཡུལ་ཐམས་ཅད་དང་བྲལ་བའོ། ||| asked the Blessed One, Mañjuśrī replied, “Blessed One, it is without any location.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་སྒོམ་པ་གང་ཡིན། ||| The Blessed One asked, “Mañjuśrī, what is meditation?”
