༄༅༅། །རྒྱ་གར་སྐད་དུ། ཙ་ཏུར་དྷརྨ་ཀ་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཆོས་བཞི་པའི་མདོ། ||| The Sūtra on The Four Factors
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was residing in Śrāvastī at Jeta Grove, Anāthapiṇḍada’s Park, together with a great saṅgha of 1250 monks.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བརྟན་ཅིང་ཟབ་ལ་སྙན་ཅིང་རྒྱ་ཆེ་བའི་སྒྲ་དབྱངས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་རིགས་ཀྱི་བུ་མཁས་པས་ཇི་སྲིད་འཚོའི་བར་དུ་གནས་བཞི་ལ་ཡིད་བརྟན་པར་མི་བྱའོ། ||| At that time, the Blessed One addressed the monks in a voice that was steady, deep, harmonious, and far-reaching, saying, “Monks, there are four beliefs that a wise son of good family does not hold for as long as he lives.
།བཞི་གང་ཞེ་ན། ||| What are these four? “
དགེ་སློང་དག་རིགས་ཀྱི་བུ་མཁས་པས་བདག་ནི་བུད་མེད་དག་ལ་དགའ་བའོ་སྙམ་དུ་ཇི་སྲིད་འཚོའི་བར་དུ་ཡིད་བརྟན་པར་མི་བྱ་བ་དང་། ||| Monks, for as long as he lives, a wise son of good family does not hold the belief that there is pleasure to be found in women. “
དགེ་སློང་དག་རིགས་ཀྱི་བུ་མཁས་པས་བདག་ནི་རྒྱལ་པོའི་ཕོ་བྲང་འཁོར་ལ་དགའ་བའོ་སྙམ་དུ་ཇི་སྲིད་འཚོའི་བར་དུ་ཡིད་བརྟན་པར་མི་བྱ་བ་དང་། ||| Monks, for as long as he lives, a wise son of good family does not hold the belief that there is pleasure to be found at the court of the royal palace. “
དགེ་སློང་དག་རིགས་ཀྱི་བུ་མཁས་པས་བདག་ནི་གཟུགས་བཟང་བ་མཛེས་པ་བལྟ་ན་སྡུག་པ་ནད་ཉུང་བའོ་སྙམ་དུ་ཇི་སྲིད་འཚོའི་བར་དུ་ཡིད་བརྟན་པར་མི་བྱ་བ་དང་། ||| Monks, for as long as he lives, a wise son of good family does not hold the belief that he is attractive, handsome, good looking, and in good health. “
དགེ་སློང་དག་རིགས་ཀྱི་བུ་མཁས་པས་བདག་ནི་ཕྱུག་པ། ནོར་མང་བ། ཡོ་བྱད་ཕུན་སུམ་ཚོགས་པའོ་སྙམ་དུ་ཇི་སྲིད་འཚོའི་བར་དུ་ཡིད་བརྟན་པར་མི་བྱའོ། ||| Monks, for as long as he lives, a wise son of good family does not hold the belief that he is rich, wealthy, and has abundant resources.”
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། ||| The Blessed One spoke these words.
བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས། སྟོན་པས་གཞན་ཡང་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བུད་མེད་བརྟེན་དུ་ག་ལ་རུང་། ||| Once the Sugata had spoken in this way, he, the Teacher, also said the following: “How could it be right to depend on women?
།རྒྱལ་པོའི་ཕོ་བྲང་ག་ལ་དགའ། ||| How could the royal palace ever be delightful?
།དབུ་བའི་སྙིང་པོ་ག་ལ་ཡོད། ||| How could a bubble possess a solid core?
།ལོངས་སྤྱོད་རྟག་པ་ག་ལ་ཡིན། ||| How could one’s wealth possibly endure? “
།ལོངས་སྤྱོད་དག་ནི་འབབ་ཆུ་བཞིན། ||| Wealth is like a rushing river.
།གྲུ་ཅི་འདྲ་བར་ཁྱིམ་དེ་འདྲ། ||| A home is like a ferryboat.
།མེ་ཏོག་ཅི་འདྲ་གཟུགས་དེ་བཞིན། ||| One’s body resembles a flower.
།སྲོག་ནི་ཆུ་བུར་འདྲ་བ་ཡིན། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། དགེ་སློང་དེ་དག་དང་། ||| Life itself is like a water bubble.”
ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| When the Blessed One had said this, the monks, together with the world of devas, humans, asuras, and gandharvas, rejoiced and praised the words of the Blessed One.
ཆོས་བཞི་པའི་མདོ་རྫོགས་སོ། ། ||| This concludes “The Sūtra on the Four Factors.”
