༄༅། །རྒྱ་གར་སྐད་དུ། དྷརྨ་ས་མུ་དྲ་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཐེག་པ་ཆེན་པོའི་མདོ་ཆོས་རྒྱ་མཚོ་ཞེས་བྱ་བ། འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| The Mahāyāna Sūtra The Ocean of Dharma Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱ་མཚོའི་གླིང་ཕྲན་པོ་ཏ་ལ་ཀའི་རི་ལ་རྒྱལ་བའི་སྲས་མི་ལྡོག་པ་ཕལ་པོ་ཆེས་བསྐོར་ཅིང་མདུན་དུ་བྱས་ཏེ་བཞུགས་སོ། ། ||| The Blessed One was staying at Mount Potalaka, on an island in the ocean, surrounded and attended to by a large gathering of heirs of the victorious ones, who had attained irreversibility.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇིག་རྟེན་གྱི་དབང་པོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལ་བཀའ་སྩལ་པ། སྐྱེས་བུ་དམ་པ་ཆོས་ཀྱི་གཏམ་ཅི་འདོད་པ་དྲི་བར་གྱིས་ཤིག ། ||| The Blessed One addressed the bodhisattva great being Lord of the World, “Wise one, you may ask about any Dharma teaching you like.”
ཅེས་པ་དང་། བརྩེ་བ་ལ་བསྒྲིབས་པ་མེད་པས་རྣམ་པར་གྲོལ་བ་ཐོབ་པ། འཇིག་རྟེན་གྱི་དབང་པོ་བྱང་ཆུབ་སེམས་དཔས་བཅོམ་ལྡན་འདས་ལ་གསོལ་པ། བཙུན་པ་ཇི་ལྟར་ན་གཞོན་ནུར་གྱུར་པས་བདུད་ལས་རྒྱལ་བ་ལགས། ||| Lord of the World, who was liberated through unobscured love, then asked the Blessed One, “Honorable one, how do youthful ones attain victory over Māra?”
གང་གིས་བྱང་ཆུབ་ཀྱི་སེམས་བསྐྱེད་མ་ཐག་པས་འདོད་པ་ལ་རྟོག་ཅིང་མི་སྟེན་པ་དང་། མི་འཆང་བ་དང་། ||| “The moment you engender the mind of awakening, you will examine desire and will not rely on it.
ང་རྒྱལ་མེད་པ་དང་། ||| You will be free and without pride.
ཤེས་རབ་དང་། ཐབས་ལ་མཁས་པ་དང་། སྟོང་པ་ཉིད་ལ་ཤིན་ཏུ་མོས་པ་དང་ལྡན་ཏེ། ||| You will possess insight, be skilled in means, and be inspired by emptiness.
ཡོད་པ་དང་མེད་པ་སྤངས་པ་དང་། ཡང་དག་པ་མ་ཡིན་པ་ལ་བརྟགས་པས་གྲངས་མེད་པར་ཡང་འཁོར་བར་འགྱུར། ||| You will relinquish existence and nonexistence, and for countless lives, considering it to be unreal, will remain in saṃsāra.”
ཇི་ལྟར་ན་དགེ་བར་གསུངས་པའི་ཆོས་དང་འདུལ་བ་ལ་རབ་ཏུ་བྱུང་ཞིང་ཡང་དག་པར་རྫོགས་པའི་བསྙེན་པར་རྫོགས་པ་ལགས། ||| “How does one go forth into the well-taught Dharma and Vinaya and take full ordination correctly?”
འགྲོ་བ་ཐ་དད་པའི་ཆོས་རྣམས་ལས་འདས་པ་དང་། གནས་ངན་ལེན་ལ་རྟེན་ཅིང་འཇུག་པའི་སེམས་དང་། ཡིད་དང་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་ལས་འདས་ཏེ། མི་གཉིས་པའི་ཆོས་ཐོས་པ་ནི་ཤིན་ཏུ་རབ་ཏུ་བྱུང་བའོ། ། ||| “To go forth is to transcend the phenomena of different kinds of beings; to transcend the thoughts, mind, and mental consciousnesses that depend on and engage in the bases of suffering; and to hear the teachings on nonduality.
སེམས་ཅན་གང་ཐ་དད་པ་འདི་ལྟ་བུས་རབ་ཏུ་བྱུང་བ་དེ་ནི་ཡང་དག་པར་རབ་ཏུ་བྱུང་བའོ། །གང་རབ་ཏུ་བྱུང་ཡང་ཚུལ་ཁྲིམས་དང་། སྤྱོད་ཡུལ་དང་། ||| A being of any different kind who goes forth in this way has truly gone forth.
