༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
བམ་པོ་དང་པོ།
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན་བཞུགས་ཏེ། གང་དག་ཕྱོགས་བཅུའི་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་ནས་དེར་ལྷགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གྲངས་མེད། དཔག་ཏུ་མེད། བརྗོད་དུ་མེད་པ་དག་གིས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་གྱིས་བལྟས་སོ། ||| The Blessed One was residing in the Veṇuvana at the Kalandakanivāpa near Rājagṛha, surrounded and attended by an innumerable, limitless, and indescribable number of bodhisattva great beings who had arrived from countless other buddha realms of the ten directions.
།དེ་བཞིན་དུ་ཕྱོགས་བཅུའི་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་དང་གཞན་དག་ནས་དེར་འདུས་ཏེ་ལྷགས་པའི་ཉན་ཐོས་ཆེན་པོ་གྲངས་མེད། དཔག་ཏུ་མེད། བརྗོད་དུ་མེད་པ་དག་གིས་ཀྱང་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་གྱིས་བལྟས་སོ། ||| He was also surrounded and attended by an innumerable, limitless, and indescribable number of great hearers who had gathered there from different buddha realms of the ten directions.
།དེ་བཞིན་དུ་ཕྱོགས་བཅུའི་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་དང་གཞན་དག་ནས་འདིར་ལྷགས་པ་བརྒྱ་བྱིན་དང་། ཚངས་པའི་དབང་པོ་དང་། ལྷའི་དབང་པོ་དང་། ཀླུའི་དབང་པོ་དང་། གནོད་སྦྱིན་གྱི་དབང་པོ་དང་། དྲི་ཟའི་དབང་པོ་དང་། ལྷ་མ་ཡིན་གྱི་དབང་པོ་དང་། ནམ་མཁའ་ལྡིང་གི་དབང་པོ་དང་། མི་འམ་ཅིའི་དབང་པོ་དང་། ལྟོ་འཕྱེ་ཆེན་པོའི་དབང་པོ་གྲངས་མེད། དཔག་ཏུ་མེད། བརྗོད་དུ་མེད་པ་དག་གིས་ཀྱང་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ས་དང་ནམ་མཁའ་ལ་འགྲོ་བའི་ལམ་གང་བར་གྱུར་ཏོ། ||| In the same way, an innumerable, limitless, and indescribable number of other beings who had arrived there from the various buddha realms of the ten directions—Śakra, Lord Brahmā, the rulers of the gods, the rulers of the nāgas, the rulers of the yakṣas, the rulers of the gandharvas, the rulers of the asuras, the rulers of the garuḍas, the rulers of the kinnaras, and the rulers of the mahoragas—filled all the pathways on the ground and in the sky throughout the entire buddha realm of Sahā.
།དེ་བཞིན་དུ་འདོད་པ་ན་སྤྱོད་པ་དང་། གཟུགས་ན་སྤྱོད་པའི་ལྷ་གཞན་དང་གཞན་དག་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། སྲིན་པོ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་གཞན་དང་། གཞན་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་ཀྱང་ལྷགས་ནས། ||| There also arrived an innumerable and limitless number of different gods from the desire and form realms, of nāgas, yakṣas, and rākṣasas, and of asuras, garuḍas, kinnaras, and mahoragas.
བཅོམ་ལྡན་འདས་ལ་གྱེན་དུ་ལྟ་ཞིང་། བཅོམ་ལྡན་འདས་རིང་པོ་མི་ཐོགས་པར་མཐར་ཕྱིན་པ། ནམ་མཁའ་ལྟར་སྣང་བ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་རབ་ཏུ་འབྱེད་པ། དབུགས་རྔུབ་པ་དང་། འབྱུང་བ་དྲན་པ་འཆི་བ་མེད་པའི་སྒོ། ||| Sitting in silence, they looked up at the Blessed One as he revealed how bodhisattva conduct quickly brings perfection and manifests like space and as he gave teachings on the mindfulness of breathing, which is the gateway to immortality, and the sublime states.
ཚངས་པའི་གནས་པ་ལུང་བསྟན་པ་སྟོན་པ་ན་ཅང་མི་སྨྲ་བར་འཁོད་དེ་ཐམས་ཅད་དང་ལྡན་པའི་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ས་དང་ནམ་མཁའི་ལམ་གང་བར་གྱུར་ཅིང་། ||| They filled all the pathways on the ground and in the sky throughout the entire buddha realm of Sahā.
ད་དུང་བཅོམ་ལྡན་འདས་ཀྱི་ཆོས་ཀྱི་ཆར་གྱི་སྟོན་པས་ཚིམ་པར་མ་གྱུར་ནས་ཐལ་མོ་དག་རབ་ཏུ་སྦྱར་ཏེ། བཅོམ་ལྡན་འདས་ཁོ་ན་ལ་བལྟ་ཞིང་འཁོད་པ་ནི་དཔེར་ན་ནད་པ་དག་སྨན་པ་ལ་ལྟ་བར་བྱེད་པ་བཞིན་དང་། ||| Still not satisfied by the teachings of the Blessed One’s Dharma rain, they remained with their palms joined together, staring at the Blessed One.
