༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་ཀྵ་ར་ཀ་རཎྜ་ཀ་བཻ་རོ་ཙ་ན་གརྦྷ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Basket without Words, The Illuminator’s Matrix
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One was dwelling in Rājagṛha on Vulture Peak together with a great saṅgha of monastics.
།བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་ཐམས་ཅད་ཀྱང་རྒྱ་ཆེན་པོ་ཤེས་པ། ཐབས་ལ་མཁས་པ། གསལ་བ། ལེ་ལོ་མེད་པ། ཡི་གེ་སྒྲུབ་པ་ལ་མཁས་པ། ||| There were also many hundred sextillions of bodhisattvas, all with extensive knowledge, skilled in means, lucid, free from laziness, and skilled in their command of words.
གནས་དང་གནས་མ་ཡིན་པ་ཁོང་དུ་ཆུད་པར་བྱེད་པ། ||| They comprehended what is correct and what is incorrect.
རྣམ་པར་གྲོལ་བ་ཕུན་སུམ་ཚོགས་པ། ||| They were completely liberated.
འདུལ་བའི་མྱུ་གུ་དང་ལྡན་པ། ངོ་ཚ་ཤེས་པའི་ཡན་ལག་དང་ལྡན་པ། སྙིང་རྗེའི་བདག་ཉིད་ཅན། སེམས་ཅན་ལ་མཉེས་གཤིན་པ། ||| Endowed with the bud of discipline and the branch of conscience, they were compassionate by nature and affectionate toward sentient beings.
ཏིང་ངེ་འཛིན་མང་པོ་དང་ལྡན་པ། ཤེས་རབ་ཀྱི་ལག་པ་དང་ལྡན་པ། བླ་མ་ལ་སྲི་ཞུ་ཆེ་བ། ||| They had attained many meditative concentrations, possessed the hand of insight, and showed great respect to their teachers.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རིན་པོ་ཆེའི་གླིང་དང་མཚུངས་པ། ||| They resembled the bodhisattva great being Ratnadvīpa.
དགེ་བ་དང་མི་དགེ་བ་ཤེས་པ། གཡོ་ཁོང་དུ་ཆུད་པར་བྱེད་པ། ||| They knew what was virtuous and nonvirtuous and comprehended deception.
ངེས་པའི་ཚིག་དང་སྤོབས་པ་ཟད་མི་ཤེས་པ་དང་། ||| They comprehended both semantic elucidation and inexhaustible eloquence.
ཟུང་ཁོང་དུ་ཆུད་པར་བྱེད་པ། རྣམ་པར་རྒྱལ་བ་ཐོབ་པ། སེམས་ཅན་ཐམས་ཅད་ལ་ཁོང་དུ་ཆུད་པར་བྱེད་པ། ||| They had attained victory and they engendered comprehension in all sentient beings.
ཡང་དག་པའི་མཐའ་ལས་བྱུང་ཞིང་བརྟེན་པ། ||| They emerged from and relied upon the limit of reality.
ཤིན་ཏུ་དཔའ་བ། གནས་པ་མེད་པ། ||| Extremely heroic, they had no abode.
ཆོས་བླ་མའི་རང་བཞིན་ལ་ངེས་པ། ||| They were certain about the nature of the highest teachings.
རང་བཞིན་མེད་པའི་ཁྱད་པར་སེམས་པ་སྙིང་པོ་ལ་དཔའ་བ། ||| Their thoughts distinctly focused on the lack of inherent existence, they were courageous with regard to the matrix.
སྐྱེ་བ་ལ་སྨོད་པའི་སྐྱེས་བུ། ||| They were beings who despised rebirth.
ཆོས་ཁོང་དུ་ཆུད་པར་བྱེད་པ། མཚན་གྱི་གཞི་ཤེས་པ། ||| They comprehended phenomena and knew their bases of characterization.
ཡུལ་འཁོར་སྲུང་བ། ཡུལ་འཁོར་སྐྱོང་བ། ||| They were guardians and protectors of realms.
སྒྲ་གྲགས་པ། ||| They were renowned.
