འཕགས་པ་བསམ་གྱིས་མི་ཁྱབ་པའི་རྒྱལ་པོའི་མདོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Sūtra of King of the Inconceivable
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡུལ་མ་ག་དྷཱ་ན་ཆོས་ཀྱི་དབྱེ་དགོན་པ་ན། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ན་སེང་གེའི་ཁྲི་རྡོ་རྗེ་དང་ནོར་བུ་རིན་པོ་ཆེས་སྤྲས་པའི་པད་མའི་སྙིང་པོའི་གདན་ལ་བཞུགས་ཏེ། ||| The Blessed One was dwelling at the seat of awakening, a secluded hermitage in the land of Magadha, where he was seated upon a lion throne in the center of a lotus, inlaid with vajras and precious jewels.
བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོའི་དགེ་འདུན་ཕྱོགས་བཅུའི་སངས་རྒྱས་ཀྱི་ཞིང་བརྗོད་དུ་མེད་པའི་ཡང་བརྗོད་དུ་མེད་པ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་གྱི་རྡུལ་ཕྲ་རབ་སྙེད་ཀྱི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། །དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བསམ་གྱིས་མི་ཁྱབ་པའི་རྒྱལ་པོ་ཞེས་བྱ་བས། ||| He was accompanied by a great bodhisattva assembly of as many bodhisattva great beings as there are atoms in the millions of billions of utterly indescribable buddhafields throughout the ten directions.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ལ་སྨྲས་པ། ||| The bodhisattva great being King of the Inconceivable addressed those bodhisattva great beings:
ཀྱེ་རྒྱལ་བའི་སྲས་དག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པའི་སངས་རྒྱས་ཀྱི་ཞིང་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདིའི་བསྐལ་པ་གཅིག་གང་ཡིན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཚེ་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་བདེ་བ་ཅན་གྱི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་ཉིན་ཞག་གཅིག་གོ། ||| “O children of the Victorious One, a single eon in this Sahā world, the buddhafield of the blessed, thus-gone, worthy, and completely perfect Buddha Śākyamuni, is but a single day in the realm of Sukhāvatī, the buddhafield of the thus-gone, worthy, and completely perfect Buddha Amitāyus.
།ཀྱེ་རྒྱལ་བའི་སྲས་དག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཚེ་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་བདེ་བ་ཅན་གྱི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་བསྐལ་པ་གཅིག་གང་ཡིན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྡོ་རྗེ་རབ་ཏུ་འཇོམས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཉིན་ཞག་གཅིག་གོ། ||| “O children of the Victorious One, a single eon in the realm of Sukhāvatī, the buddhafield of the thus-gone, worthy, and completely perfect Buddha Amitāyus, is but a single day in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Vajrapramardin.
།ཀྱེ་རྒྱལ་བའི་སྲས་དག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྡོ་རྗེ་རབ་ཏུ་འཇོམས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་བསྐལ་པ་གཅིག་གང་ཡིན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་ཟེར་ཤིན་ཏུ་སྟུག་པོ་པད་མ་རབ་ཏུ་རྒྱས་པའི་སྐུའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཉིན་ཞག་གཅིག་གོ། ||| “O children of the Victorious One, a single eon in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Vajrapramardin is but a single day in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Lotus Body Blooming from Dense Light Rays.
།ཀྱེ་རྒྱལ་བའི་སྲས་དག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་ཟེར་ཤིན་ཏུ་སྟུག་པོ་པད་མ་རབ་ཏུ་རྒྱས་པའི་སྐུའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་བསྐལ་པ་གཅིག་གང་ཡིན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཀྱི་རྒྱལ་མཚན་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཉིན་ཞག་གཅིག་གོ། ||| “O children of the Victorious One, a single eon in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Lotus Body Blooming from Dense Light Rays is but a single day in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Dharmadhvaja.
།ཀྱེ་རྒྱལ་བའི་སྲས་དག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཀྱི་རྒྱལ་མཚན་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་བསྐལ་པ་གཅིག་གང་ཡིན་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སེང་གེའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཉིན་ཞག་གཅིག་གོ། ||| “O children of the Victorious One, an eon in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Dharmadhvaja is but a single day in the buddhafield of the thus-gone, worthy, and completely perfect Buddha Siṃha.
