༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ད་ཤ་དི་ཀ་ཨན་དྷ་ཀཱ་ར་བི་དྷྭན་ས་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Dispelling the Darkness of the Ten Directions
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཤཱཀྱ་རྣམས་ཀྱི་ནང་ན། སེར་སྐྱའི་གནས་ཤིང་ནྱ་གྲོ་དྷའི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱམས་པ་དང་། འཇམ་དཔལ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའི་འཁོར་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། །དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ། ||| The Blessed One was dwelling among the Śākyas at Nyagrodha Park in Kapilavastu, together with a great assembly of 1,250 monks and a great retinue of bodhisattvas including Maitreya and Mañjuśrī.
ཤམ་ཐབས་གསོལ་ནས། ལྷུང་བཟེད་དང་། ཆོས་གོས་བསྣམས་ཏེ། དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་ཅིང་། དགེ་སློང་གི་དགེ་འདུན་གྱིས་མདུན་དུ་བདར་ནས་སེར་སྐྱའི་གནས་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་བསོད་སྙོམས་ལ་གཤེགས་སོ། ། ||| In the morning the Blessed One put on his lower robe and, taking up his alms bowl and upper dharma robe, surrounded and escorted by an assembly of monks, traveled to the great city of Kapilavastu to receive alms.
དེའི་ཚེ་ན་ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་ཞེས་བྱ་བ་ཞིག་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ཤིང་རྟ་ལ་ཞོན་ནས་སེར་སྐྱའི་གནས་གྲོང་ཁྱེར་ཆེན་པོ་ནས་ཕྱིར་བྱུང་བ་དང་། ||| At that time, a Śākya youth known as Shining Countenance was setting out from the great city of Kapilavastu in a chariot to attend to some affairs.
ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་གྱིས། བཅོམ་ལྡན་འདས་ཐག་རིང་པོ་ཁོ་ན་ནས་གཤེགས་པ་མཐོང་ངོ་། ། ||| Even from a great distance, the Śākya youth Shining Countenance saw the Blessed One approach.
མཐོང་ནས་ཀྱང་ཤིང་རྟ་དེ་ལས་བབས་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་གཉིས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ||| Seeing him, he dismounted from the chariot and went to where the Blessed One was, bowed with palms joined in the direction of the Blessed One, and bowed his head to the Blessed One’s feet.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་གོ། ། ||| He then circumambulated the Blessed One three times, and with palms joined sat before the Blessed One.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འདི་ན་བདག་གི་ཕ་མ་གཉིས་གཉིད་ལོག་པ་དང་མ་ལོག་པ་དག་ལ་མི་མ་ལགས་པ་རྣམས་རྣམ་པར་འཚེ་བར་བགྱིད་ལ། ||| The Śākya youth Shining Countenance then made this request of the Blessed One: “Blessed One, here in this city both my father and mother, while they are asleep or awake, might be harmed by nonhuman beings.
བཅོམ་ལྡན་འདས་བདག་ཀྱང་གང་གི་ཚེ་ལྗོངས་ཀྱི་ཕྱོགས་གཞན་དུ་མཆི་བའི་ཚེ། བདག་ལ་ཡང་ཆོམ་རྐུན་པ་དག་རྣམ་པར་འཚེ་བར་བགྱིད་ཅིང་། གཅན་གཟན་དག་ཀྱང་རྣམ་པར་འཚེ་བར་བགྱིད་ན། ||| Blessed One, I, too, when traveling to other lands, might be harmed by bandits or wild animals.
