འཕགས་པ་སངས་རྒྱས་བདུན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Seven Buddhas
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཏི་སེའི་རིའི་རྩེ་མོ་ལྷའི་གནས་ན་དྲང་སྲོང་གི་སྤྱོད་པ་དང་ཧ་ཅང་ཡང་མི་རིང་བ་ཞིག་ན། ||| The Blessed One was dwelling on the summit of Kailāsa in the abode of the gods close to where the sages live.
དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་ལ་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་དང་། ཀུན་ཏུ་བཟང་པོ་དང་། མཐའ་ཡས་མེ་ཏོག་དང་། ཀུན་ནས་མེ་ཏོག་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་ཤ་སྟག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| He was accompanied by a great monastic saṅgha of around five hundred monks and five hundred bodhisattvas, including the bodhisattva great being Maitreya, the bodhisattva great being Ākāśagarbha, Samantabhadra, Infinite Flowers, Samantakusuma, and others, all of whom were bodhisattvas who were just one birth away from awakening.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རིའི་རྩེ་མོའི་ནགས་ཁྲོད་དེ་ཉིད་ན་དགེ་སློང་ཞིག་འབྱུང་པོས་ཟིན་ནས་བརྡོལ་ཅིང་གཅེར་བུ་གོས་མེད་ལ་ལག་པ་བསྒྲེང་སྟེ་ངུ་ཞིང་འདུག་པ་གཟིགས་སོ། ། ||| The Blessed One saw that a monk in that alpine forest had been possessed by a spirit, had collapsed, and was lying there naked and wailing with his arms raised up.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོས་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས། ||| The bodhisattva great being Ākāśagarbha draped his upper robe over one shoulder, knelt on his right knee,
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| bowed to the Blessed One with his hands joined, and addressed him.
བཅོམ་ལྡན་འདས་ནམ་མཁའི་དཀྱིལ་ན་ཀྱི་ཧུད་ཅེས་སྒྲ་འབྱིན་པ་འདི་དང་། དགེ་སློང་གཅེར་བུ་གོས་མ་མཆིས་པ། ལག་པ་སྟོང་པ་ཅིག་ཤོས་འདི་ཡང་སུ་ཞིག་ལགས། ||| “Blessed One, what is this great lamenting that fills the sky, and who is this naked monk raising his arms in distress?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One told the bodhisattva great being Ākāśagarbha,
ནམ་མཁའི་སྙིང་པོ་འདི་ནི་ནད་ཀྱིས་བཏབ་པ་ཡིན་ནོ། ། ||| “Ākāśagarbha, this monk is ill.
ཅིག་ཤོས་འདི་ཡང་ནད་ཀྱིས་བཏབ་པ་ཡིན་ནོ། ། ||| He has contracted an illness.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Ākāśagarbha then asked the Blessed One,
