འཕགས་པ་སངས་རྒྱས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Eight Buddhas
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Bhagavān was dwelling in Śrāvastī at Jeta Grove in the park of Anāthapiṇḍada with a great saṅgha of 1,250 monks.
ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ། ||| They were all worthy ones.
ཟག་པ་ཟད་པ། ||| Their contaminations were exhausted,
ཉོན་མོངས་པ་མེད་པ། ||| they were without afflictions,
དབང་དང་ལྡན་པར་གྱུར་པ། ||| they were endowed with power,
སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| their minds were thoroughly liberated, and
ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| their insight was thoroughly liberated.
ཅང་ཤེས་པ། ||| They were of noble lineage.
གླང་པོ་ཆེན་པོ་བྱ་བ་བྱས་པ། བྱེད་པ་བྱས་པ། ||| They were great elephants who had completed their work and accomplished their tasks.
ཁུར་བོར་བ། ||| They had put down their burdens,
རང་གི་དོན་རྗེས་སུ་ཐོབ་པ། ||| attained their own aims, and
སྲིད་པ་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ། ||| destroyed the bonds of existence, and
ཡང་དག་པའི་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| their minds were liberated through perfect knowledge.
སེམས་ཀྱི་དབང་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ་ཤ་སྟག་སྟེ། ||| They had perfected the best of all the powers of the mind.
གང་ཟག་གཅིག་མ་གཏོགས་པ་ནི་འདི་ལྟ་སྟེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའོ། ། ||| They were all this way—with the exception of one person, Venerable Ānanda.
དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་གོ། ། ||| On that occasion, Venerable Śāriputra had joined the assembly and was in attendance.
དེ་ནས་དེའི་མོད་ལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཡང་རྣམ་པ་དྲུག་ཏུ་གཡོས། ||| At that moment all the worlds of the trichiliocosm shook in six ways.
མ་དཀྲོལ་བར་བར་སྣང་ལས་སིལ་སྙན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་གི་སྒྲ་དག་ཀྱང་བྱུང་། ||| The sounds of quintillions of cymbals, without their being played, rang through the atmosphere.
ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དང་། མན་དཱ་ར་བ་ཆེན་པོ་དང་། མན་ཛུ་ཤ་ཀ་དང་། མན་ཛུ་ཤ་ཀ་ཆེན་པོའི་མེ་ཏོག་གི་ཆར་ཡང་བབ་སྟེ ||| There rained down a shower of divine flowers—mandārava, mahāmandārava, mañjūṣaka, and mahāmañjūṣaka flowers.
རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ཐམས་ཅད་རིན་པོ་ཆེའི་མེ་ཏོག་གི་ཆལ་པས་གང་བར་གྱུར་ཏོ། ། ||| The entire Jeta Grove in the park of Anāthapiṇḍada became blanketed with precious flowers.
དེ་ནས་དེའི་མོད་ལ་ཐམས་ཅད་དང་ལྡན་པའི་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་གསེར་གྱི་ཁ་དོག་གི་སྣང་བ་ཆེན་པོས་ཁྱབ་པར་གྱུར་ཏོ། ། ||| At that moment, all the worlds in the trichiliocosm became suffused with a brilliant golden-colored light.
