འཕགས་པ་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Not Forsaking the Buddha
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་བརྒྱད་ཁྲི་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| The Blessed One was on Vulture Peak Mountain in Rājagṛha, together with a great saṅgha of 1,250 monks and eighty thousand bodhisattvas.
དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མྱ་ངན་མེད་ཀྱིས་བྱིན་པ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་གོ། ། ||| At that time, the bodhisattva great being Aśokadatta was present in the assembly,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མྱ་ངན་གྱི་མུན་པ་ཐམས་ཅད་ངེས་པར་འཇོམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡེ་ཤེས་ཀྱི་འོད་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚངས་པ་ལས་བྱུང་བ་འབྲུག་དབྱངས་སྤྲིན་གྱི་ང་རོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་པོ་ཆེའི་མེ་ཏོག་ཀུན་དུ་རྒྱས་པའི་གཟི་བརྗིད་ལྟ་བུ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་ཡོན་ཏན་ལས་བྱུང་བ་འབྲུག་གི་ང་རོས་འགྲོ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་ཀྱི་གཟི་བརྗིད་རྣམ་པར་བསྒྲགས་པ་གྲགས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡེ་ཤེས་ཀྱི་བཀོད་པ་མཐའ་ཡས་པ་བསྒྲུབ་པ་ལ་སེམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་པོ་ཆེ་མཐའ་ཡས་པའི་མེ་ཏོག་ཀུན་དུ་རྒྱས་པའི་རྣམ་པར་བསྒྲགས་པ་གྲགས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤེས་རབ་ཀྱི་སྣང་བས་སྟོབས་པ་བསྟན་པའི་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བཅུ་པོ་དེ་དག་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འཁོད་དོ། ། ||| as were the bodhisattva great being Vanquisher of the Darkness of Sorrow, the bodhisattva great being Light of Wisdom, the bodhisattva great being Roaring Thunder Cloud from Brahmā, the bodhisattva great being Glorious Blooming Flower of Precious Qualities, the bodhisattva great being Born from the Lion’s Virtues and Moving with a Thunder Roar, the bodhisattva great being Renowned Brilliant Light, the bodhisattva great being Aiming for Accomplishment of Limitless Wisdom Array, the bodhisattva great being Renowned Blooming Flower of Limitless Precious Qualities, and the bodhisattva great being Intelligent Light of Insight Displaying Power.
དེ་དག་ནི་གཟུངས་ཐོབ་པར་བྱ་བའི་ཕྱིར་ལོ་བདུན་དུ་བརྩོན་པར་གྱུར་པ་དག་གོ། ། ||| These ten bodhisattva great beings who were present in the assembly had exerted themselves for seven years with the aim of attaining dhāraṇī.
དེ་དག་ནི་ལོ་བདུན་འདས་ནས་སེམས་མཉམ་པར་བཞག་པ་ཡང་མ་ཐོབ་ན་གང་གཟུངས་ཐོབ་པར་འགྱུར་བ་ལྟ་ཅི་སྨོས། ||| However, although seven years had passed, they had not even attained mental equipoise, let alone dhāraṇī.
དེ་དག་ནི་ལོ་བདུན་དུ་རྨུགས་པ་དང་གཉིད་ཡོངས་སུ་སྤངས་ཤིང་འདུག་པ་དང་། འཆག་པ་ལ་བརྩོན་པར་བྱས། ||| For seven years, they had avoided dullness and sleep and exerted themselves while sitting and walking.
འདོད་པའི་རྣམ་པར་རྟོག་པ་ཡོངས་སུ་སྤང་བ་ལ་ ||| They had exerted themselves in relinquishing all thoughts of desire.
བརྩོན་པར་བྱས་ཀྱང་བསམ་པ་བཞིན་མ་ཐོབ་ཅིང་གཟུངས་མ་ཐོབ་ནས་ཡོངས་སུ་སྐྱོ་བའི་ཡིད་ཀྱིས་བསླབ་པ་ཕུལ་ནས་ཉམས་པར་གྱུར་ལ། ||| Nevertheless, they had not achieved their goal and had not attained dhāraṇī; and thus, feeling discouraged, they had offered back their precepts and lapsed.
