འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Eight Auspicious Ones
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡངས་པ་ན་ཨ་མྲ་སྲུང་བའི་ཚལ་ན་བཞུགས་སོ། ||| The Blessed One was dwelling in Vaiśālī at Āmrapālī’s grove.
།དེ་ནས་ལིཙྪ་བཱིའི་བུ་རྩལ་རབ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| A Licchavi youth, Superior Skill, went to where the Blessed One was.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Upon arriving, he bowed his head at the Blessed One’s feet and addressed the Blessed One with these words:
།བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གང་ལ་ལ་སྔོན་གྱི་སྨོན་ལམ་ཕུན་སུམ་ཚོགས་པ་དག་བཞུགས་པ་བཅོམ་ལྡན་འདས་གང་དག་ཐོས་ན། ||| “There are some blessed, thus-gone, worthy, perfect buddhas presently dwelling in fulfillment of their former aspirations. If I hear about those blessed ones, I will venerate them on the crown of my head.
བདག་གིས་སྤྱི་བོས་བཀུར་ཞིང་གང་དག་བདག་གིས་སྤྱི་བོས་བཀུར་བས་མིའམ་མི་མ་ལགས་པ་ལས་འཇིགས་པའམ། གཙེ་བ་འབྱུང་བར་མི་འགྱུར་བ་དང་། བཅོམ་ལྡན་འདས་བདག་རྒྱལ་པོའི་ཕོ་བྲང་དུ་མཆིས་ཏེ། སྨྲ་བརྗོད་པ་ན་ཅི་ནས་གང་གིས་ཀྱང་སྨྲ་བ་ལ་ཟློག་པ་མི་བགྱིད་ཅིང་ཟིལ་གྱིས་མི་ནོན་པ་དང་། མཚན་དེ་དག་ཉིད་བདག་འཛིན་ན། ||| By venerating them on the crown of my head, I will not be threatened or harmed by human or nonhuman beings, Blessed One, and when I speak at a royal palace, whatever I say will not be repudiated or overruled under any circumstance.
གཉིད་ཀྱིས་ལོག་ན་ཡང་སྡིག་པའི་རྨི་ལམ་རྨི་བར་མི་འགྱུར་བ་དང་། བདག་མཚོན་ཆ་གཟས་པའི་གཡུལ་གྱི་ནང་དུ་ཞུགས་ན་ཡང་ལུས་ལ་མཚོན་ཆ་རྣམས་ཕོག་པར་མི་འགྱུར་ལ། ||| If I remember their names, I will not even dream bad dreams while sleeping, and if I enter into a battle where swords are drawn, those swords will not strike me, and I will be delivered from it safely.
དེ་ལས་བདེ་བར་ཐར་བར་ཡང་འགྱུར་བ་དེ་དག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་ཡོངས་སུ་བསྟན་དུ་གསོལ། ||| I request the blessed, thus-gone, worthy, perfect Buddha to reveal their names.”
དེ་སྐད་ཅེས་གསོལ་ནས། བཅོམ་ལྡན་འདས་ཀྱིས་ལིཙྪ་བཱིའི་བུ་རྩལ་རབ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་གྲགས་ལྡན་ཞེས་བྱ་བ་ཡོད་དེ། ||| Thus requested, the Blessed One said to the Licchavi youth Superior Skill, “Superior Skill, to the east there is a world system called Famous.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྒྲོན་མའི་རྒྱལ་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། ||| The thus-gone, worthy, perfect buddha named Pradīparāja resides there.
།རྩལ་རབ་ཤར་ཕྱོགས་ན་འཇིག་རྟེན་གྱི་ཁམས་སྐྱོ་བ་མེད་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| “Superior Skill, to the east there is a world system called Free from Sorrow.
