༄༅༅། །རྒྱ་གར་སྐད་དུ། དྷྭ་ཛཱ་གྲན་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་རྒྱལ་མཚན་མཆོག་ཅེས་བྱ་བ། ||| The Mahāsūtra The Crest Insignia (1)
དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Three Jewels.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡུལ་སྤོང་བྱེད་དུ་ཡུལ་རྒྱུ་ཞིང་གཤེགས་པ་ན་ཡངས་པ་ཅན་དུ་བྱོན་ནས། ||| The Blessed One was traveling through the land of Vṛji and had arrived in Vaiśālī.
ཡངས་པ་ཅན་གྱི་སྤྲེའུ་རྫིང་གི་འགྲམ་གྱི་ཁང་པ་བརྩེགས་པའི་གནས་ན་བཞུགས་སོ། ། ||| He had taken up residence at the Kūṭāgāraśālā, on the banks of the Monkey Pond near Vaiśālī.
དེའི་ཚེ་ན་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་ཡུལ་རྡོ་འཇོག་ཏུ་ཚོང་པར་བྱ་བའི་ཕྱིར་ཡུལ་རྡོ་འཇོག་ཏུ་འགྲོ་བར་ཆས་པའི་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གིས། ||| At that time, a large group of merchants from Vaiśālī was preparing for a journey to the land of Takṣaśilā in order to trade.
བཅོམ་ལྡན་འདས་ཡུལ་སྤོང་བྱེད་དུ་ཡུལ་རྒྱུ་ཞིང་གཤེགས་པ་ན་ཡངས་པ་ཅན་དུ་བྱོན་ནས། ཡངས་པ་ཅན་གྱི་སྤྲེའུའི་རྫིང་གི་འགྲམ་གྱི་ཁང་པ་བརྩེགས་པའི་གནས་ན་བཞུགས་སོ་ཞེས་ཐོས་སོ། ། ||| These many merchants of Vaiśālī heard that the Blessed One was traveling through the land of Vṛji, had arrived in Vaiśālī, and had taken up residence at the Kūṭāgāraśālā on the banks of the Monkey Pond near Vaiśālī.
ཐོས་ནས་ཀྱང་ཚོགས་ནས་ཚོགས་དང་། མང་པོ་ནས་མང་པོར་ལྷགས་ཤིང་འདུས་ཏེ་ཡངས་པ་ཅན་ནས་བྱུང་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། ||| When they heard this, they gathered in groups and banded together in bands, left Vaiśālī, and went to the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་པ་དང་། ||| On arrival, they bowed their heads at the Blessed One’s feet and sat to one side.
བཅོམ་ལྡན་འདས་ཀྱིས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་ཕྱོགས་གཅིག་ཏུ་འཁོད་པ་དག་ལ་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དོ། ། ||| The Blessed One taught, instructed, encouraged, and delighted the many merchants of Vaiśālī, who were seated to one side, with a Dharma talk.
རྣམ་གྲངས་དུ་མར་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་ཅང་མི་གསུང་བར་བཞུགས་སོ། ། ||| Having taught, instructed, encouraged, and delighted them with a Dharma talk on various topics, the Blessed One sat in silence.
