༄༅༅། །རྒྱ་གར་སྐད་དུ། དྷྭ་ཛཱ་གྲ་ན་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་རྒྱལ་མཚན་དམ་པ་ཞེས་བྱ་བ། ||| The Mahāsūtra The Crest Insignia (2)
དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Three Jewels.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན། རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ། ། ||| The Blessed One was staying in Śrāvastī, in Jeta Grove, the park of Anāthapiṇḍada.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་གལ་ཏེ་ཁྱེད་ཅག་དགོན་པ་ན་འདུག་ཀྱང་རུང་། ཤིང་དྲུང་ན་འདུག་ཀྱང་རུང་། །ཁྱིམ་སྟོང་པ་ན་འདུག་ཀྱང་རུང་སྟེ། འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན། དེའི་ཚེ་ཁྱེད་ཀྱིས་འདི་ལྟར་བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡིན་ནོ་ཞེས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| The Blessed One addressed the monks, saying, “Monks, whether you stay in the wilderness, under a tree, or in an empty house, in the event that you experience fear, trepidation, or terror, you should recollect me thus through these epithets: ‘The Blessed One is a thus-gone one, a worthy one, a perfectly awakened one, a learned and virtuous one, a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of gods and humans, an awakened one, and a blessed one.’
དེའི་ཚེ་ཁྱེད་ཀྱིས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| If at that time you recollect me through these epithets, then whatever fear, trepidation, or terror you are experiencing will subside.
དགེ་སློང་དག་སྔོན་ལྷ་དང་། ལྷ་མ་ཡིན་གྱི་གཡུལ་ཉེ་བར་གནས་པར་གྱུར་ན། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ལ་སྨྲས་པ། གྲོགས་པོ་དག་གལ་ཏེ་ཁྱེད་ཅག་ལྷ་དང་ལྷ་མ་ཡིན་གྱི་གཡུལ་དུ་ཞུགས་པ་ན། འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན། ||| “Monks, previously, when a battle between the gods and the asuras was about to break out, Śakra, the king of the gods, called out to the gods of the Heaven of the Thirty-Three, saying, ‘If friends, when you go into the battle between the gods and the asuras, you experience fear, trepidation, or terror, you should at that time recall my crest insignia Vaijayanta.
དེའི་ཚེ་ཁྱེད་ཀྱིས་ངའི་རྒྱལ་མཚན་མཆོག་རྣམ་པར་རྒྱལ་བྱེད་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག །དེའི་ཚེ་ཁྱེད་ཀྱིས་ངའི་རྒྱལ་མཚན་མཆོག་རྣམ་པར་རྒྱལ་བྱེད་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། །དགེ་སློང་དག་དེ་བཞིན་དུ་གལ་ཏེ་ཁྱེད་ཅག་ཀྱང་དགོན་པ་ན་འདུག་ཀྱང་རུང་། ཤིང་དྲུང་ན་འདུག་ཀྱང་རུང་། ||| If at that time you recollect my crest insignia Vaijayanta, whatever fear, trepidation, or terror you are experiencing will subside.’
ཁྱིམ་སྟོང་པ་ན་འདུག་ཀྱང་རུང་སྟེ། འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་སྐྱེ་བར་གྱུར་ན། དེའི་ཚེ་ཁྱེད་ཀྱིས་འདི་ལྟར་བཅོམ་ལྡན་འདས་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡིན་ནོ་ཞེས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| “Monks, similarly, whether in the wilderness, under a tree, or in an empty house, in the event that you experience fear, trepidation, or terror, you should recollect me thus through these epithets: ‘The Blessed One is a thus-gone one, a worthy one, a perfectly awakened one, a learned and virtuous one, a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of gods and humans, an awakened one, and a blessed one.’
དགེ་སློང་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་ང་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན། འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| Monks, if at that time you recollect me through these epithets, whatever fear, trepidation, or terror you are experiencing will subside.
དགེ་སློང་དག་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དེ་ནི་ད་དུང་འདོད་ཆགས་དང་བཅས། ཞེ་སྡང་དང་བཅས། གཏི་མུག་དང་བཅས་ཤིང་སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་དག་ལས་ཡོངས་སུ་མཐར་ལ། ||| “Monks, Śakra, the lord of the gods, still has desire, hatred, and delusion, and he is not liberated from birth, old age, sickness, death, sorrow, lamentation, suffering, unhappiness, and disturbance.
