༄༅༅། །རྒྱ་གར་སྐད་དུ། གཎ་ཌཱི་ས་མ་ཡ་སཱུ་ཏྲ། བོད་སྐད་དུ།
གཎ་ཌཱིའི་དུས་ཀྱི་མདོ། ||| The Sūtra on the Timings for the Gaṇḍī
བཅོམ་ལྡན་འདས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the blessed Youthful Mañjuśrī.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་འོད་མའི་ཚལ་བྱ་ཀ་ལན་དཀའི་གནས་ན་བཞུགས་ཏེ། ||| The Blessed One was staying in the Bamboo Grove, in the Kalandakanivāpa near Rājagṛha.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བོས་ཏེ་བཀའ་སྩལ་པ། ||| The Blessed One called forth the monks and delivered the following teaching.
དགེ་སློང་དག་ལ་ལོ་རྣམས་ཀྱི་དུས་བཤད་པར་བྱ་ཡིས། ||| “Monks, I will explain the times of the year to you.
དེ་ལེགས་པར་ཉོན་ཅིག ། ||| Listen well.
དགེ་སློང་རྣམས་དགུན་ཟླ་ར་བའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བདུན་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་ཕྱེད་དང་ལྔ་ནི་དུས་མ་ཡིན་ནོ། ། ||| “Monks, in the first half of the first winter month, seven feet is the time for the gaṇḍī; a fingerbreadth less than four and a half feet is not.
ཟླ་བ་ཕྱེད་དང་གཉིས་པ་ལ་ནི་རྐང་པ་བརྒྱད་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་དྲུག་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, eight feet is the time for the gaṇḍī; a fingerbreadth less than six feet is not.
དགུན་ཟླ་འབྲིང་པོའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་དགུ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བདུན་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the middle winter month, nine feet is the time for the gaṇḍī; a fingerbreadth less than seven feet is not.
ཟླ་བ་གཉིས་པ་ལ་ནི་རྐང་པ་བཅུ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བརྒྱད་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, ten feet is the time for the gaṇḍī; a fingerbreadth less than eight feet is not.
དགུན་ཟླ་ཐ་ཆུངས་ཀྱི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བཅུ་གཅིག་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་དགུ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the last winter month, eleven feet is the time for the gaṇḍī; a fingerbreadth less than nine feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་བཅུ་གཉིས་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བཅུ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, twelve feet is the time for the gaṇḍī; a fingerbreadth less than ten feet is not.
དཔྱིད་ཟླ་ར་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བཅུ་གཅིག་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་དགུ་ལ་ནི་དུས་མ་ཡིན་ནོ། ། ||| “In the first half of the first month of spring, eleven feet is the time for the gaṇḍī; a fingerbreadth less than nine feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་བཅུ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བརྒྱད་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, ten feet is the time for the gaṇḍī; a fingerbreadth less than eight feet is not.
དཔྱིད་ཟླ་འབྲིང་པོའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་དགུ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བདུན་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the middle month of spring, nine feet is the time for the gaṇḍī; a fingerbreadth less than seven feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་བརྒྱད་གཎཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་དྲུག་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, eight feet is the time for the gaṇḍī; a fingerbreadth less than six feet is not.
དཔྱིད་ཟླ་ཐ་ཆུངས་ཀྱི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བདུན་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་ལྔ་ནི་དུས་མ་ཡིན་ནོ། ། ||| During the first half of the last month of spring, seven feet is the time for the gaṇḍī; a fingerbreadth less than five feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་དྲུག་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བཞི་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, six feet is the time for the gaṇḍī; a fingerbreadth less than four feet is not.
དབྱར་ཟླ་ར་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་དྲུག་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་བཞི་ནི་དུས་མ་ཡིན་ནོ། ། ||| “In the first half of the first month of summer, six feet is the time for the gaṇḍī; a fingerbreadth less than four feet is not.
ཟླ་བ་ཕྱེད་གཉིས་པ་ལ་ནི་རྐང་པ་ལྔ་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གསུམ་པ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the second half of that month, five feet is the time for the gaṇḍī; a fingerbreadth less than three feet is not.
དབྱར་ཟླ་འབྲིང་པོའི་ཟླ་བ་ཕྱེད་དང་པོ་ལ་ནི་རྐང་པ་བཞི་གཎ་ཌཱིའི་དུས་ཡིན་ལ། སོར་གྱིས་དམན་པའི་རྐང་པ་གསུམ་ནི་དུས་མ་ཡིན་ནོ། ། ||| In the first half of the middle month of summer, four feet is the time for the gaṇḍī; a fingerbreadth less than three feet is not.
