སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་ཀུ་ཤ་ན་གྱད་ཀྱི་ཉེན་འཁོར་ཤིང་སཱ་ལ་ཟུང་གི་ཚལ་ན། ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་པར་བཞུགས་ཏེ། ||| The Bhagavān was dwelling in the Grove of Twin Sāl-Trees in the vicinity of the Malla town of Kuśinagara, together with a retinue of śrāvakas.
དེ་ནས་བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ཁོ་ནའི་དུས་ཀྱི་ཚེ་ ||| Then, when the Bhagavān was about to pass into parinirvāṇa,
དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| he addressed the bhikṣus:
དགེ་སློང་དག་ཁྱེད་ཀྱིས་འདི་ལྟར་བསླབ་པར་བྱ་སྟེ། ||| “Bhikṣus, you should train in this way.
ཞེས་དགེ་སློང་དག་ཁྱེད་ཀྱིས་དེ་ལྟར་བསླབ་པར་བྱའོ། ། ||| Bhikṣus, you should train thinking,
དགེ་བའི་བཤེས་གཉེན་དང་། དགེ་བའི་གྲོགས་པོ་དང་། དགེ་བའི་སྟེན་དང་གནས་པར་བྱའི། ||| ‘One should live with a virtuous spiritual friend, a virtuous companion, a virtuous support.
སྡིག་པའི་བཤེས་གཉེན་དང་། སྡིག་པའི་གྲོགས་པོ་དང་། སྡིག་པའི་སྟེན་དང་གནས་པར་མི་བྱའོ་ ||| One should not, however, live with a nonvirtuous spiritual friend, a nonvirtuous companion, a nonvirtuous support.’ ”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then, the venerable Ānanda said to the Bhagavān,
བཙུན་པ་འདིར་བདག་གཅིག་པུ་དབེན་པར་མཆིས་ནས་ནང་དུ་ཡང་དག་འཇོག་ལ་ཞུགས་པ་ན་སེམས་ལ་འདི་ལྟ་བུའི་སེམས་ཀྱི་ཡོངས་སུ་རྟོག་པ་བྱུང་སྟེ། འདི་ལྟ་སྟེ། ||| “Honorable One, having come here alone to a secluded place, I had gone into meditative retreat when the following thought arose in my mind:
