༄༅༅། །བོད་སྐད་དུ།
མཆོག་ཏུ་གདགས་པའི་མདོ། ||| The Sūtra “Declaring What Is Supreme”
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་པ། རྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པར་དབྱར་གནས་པར་དམ་བཅས་ཏེ་བཞུགས་སོ། ||| The Bhagavān, together with a saṅgha of śrāvakas, was staying at Kalandakanivāsa in the Bamboo Grove at Rājagṛha, observing the pledge to stay in retreat during the rains.
།དེར་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་འདི་གསུམ་ན་མཆོག་ཏུ་གདགས་པ་ཡིན་ཏེ། ||| Then the Bhagavān spoke to the monks: “Monks, there are three declarations of what is supreme.
གསུམ་གང་ཞེ་ན། ||| What are the three?
སངས་རྒྱས་མཆོག་ཏུ་གདགས་པ་དང་། ཆོས་མཆོག་ཏུ་གདགས་པ་དང་། དགེ་འདུན་མཆོག་ཏུ་གདགས་པའོ། ||| They are the declaration of the Buddha as supreme, the declaration of the Dharma as supreme, and the declaration of the Saṅgha as supreme. “
།དེ་ལ་སངས་རྒྱས་མཆོག་ཏུ་གདགས་པ་གང་ཞེ་ན། ||| In this regard, what is the declaration of the Buddha as supreme?
སེམས་ཅན་རྐང་མེད་རྣམས་སམ། རྐང་གཉིས་རྣམས་སམ། རྐང་བཞི་རྣམས་སམ། རྐང་མངས་རྣམས་སམ། གཟུགས་ཅན་རྣམས་སམ། གཟུགས་ཅན་མ་ཡིན་པ་རྣམས་སམ། འདུ་ཤེས་ཅན་རྣམས་སམ། འདུ་ཤེས་ཅན་མ་ཡིན་པ་རྣམས་སམ། འདུ་ཤེས་ཡོད་པ་ཡང་མ་ཡིན། འདུ་ཤེས་མེད་པ་ཡང་མ་ཡིན་པ་གང་ཡང་རུང་སྟེ། དེ་དག་གི་ནང་ན་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མཆོག་ཡིན་པར་བསྟན་ཏོ། ||| It is taught that among all beings—those without legs, with two legs, with four legs, or with many legs; those with form or without form; those with perception, without perception, or neither with perception nor without perception—the tathāgata, the arhat, the completely perfect Buddha is supreme.
།སངས་རྒྱས་ལ་མངོན་པར་དགའ་བ་སུ་ཡང་རུང་བ་དེ་དག་ནི་མཆོག་ལ་མངོན་པར་དགའ་བ་ཡིན་ཏེ། ||| Those who are well disposed toward the Buddha are well disposed toward what is supreme.
མཆོག་ལ་མངོན་པར་དགའ་བ་དེ་དག་ནི་རྣམ་པར་སྨིན་པ་ཡང་ལྷ་རྣམས་ཀྱི་ནང་དུ་ལྷར་གྱུར་པ་རྣམས་སམ། མི་རྣམས་ཀྱི་ནང་དུ་མིར་གྱུར་པ་རྣམས་ཀྱི་མཆོག་འབའ་ཞིག་ཏུ་འགྱུར་བར་ཤེས་པར་བྱ་སྟེ། ||| Those who are well disposed toward what is supreme, should understand that the ripening thereof will always be as a supreme god among gods, or a supreme human among humans.
འདི་ནི་སངས་རྒྱས་མཆོག་ཏུ་གདགས་པ་ཞེས་བྱའོ། ||| This is called the declaration of the Buddha as supreme. “
།ཆོས་མཆོག་ཏུ་གདགས་པ་གང་ཞེ་ན། ||| What is the declaration of the Dharma as supreme?
འདུས་བྱས་སམ། འདུས་མ་བྱས་ཀྱི་ཆོས་རྣམས་གང་ཡང་རུང་སྟེ། དེ་དག་གི་ནང་ན་ནི་འདོད་ཆགས་དང་བྲལ་བའི་ཆོས་མཆོག་ཡིན་པར་བསྟན་ཏོ། ||| It is taught that among all dharmas, conditioned or unconditioned, the Dharma of being free from attachment is supreme.
།ཆོས་ལ་མངོན་པར་དགའ་བ་སུ་ཡང་རུང་བ་དེ་དག་ནི། མཆོག་ལ་མངོན་པར་དགའ་བ་ཡིན་ཏེ། ||| Those who are well disposed toward the Dharma are well disposed toward the supreme.
