སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Bhagavān was dwelling in Anāthapiṇḍada’s park, in the Jeta Grove in Śrāvastī, along with a large monastic assembly.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| The Bhagavān addressed the monks as follows:
དགེ་སློང་དག་ཆོས་བཞི་པོ་འདི་དག་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་སྡུག་པ། དབེན་པ། ཕངས་པ། ཡིད་དུ་འོང་བ། མངོན་པར་དགའ་བར་བྱ་བའོ། ། ||| “Monks, four things are appealing, singled out, considered valuable, pleasant, and highly appreciated by everyone.
བཞི་གང་ཞེ་ན། ||| What are those four?
དགེ་སློང་དག་ནད་མེད་པ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་སྡུག་པ། དབེན་པ། ཕངས་པ། ཡིད་དུ་འོང་བར་མངོན་པར་དགའ་བར་བྱ་བའོ། ། ||| “Monks, good health is appealing, singled out, considered valuable, pleasant, and highly appreciated by everyone.
ནད་མེད་པ་དེའི་མཐའ་ཡང་ནད་ཡིན་ཏེ། ||| Good health, however, ends with sickness.
དགེ་སློང་དག་ནད་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་མི་སྡུག་པ། མི་དབེན་པ། མི་ཕངས་པ། ཡིད་དུ་མི་འོང་བ་མངོན་པར་དགའ་བར་བྱ་བ་མ་ཡིན་པའོ། ། ||| Monks, sickness is neither appealing, nor is it singled out, considered valuable, pleasant, or highly appreciated by anyone.
དགེ་སློང་དག་ལང་ཚོ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་སྡུག་པ། དབེན་པ། ཕངས་པ། ཡིད་དུ་འོང་བ་མངོན་པར་དགའ་བར་བྱ་བའོ། ། ||| “Monks, youth is appealing, singled out, considered valuable, pleasant, and highly appreciated by everyone.
ལང་ཚོ་འདིའི་མཐའ་ཡང་རྒ་བ་ཡིན་ཏེ། ||| Youth, however, ends with the aging of the body.
དགེ་སློང་དག་རྒ་བ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་མི་སྡུག་པ། མི་དབེན་པ། མི་ཕངས་པ། ཡིད་དུ་མི་འོང་བ། མངོན་པར་དགའ་བར་བྱ་བ་མ་ཡིན་པའོ། ། ||| Monks, the aging of the body is neither appealing, nor is it singled out, considered valuable, pleasant, or highly appreciated by anyone.
དགེ་སློང་དག་འབྱོར་པ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་སྡུག་པ། དབེན་པ། ཕངས་པ། ཡིད་དུ་འོང་བ་མངོན་པར་དགའ་བར་བྱ་བའོ། ། ||| “Monks, prosperity is appealing, singled out, considered valuable, pleasant, and highly appreciated by everyone.
འབྱོར་པ་དེའི་མཐའ་ཡང་རྒུད་པ་ཡིན་ཏེ། ||| Prosperity, however, ends with its decline.
དགེ་སློང་དག་རྒུད་པ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་མི་སྡུག་པ། མི་དབེན་པ། མི་ཕངས་པ། ཡིད་དུ་མི་འོང་བ། མངོན་པར་དགའ་བར་བྱ་བ་མ་ཡིན་པའོ། ། ||| Monks, the decline of prosperity is neither appealing, nor is it singled out, considered valuable, pleasant, or highly appreciated by anyone.
དགེ་སློང་དག་སྲོག་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་སྡུག་པ། དབེན་པ། ཕངས་པ། ཡིད་དུ་འོང་བ་མངོན་པར་དགའ་བར་བྱ་བའོ། ། ||| “Monks, life is appealing, singled out, considered valuable, pleasant, and highly appreciated by everyone.
སྲོག་དེའི་མཐའ་ཡང་འཆི་བ་སྟེ། ||| Life, however, ends in death.
དགེ་སློང་དག་འཆི་བ་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་མི་སྡུག་པ། མི་དབེན་པ། མི་ཕངས་པ། ཡིད་དུ་མི་འོང་བ། མངོན་པར་དགའ་བར་བྱ་བ་མ་ཡིན་པའོ། ། ||| Monks, death is neither appealing, nor is it singled out, considered valuable, pleasant, or highly appreciated by anyone.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ཏེ། བདེ་བར་གཤེགས་པས་དེ་སྐད་གསུངས་ནས། སྟོན་པས་གཞན་ཡང་འདི་སྐད་བཀའ་སྩལ་ཏོ། ། ||| Thus spoke the Bhagavān, the Sugata, and having spoken the Teacher added these words:
ནད་མེད་མི་རྟག་ལང་ཚོ་རྟག་མ་ཡིན། །འབྱོར་པ་མི་རྟག་སྲོག་ཀྱང་རྟག་མ་ཡིན། ། ||| “Good health is impermanent, Youth does not last. Prosperity is impermanent, And life, too, does not last.
སྐྱེ་བོ་མི་རྟག་ཉིད་ཀྱིས་ཉེན་གྱུར་ན། །འདོད་པའི་ཡོན་ཏན་དགའ་བ་ཇི་ལྟར་སྐྱེ། ། ||| How can beings, afflicted as they are by impermanence, Take delight in desirable things like these?”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། དགེ་སློང་དེ་དག་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| When the Bhagavān had thus spoken, the monks rejoiced and praised his words.
མི་རྟག་པ་ཉིད་ཀྱི་མདོ་རྫོགས་སོ།། །། ||| This completes “ The Sūtra on Impermanence
རྒྱ་གར་གྱི་མཁན་པོ་སུ་རེན་དྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཞང་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ནས་སྐད་གསར་ཅད་ཀྱིས་ཀྱང་བསྣན་ནས་གཏན་ལ་ཕབ་པ།། །། ||| Translated and edited by the Indian preceptor Surendrabodhi and the principal editor-translator, Bandé Zhang Yeshé Dé. It was then also reviewed and finalized in accordance with current language reforms.
