འཕགས་པ་ཡངས་པའི་གྲོང་ཁྱེར་དུ་འཇུག་པའི་མདོ་ཆེན་པོ། ||| The Noble Mahāsūtra Entering the City of Vaiśālī
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all the buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time:
བཅོམ་ལྡན་འདས་འདམ་བུའི་ཁྲོད་ན་གཟིངས་པའི་འདུག་གནས་ན་བཞུགས་ཏེ། ||| The Blessed One was residing in Nāḍikā, at the Impenetrable Dwelling Place.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| The Blessed One said to the venerable Ānanda,
ཀུན་དགའ་བོ་ཡངས་པའི་གྲོང་ཁྱེར་ག་ལ་བ་དེར་འདོང་ངོ་། ། ||| “Ānanda, let us proceed to the city of Vaiśālī.”
བཙུན་པ་དེ་ལྟར་བགྱིའོ་ཞེས་གསོལ་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་ཏོ། ། ||| “Let us do so, O Honored One,” replied the venerable Ānanda, assenting to what the Blessed One had said.
དེ་ནས་བཅོམ་ལྡན་འདས་ཡུལ་བྲྀ་ཛིར་རྒྱུ་ཞིང་གཤེགས་ཏེ། ཡངས་པའི་གྲོང་ཁྱེར་དུ་བྱོན་ནས། ||| Thereupon the Blessed One, traveling through the country of Vṛji, arrived in Vaiśālī.
ཡངས་པའི་གྲོང་ཁྱེར་གྱི་ཨ་མྲ་སྲུང་བའི་ཚལ་ན་བཞུགས་སོ། ། ||| In Vaiśālī, he stayed in Āmrapālī’s grove.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| At that time the Blessed One said to the venerable Ānanda,
ཀུན་དགའ་བོ་ཡངས་པའི་གྲོང་ཁྱེར་དུ་སོང་ལ་ཕྱིན་ནས་སྒོའི་ཐེམ་པ་ལ་རྐང་པ་ཞོག་སྟེ། ||| “Ānanda, go to the city of Vaiśālī, place your foot on the threshold of the city gate, and
གསང་སྔགས་ཀྱི་གཞི་འདི་དག་དང་། ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲོས་ཤིག ། ||| utter these mantras and these verses:
བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། ||| “ ‘ Visarata visarata visarata visarata
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་ཏོ། ། ||| “ ‘The Buddha, who has compassion for the world, has spoken.
སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་དགོངས་པ། ||| This is the wish of all buddhas.
རང་སངས་རྒྱས་ཀྱིས་བསམས་པ། ||| It is the wish of all pratyekabuddhas.
དགྲ་བཅོམ་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all arhats.
སློབ་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all those undergoing training.
ཉན་ཐོས་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all śrāvakas.
བདེན་པའི་ཚིག་དང་ལྡན་པ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all who speak words of truth.
ཆོས་ཀྱིས་བསམས་པ། ||| It is the wish of the Dharma.
ཚངས་པས་བསམས་པ། ||| It is the wish of Brahmā.
ཚངས་པ་སོ་སོས་བསམས་པ། ||| It is the wish of Pratyeka­brahman.
འདོད་པའི་དབང་ཕྱུག་གིས་བསམས་པ། ||| It is the wish of Kāmeśvara.
དབང་པོས་བསམས་པ། ||| It is the wish of Indra.
ལྷས་བསམས་པ། ||| It is the wish of the gods.
ལྷ་མ་ཡིན་གྱི་དབང་པོས་བསམས་པ། ||| It is the wish of the lord of the demigods.
ལྷ་མ་ཡིན་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all demigods.
ལྷ་མ་ཡིན་གྱི་མངག་གཞུག་པས་བསམས་པ། ||| It is the wish of the servants of the demigods.
འབྱུང་པོ་ཐམས་ཅད་ཀྱིས་བསམས་པ། ||| It is the wish of all bhūtas:
བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། བི་ས་ར་ཏ། ||| “ ‘ Visarata visarata visarata visarata
སངས་རྒྱས་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་ཅན་གྱིས་བཀའ་སྩལ་ཏོ། ། ||| “ ‘The Buddha, who has compassion for the world, has spoken.
མུན་ཙྪ་ཏ། མུན་ཙྪ་ཏ། ||| “ ‘ Muñcata muñcata
མ་འདུག་ཤིག ། ||| “ ‘Do not stay.
