ཕ་མའི་མདོ། ||| The Father and Mother Sūtra
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་པ་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་ཁྱིམ་བདག་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ། ། ||| The Blessed One was dwelling with a saṅgha of hearers in Śrāvastī, in the Jetavana, in the park of Anāthapiṇḍada.
དེར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| At that time, the Blessed One proclaimed:
དགེ་སློང་དག་ཁྱིམ་གང་དག་ན། ཕ་མ་གཉིས་ལ་ལེགས་པར་རི་མོ་བྱེད་པ་དང་། ལེགས་པར་གཡོག་བྱེད་པའི་ཁྱིམ་དེ་དག་ནི་ཚངས་པ་དང་ལྡན་པ་ཡིན་ནོ། ། ||| “Monks, those householders who properly venerate and attend to both their father and mother dwell with Brahmā.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
དགེ་སློང་དག་རིགས་ཀྱི་བུའི་ཕ་མ་གཉིས་ནི་རིགས་པའི་སྒོ་ནས་ཚངས་པ་དང་འདྲ་བའི་ཕྱིར་རོ། ། ||| Monks, from the perspective of the family, the father and mother of a child of noble family are like Brahmā.
དགེ་སློང་དག་ཁྱིམ་གང་དག་ན་ཕ་མ་གཉིས་ལ་ལེགས་པར་རི་མོ་བྱེད་པ་དང་། ལེགས་པར་མཆོད་པ་བྱེད་པ་དང་། ལེགས་པར་གཡོག་བྱེད་པའི་ཁྱིམ་དེ་དག་ནི་སློབ་དཔོན་དང་ལྡན་པ་ཡིན་ནོ། ། ||| “Monks, those householders who properly venerate, honor, and attend to both their father and mother dwell with teachers.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
དགེ་སློང་དག་རིགས་ཀྱི་བུའི་ཕ་མ་གཉིས་ནི་རིགས་པའི་སྒོ་ནས་སློབ་དཔོན་དང་འདྲ་བ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Monks, from the perspective of the family, the father and mother of a child of noble family are like teachers.
དགེ་སློང་དག་ཁྱིམ་གང་དག་ན་ཕ་མ་གཉིས་ལ་ལེགས་པར་རི་མོར་བྱེད་པ་དང་། ལེགས་པར་མཆོད་པ་བྱེད་པ་དང་། ལེགས་པར་གཡོག་བྱེད་པའི་ཁྱིམ་དེ་དག་ནི་ཀུན་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ་དང་ལྡན་པ་ཡིན་ནོ། ། ||| “Monks, those householders who properly venerate, honor, and attend to both their father and mother dwell with those worthy of receiving offerings.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
དགེ་སློང་དག་རིགས་ཀྱི་བུའི་ཕ་མ་གཉིས་ནི་རིགས་པའི་སྒོ་ནས་ཀུན་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་པ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Monks, from the perspective of the family, the father and mother of a child of noble family are those worthy of receiving offerings.
དགེ་སློང་དག་ཁྱིམ་གང་དག་ན་ཕ་མ་གཉིས་ལ་ལེགས་པར་རི་མོ་བྱེད་པ་དང་། ལེགས་པར་མཆོད་པ་བྱེད་པ་དང་། ལེགས་པར་གཡོག་བྱེད་པའི་ཁྱིམ་དེ་དག་ནི་མི་དང་ལྡན་པ་ཡིན་ནོ། ། ||| “Monks, those householders who properly venerate, honor, and attend to both their father and mother dwell with humans.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
དགེ་སློང་དག་རིགས་ཀྱི་བུའི་ཕ་མ་གཉིས་ནི་རིགས་པའི་སྒོ་ནས་མི་དང་འདྲ་བའི་ཕྱིར་རོ། ། ||| Monks, from the perspective of the family, the father and mother of a child of noble family are like humans.
དགེ་སློང་དག་ཁྱིམ་གང་དག་ན་ཕ་མ་གཉིས་ལ་ལེགས་པར་རི་མོ་བྱེད་པ་དང་། ལེགས་པར་མཆོད་པ་བྱེད་པ་དང་། ལེགས་པར་གཡོག་བྱེད་པའི་ཁྱིམ་དེ་དག་ནི་ལྷ་དང་ལྡན་པ་ཡིན་ནོ། ། ||| “Monks, those householders who properly venerate, honor, and attend to both their father and mother dwell with gods.
