༄༅༅། །རྒྱ་གར་སྐད་དུ།
ཨཱརྱ་ཨད་བྷུ་ཧ་དྷ་རྨ་པ་རྱཱ་ཡ་ནཱ་མ། བོད་སྐད་དུ།
འཕགས་པ་རྨད་དུ་བྱུང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས། ||| The Noble Marvelous Dharma Discourse
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན་བཞུགས་སོ། ། ||| The Blessed One was staying in Rājagṛha at the Bamboo Grove in the Kalandakanivāpa.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཆོས་གོས་དང་ཤམ་ཐབས་བགོས་ཏེ། ལྷུང་བཟེད་ཐོགས་ནས་རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་ཀྱི་ཕྱིར་ཞུགས་ཏེ། ||| One morning, the venerable Ānanda donned his Dharma robe and lower garment, took up his alms bowl, and went into Rājagṛha on his alms round.
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་དུ་མཐར་ཆགས་སུ་བསོད་སྙོམས་སྤྱོད་པའི་ཚེ་ཕྱོགས་ཤིག་ན་ཁང་པ་བརྩེགས་པ་སྒོ་བརྒྱད་ཅུ་ཡོད་ལ། བྱུག་པས་བྱུགས་པ། ||| As he was making his alms round through the city of Rājagṛha, the venerable Ānanda noticed, in a certain direction, a multistoried palace with eighty gateways.
གདུགས་དང་རྒྱལ་མཚན་དང་བ་དན་བསྒྲེང་བ་དར་གྱི་ལྡ་ལྡི་མང་པོ་དཔྱངས་པ་ཞིག་མཐོང་ནས། དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| It was plastered inside and out; parasols, banners, and pennants were hoisted; and it was adorned with many silken tassels.
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་གང་ལ་ལ་ཞིག་གིས་ཁང་པ་བརྩེགས་པ་འདི་ལྟ་བུ་བྱས་ཏེ། ཕྱོགས་བཞིའི་དགེ་སློང་གི་དགེ་འདུན་ལ་ཕུལ་བ་དང་། གང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་མཆོད་རྟེན་འཇི་བ་ལས་སྐྱུ་རུ་རའི་འབྲས་བུ་ཙམ་བྱས་ལ། ཁབ་ཙམ་གྱི་སྲོག་ཤིང་བཙུགས་ཏེ། རྒྱ་ཤུག་གི་ལོ་མ་ཙམ་གྱི་གདུགས་གསོལ་ནས། ནས་ཀྱི་འབྲུ་ཙམ་གྱི་སྐུ་གཟུགས་བྱས་ལ། ཡུངས་འབྲུ་ཙམ་གྱི་རིང་བསྲེལ་བཅུག་ན་དེ་གཉིས་ལས་བསོད་ནམས་ཤིན་ཏུ་ཆེ་བ་གང་ཡིན་སྙམ་མོ། །དེ་ཡང་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Seeing this, the venerable Ānanda thought, “If a faithful son or daughter of good family were to construct such a building and offer it to the saṅgha of monks in the four directions, or if someone were to erect for a thus-gone, worthy, completely perfect buddha a stūpa the size of a gooseberry fruit, provide it with a central pillar the size of a needle and a parasol the size of a jujube leaf, commission a statue the size of a grain of barley, and place in there a relic the size of a mustard seed, which of these two would have the greater merit?”
སྟོན་པ་ནི་བདག་གི་མངོན་སུམ་དུ་གྱུར། །བདེ་བར་གཤེགས་པ་ནི་བདག་གི་མངོན་སུམ་དུ་གྱུར་གྱིས། བཅོམ་ལྡན་འདས་ལ་བདག་གིས་དོན་འདི་ཉིད་གསོལ་ཏེ། ། ||| Then it occurred to the venerable Ānanda, “Since the Teacher is here with me, the Well-Gone One is here with me, I should ask the Blessed One to clarify this matter.
བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་ཇི་སྐད་བསྟན་པ་བཞིན་དུ་གཟུང་བར་བྱའོ་སྙམ་མོ། ། ||| As the Blessed One explains it, so I will remember it.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་བླངས་ཏེ། ||| Then the venerable Ānanda completed his alms rounds in the city of Rājagṛha and finished his meal.
