ཀླུའི་རྒྱལ་པོ་རྔ་སྒྲའི་ཚིགས་སུ་བཅད་པ། ||| The Verses of Nāga King Drum
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
དེ་བཞིན་གཤེགས་པས་རབ་བསྟན་པ། །བྱང་ཆུབ་སེམས་དཔའ་སྐྱེས་པའི་རབས། ། ||| The Thus-Gone One has spoken Of his past lives as a bodhisattva.
ཐམས་ཅད་ལེགས་པར་འདུས་ནས་སུ། །ཤིན་ཏུ་དང་བའི་སེམས་ཀྱིས་ཉོན། ། ||| As these stories have been carefully collected, Listen now with a faithful mind.
རྫོགས་པའི་སངས་རྒྱས་ལྷ་ཡི་ལྷ། །དེ་བཞིན་གཤེགས་པ་བཞུགས་པ་ན། ། ||| Once, when the perfect Buddha, the god of gods, The Thus-Gone One, was still alive,
དགེ་སློང་རྣམས་ནི་གཅིག་ལ་གཅིག །ཁ་སྟོབས་ལ་སོགས་རྣམས་ཀྱིས་འགྱིང་། ། ||| Some monks sought to get the better of each other, Through rhetoric and other means.
དགེ་སློང་ཚིག་ངན་འདོན་པ་ད་ག །དྲང་སྲོང་ཆེན་པོས་གསན་པ་ན། ། ||| The Great Sage overheard The negative words uttered by the monks.
དེ་ཕྱིར་ཐུབ་པས་དགེ་འདུན་རྣམས། །བསྡུས་ནས་འདི་སྐད་བཀའ་སྩལ་ཏེ། ། ||| So the Sage summoned the saṅgha And told everyone,
ཁྱེད་ཅག་ཁ་སྟོབས་ལ་སོགས་པས། །གཅིག་ལ་གཅིག་ནི་འཚེ་བྱེད་པ། ། ||| “You inflict harm on one another By rhetoric and other means.
ཁྱིམ་ནས་ཁྱིམ་མེད་རབ་བྱུང་དང་། །དེ་དག་འཐུན་པ་མ་ཡིན་ནོ། ། ||| Such actions are not suitable For those who have gone forth from home to homelessness.
རྟག་ཏུ་ཡང་དག་དགའ་བྱེད་པའི། །ཆོས་དྲུག་གང་ཡིན་ལ་འཇུག་པ། ། ||| “Engage in six practices That are sure to always bring joy.
འདི་ནི་ཁྱིམ་ནས་ཁྱིམ་མེད་པར། །རབ་ཏུ་བྱུང་བ་རྣམས་དང་འཐུན། ། ||| These are suitable For those who have gone forth from home to homelessness.
སེམས་ཅན་ཀུན་ལ་སྙིང་བརྩེའི་ཕྱིར། །འཚེ་བ་མེད་པར་ངས་བསྒོམས་ནསཇི་ལྟར་བྱང་ཆུབ་དོན་གཉེར་བ། །དགེ་སློང་ང་ལས་འདི་ཉོན་ཅིག ། ||| “Monks, hear from me How I cultivated nonviolence And strove for awakening, Out of compassion for all beings.
ཤེས་རབ་ལྡན་པའི་མི་ཡིས་འདི། །ཐོས་ནས་སྡིག་པ་རྣམ་སྤོངས་ལ། ། ||| “Wise persons who have heard this Will avoid negative actions,
གྲུབ་དང་བདེ་བ་ཐོབ་བྱའི་ཕྱིར། །དགེ་བའི་ཆོས་ལ་སྤྱད་པར་གྱིས། ། ||| And for the sake of success and happiness, Will engage in virtuous deeds.
སྔོན་གྱི་སྤུན་དྲུང་གྱུར་པ་ཡི། །ཀླུ་ཡི་རྒྱལ་པོ་གཉིས་བྱུང་བ། ། ||| “Once, there were two nāga kings Who were brothers.
གཅིག་གི་མིང་ནི་རྔ་ཞེས་བྱ། །གཉིས་པ་ཉེ་རྔ་ཞེས་བྱའོ། ། ||| The first was called Drum, And the second, Tambour.
གཉིས་ཀ་སྲོག་གཅོད་ལས་ལྡོག་ཅིང་། །ཚུལ་ཁྲིམས་ལྡན་ཞིང་དབང་ཆེན་གྲགས། ། ||| “They both abstained from killing, upheld morality, And were known to possess great powers.
ཀླུ་ཡི་སྐྱེ་གནས་ལ་སྨོད་ཅིང་། །མི་ཡི་སྲིད་པ་འདོད་པར་གྱུར། ། ||| Displeased with their birth as nāgas, They yearned for a human existence.
ཚུལ་ལྡན་མང་དུ་ཐོས་པ་ཡི། །དགེ་སྦྱོང་བྲམ་ཟེ་མཐོང་བ་དང་། ། ||| “Whenever they came across ascetics and priests Who were disciplined and learned,
མི་ཡི་ཚུལ་དུ་བསྒྱུར་ནས་ནི། །བསྙེན་བཀུར་དག་ཀྱང་བྱེད་པར་འགྱུར། ། ||| They transformed themselves into humans, To offer their service and respect.
ཟླ་བ་ཕྱེད་དང་ཚེས་བརྒྱད་དང་། །བཅུ་བཞི་བཅོ་ལྔ་གང་ཡིན་པ། །དེ་ལ་ཡན་ལག་བརྒྱད་པ་ཡི། །གསོ་སྦྱོང་ལ་ནི་ལེགས་མཉམ་འཇོག ། ||| “Twice a month, whether on the eighth, fourteenth, Or fifteenth day, They practiced the rite of restoring vows Involving the eight precepts.
དེ་གཉིས་སྔོན་གྱི་གནས་སྤངས་ནས། །ཡུལ་གཞན་ཞིག་ཏུ་ཕྱིན་པ་དང་། ། ||| “The two left their former home And journeyed to a new land,
དེ་དང་ཉེ་བའི་གནས་དེ་ན། །རྔ་སྒྲ་ཞེས་བྱའི་ཀླུ་གནས་སོ། ། ||| Where there lived, not far away, A nāga named Drumbeat.
ཀླུ་ཡི་སྐྱེས་མཆོག་སྤུན་གཉིས་པོ། །དེ་གཉིས་འོང་བར་དེས་ཤེས་ནས། ། ||| “Sensing the arrival Of the two fine nāga brothers,
ཁེངས་ཤིང་ཁྲོས་པའི་ཡིད་ཀྱིས་སུ། །དུ་བ་ཅན་གྱི་དབུགས་འབྱིན་ཅིང་། ། ||| His mind was filled with arrogance and anger, And he belched out a cloud of smoke.
ཁྱེད་གཉིས་ཆོས་སྤྱོད་མ་ཡིན་ཏེ། །གཡོན་ཅན་ཚུལ་ངན་འཆོས་པའོ་ཞེས། ། ||| “ ‘You two are not engaged in Dharma, But are deceitful, undisciplined hypocrites,’ he said.
རྔ་སྒྲས་ཚིག་ནི་རྩུབ་མོ་ཡིས། །ཡང་དང་ཡང་དུ་སྐྲོད་པར་བྱེད། ། ||| Drumbeat harassed them repeatedly With hurtful words such as these.
དམན་པས་བསྐྲད་པ་ཐོས་པ་དང་། །ཉེ་རྔ་རབ་ཏུ་ཁྲོས་གྱུར་ཏེ། ། ||| “Hearing abuse from someone as lowly as he, Tambour grew enraged.
དེ་ཚེ་ཕུ་བོ་རྔ་ལ་ནི། །ཚིག་རྣམས་ཀྱིས་ནི་གོ་བྱས་པ། ། ||| To his elder brother Drum, He explained the things he had heard.
ཀྱེ་རྔ་མི་ཡི་འཇིག་རྟེན་དག་འདི་ན། །ཚིག་ངན་མངོན་དུ་སྨྲ་བས་གདུང་བྱེད་ཅིང་། ། ||| “ ‘O Drum, in this world of humans, Hurtful words that cause much harm are spoken.
སྦལ་ཟན་ཆུ་ཡི་འགྲམ་ན་སྐྱེས་པ་ཡིས། །མཆེ་བ་གདུག་པས་བདག་ཅག་སྐྲོད་པར་བྱེད། ། ||| This toad-eater, born on the bank of a stream, Is driving us away with venomous fangs.
འདི་ནི་ཆུ་ནང་དུད་འགྲོ་རྣམས་ལ་འཚེ། །ཐང་ལ་མི་རྣམས་ལ་ཡང་འཚེ་བར་བྱེད། ། ||| “ ‘He harms both the animals who live in water And the humans who live on land.
གཙོ་བོ་གལ་ཏེ་བདག་ལ་བཟོད་མཆིས་ཀྱང་། །ཚིག་ངན་སྨྲ་ལ་ཡིད་ནི་བཟོད་མི་ནུས། ། ||| O Lord, though I may possess patience, My mind cannot tolerate such abusive words.
དེང་ནི་འདི་ཡི་གྲོང་ཁྱེར་དང་། །ཕོ་བྲང་གཉེན་འདུན་བཅས་བརླག་སྟེ། ། ||| “ ‘Let us now lay waste to his city, His palace, and his relatives and attendants.
རྔ་སྒྲ་གཏན་ནས་བླངས་ནས་སུ། །འདི་ནས་བདག་ཅག་འདོང་བར་བྱ། ། ||| Having overthrown Drumbeat, Let us then take leave of this place.’
ཀླུ་ཡི་རྒྱལ་པོ་སྟོབས་པོ་ཆེ། །དེ་ཡིས་ནུ་བོའི་ཚིག་ཐོས་ནས། ། ||| “Hearing the words of his younger brother, The mighty nāga king
ཡིད་ལ་འབབ་པར་བྱེད་པ་ཡི། །ཚིགས་བཅད་འདི་སྐད་སྨྲས་ཏེ་བསྒོ། ། ||| Instructed him By uttering these pleasing verses:
གང་གིས་ཁྱིམ་དུ་ཉིན་ཞག་འགའ་གནས་ཤིང་། །བཟའ་དང་བཏུང་བ་ལེགས་པར་བླངས་གྱུར་པ། །དེ་ལ་ཡིད་ཀྱིས་གནོད་པར་མི་བསམ་སྟེ ||| “ ‘Do not foster malice toward one In whose home you have stayed for few days, Or from whom you have received food and drink—
བྱས་པ་གཟོ་བ་སྐྱེས་བུ་དམ་པས་བསྔགས། ། ||| The virtue of gratitude is extolled by sublime beings.
ལྗོན་ཤིང་གང་གི་གྲིབ་མ་ཡིས། །ཡུད་ཙམ་ཞིག་ཀྱང་ལེགས་འགེབས་དེའི། །ལོ་མའང་བཅད་པར་མི་བྱ་ན། ། ||| “ ‘You would not cut off the leaves Of a tree that has provided you shade, No matter how briefly;
ཡལ་ག་ལྗོན་ཤིང་སྨོས་ཅི་དགོས། ། ||| Need we say anything of its trunk or branches?
ནགས་ཚལ་ཤིང་ནི་བཅད་དམ་བསྲེགས་ཀྱང་རུང་། །སླར་ཡང་སྐྱེ་འགྱུར་འདི་ལ་ཐེ་ཚོམ་མེད། ། ||| “ ‘Trees of the forest, whether felled or burned, Will grow again—of this there is no doubt.
ལག་པ་རློན་བཅད་ཕྱིར་ཡང་མི་སྐྱེ་ལྟར། །གྲོགས་ལ་འཁུ་བས་ཡུན་རིང་བདེ་མི་ཐོབ། ། ||| But just as hands, when chopped off, do not grow back, One who is hostile to his friends will find no lasting happiness.
སྐྱེ་བོ་ངན་པ་ཡུན་རིང་མཆོད་བྱས་ཤིང་། །བཟའ་བཏུང་ཞིམ་པོ་མང་པོས་ཕན་བཏགས་ཀྱང་། །དེས་ནི་ངེས་པར་གྲོགས་པོ་སྤོང་འགྱུར་ཏེ། ། ||| “ ‘A bad person will abandon his friends, No matter how long he is shown respect, Or served delicious food and drink—
གླང་ཆེན་གྱིས་ནི་ཀོའུ་ཤིའི་སྤྱིལ་བུ་བཞིན། ། ||| He is like an elephant in a grass hut.
ཇི་ལྟར་ཆུ་འགྲམ་ཤིང་ནི་འགྱེལ་འགྱུར་ལྟར། །མི་གང་བློ་ནི་གཡོ་ཞིང་འགྱུར་བྱེད་པ། །དེ་ཡི་མཛའ་བཤེས་བརྟན་པར་མི་འགྱུར་ཏེ ||| “ ‘Just as the trees on riverbanks will fall, Persons who are deceptive and unreliable Do not enjoy lasting friendship—
ཤིང་ཤུན་ཚོན་གྱིས་རས་དཀར་བཙོས་པ་བཞིན། ། ||| They are like white cloth simmered in plant dye.
གལ་ཏེ་མཁས་པས་དགྲ་བོ་དག །མི་དགའ་བར་ནི་བྱེད་འདོད་ན། ། ||| “ ‘Should the wise desire To cause displeasure to their enemies,
སེམས་ལ་སྐྱོན་ནི་མེད་བྱས་དང་། །དེ་ཉིད་ཀྱིས་ནི་དེར་གནོད་འགྱུར། ། ||| They must free their minds from negativities, For this hurts them just as much.
རྒྱ་མཚོ་དང་ནི་རི་རབ་དང་། །ས་རྣམས་བདག་གི་ཁུར་མིན་གྱི། །བྱས་པ་མི་གཟོ་གང་ཡིན་པ། །དེ་ནི་བདག་གི་ཁུར་ཆེན་ཡིན། ། ||| “ ‘The oceans, mountains, and lands Do not weigh us down. But not repaying kindness Does, in fact, weigh us down.
