༄༅། །རྒྱ་གར་སྐད་དུ། ཨལྤ་དེ་བ་ཏཱ་སཱུ་ཏྲ། བོད་སྐད་དུ།
ལྷའི་མདོ་ཉུང་ངུ་། ||| The Shorter Devatā Sūtra
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་ཏེ། དེ་ནས་ལྷ་ཞིག་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ ||| The Blessed One was staying at Jetavana, Anāthapiṇḍada’s park at Śrāvastī, when a divine being approached the Blessed One, paid homage by bowing its head to the feet of the Blessed One, and sat down to one side. Thereupon the divine being asked the Blessed One:
ལྷ་དེས་བཅོམ་ལྡན་འདས་ལ་ཞུ་བ་ཞུས་པ། ཚུལ་ཁྲིམས་གང་ལགས་སྤྱོད་པ་གང་། །ཡོན་ཏན་གང་ལགས་ལས་གང་གིས། །གནས་པ་ཇི་ལྟར་ཤེས་རབ་གང་། །སྐྱེ་བོ་གང་དག་མཐོ་རིས་མཆི། །ལྷ་ལ་ཐུགས་བརྩེ་ཉེར་བཟུང་ནས། ། ||| “With what discipline, what conduct, What qualities, what actions, What manner of living, and what wisdom Do beings go to the higher realms?” Touched by compassion for the divine being,
སྟོན་པས་དེ་ལ་ལུང་བསྟན་པ། །སྐྱེ་བོ་མཐོ་རིས་གང་འགྲོ་བ། །ལྷ་ཁྱོད་ང་ལ་རབ་ཏུ་ཉོན། ། ||| The Teacher told him: “O divine being, listen to me! These beings go to the higher realms:
སྲོག་གཅོད་པ་ལས་ཕྱིར་ལྡོག་ཅིང་། །ཁྲིམས་བཟུང་ཡང་དག་སྡོམ་ལ་དགའ། ། ||| “Those who turn back from killing, Who uphold the law and delight in restraint,
གང་དག་འབྱུང་པོ་མི་འཚེ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Who do not harm any beings— Those beings go to the higher realms.
གང་དག་མ་བྱིན་ལེན་སྤོང་ཞིང་། །སྦྱིན་པ་གཏོང་ལ་རྟག་དགའ་སྟེ། ། ||| “Those who abandon taking what is not given And always delight in giving,
རྐུ་བ་སྤོང་ཞིང་མི་རྐུ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Who abandon stealing and do not steal— Those beings go to the higher realms.
གཞན་གྱི་ཆུང་མའི་ཐད་མི་འགྲོ། ། ||| “Those who do not approach the spouses of others,
ལོག་པར་གཡེམ་པ་རྣམ་པར་སྤོང་། ། ||| Who abandon sexual misconduct,
བདག་གི་ཆུང་མས་ཆོག་སེམས་པ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Who are satisfied with their spouses— Those beings go to the higher realms.
གཞན་གྱི་དོན་ལ་རྐུ་བྱེད་དང་། །བདག་གི་ཕྱིར་དང་འཇིགས་པའི་ཕྱིར། །བརྫུན་གྱི་ཚིག་རྣམས་མི་སྨྲ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| “Those who do not tell lies, Either to steal in the interest of others, Or for their own sake, or out of fear— Those beings go to the higher realms. “Those who give up slander,
གྲོགས་པོ་རྟག་པར་འབྱེད་བྱེད་པ། །ཕྲ་མའི་ཚིག་རྣམས་རབ་སྤོང་ཞིང་། །གང་དག་འདུན་པར་རབ་དགའ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Which constantly separates friends, And delight in appreciation—
རྒྱགས་ལ་རྟེན་ཅིང་ཞེ་གཅོད་པ། །ཚིག་རྩུབ་དག་ནི་རྣམ་སྦྱོང་ཞིང་། །འཇམ་པོའི་ཚིག་ཏུ་གང་སྨྲ་བ། །སྐྱེ་བོ་དེ་དག་མཐོ་རིས་འགྲོ། ། ||| Those beings go to the higher realms. “Those who abandon hurtful harsh words, Spoken with contempt, And who speak with gentle words— Those beings go to the higher realms.
