༄༅། །རྒྱ་གར་སྐད་དུ། ཙནྡྲ་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཟླ་བའི་མདོ། ||| The Sūtra of the Moon (2)
དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Three Jewels!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། བཅོམ་ལྡན་འདས་ཡུལ་ཙམ་པ་ཅན་ན་འགྲོ་བ་པོའི་རྫིང་བུའི་འགྲམ་ན་བཞུགས་ཏེ། དེའི་ཚེ་ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་གྱིས་ཟླ་བའི་དཀྱིལ་འཁོར་ཐམས་ཅད་འོད་ཀྱིས་བཀབ་པར་གྱུར་ཏོ། ། དེ་ནས་ཟླ་བའི་དཀྱིལ་འཁོར་ན་གནས་པའི་ལྷ་གང་ཡིན་པ་དེ་སྐྲག་ཅིང་དངངས་ལ་མི་དགའ་བར་གྱུར་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Thus did I hear at one time. The Blessed One was dwelling on the bank of Traveler’s Pond in the country of Campā. At that time, the entire moon was covered by Rāhu, lord of the asuras. Then the god who dwells on the disk of the moon, frightened, terrified, and dismayed, approached the Blessed One, bowed his head to the Blessed One’s feet, and sat to one side. He then appealed to him in verse:
ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ལྷ་དེས་དེའི་ཚེ་ཚིགས་སུ་བཅད་དེ་གསོལ་པ། ཀུན་ལས་རྣམ་པར་རབ་གྲོལ་བའི། །སངས་རྒྱས་དཔའ་བོ་ཁྱོད་ཕྱག་འཚལ། ། ||| “I pay homage to you, Thoroughly liberated, heroic Buddha!
གནོད་པ་དག་དང་ཕྲད་གྱུར་པ། །བདག་གི་སྐྱབས་ནི་མཛད་པར་གསོལ། ། ||| I am in distress. Please grant me refuge! “Candramas took refuge
འཇིག་རྟེན་དགྲ་བཅོམ་བདེ་གཤེགས་ལ། །ཟླ་བ་སྐྱབས་སུ་མཆི་ལགས་ཀྱིས། །སངས་རྒྱས་འཇིག་རྟེན་ཐུགས་བརྩེ་རྣམས། །ཟླ་བ་ཐར་མཛོད་སྒྲ་གཅན་ལས། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། །སྒྲ་གཅན་ཟླ་བ་མུན་སེལ་བ། །ནམ་མཁའ་དག་ལ་འོད་བྱེད་ཅིང་། །ལམ་མེར་འདུག་ལ་དཀར་བ་དང་། རྣམ་པར་དག་པའི་འོད་ལྡན་པ། །བར་སྣང་དག་ལ་མ་བཟུང་བར། །སྐྱེ་དགུའི་སྒྲོན་དེ་མྱུར་དུ་ཐོང་། ། ||| In the Worthy One in the world, the Well-Gone One. Therefore, free the moon from Rāhu! Buddhas have compassion for the world.” The Blessed One said: “Rāhu! The moon dispels darkness. Illuminating the sky, It is radiant, Shining with white and pristine light.
དེ་ནས་རིངས་བཞིན་སྒྲ་གཅན་དེ། ། ||| Instead of seizing it in the sky, Instantly release the lamp of beings!”
ལུས་ཀྱང་རྔུལ་ཅིང་སྐྲག་གྱུར་ལ། །ནད་པ་བཞིན་དུ་བརྟད་པ་ཡིས། །ཟླ་བ་རྣམ་པར་གཏོང་བར་བྱེད། ། ||| Then Rāhu, in a hurry, Covered in sweat, agitated, And confused like a sick person, Released the moon.
དེ་ནས་རྣམ་པར་སྣང་བྱེད་ཀྱི་བུ་ཆེན་པོས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་རིངས་པ་བས་ཀྱང་རིངས་པར་ཟླ་བའི་དཀྱིལ་འཁོར་བཏང་བ་མཐོང་ངོ་། ། མཐོང་ནས་ ཀྱང་དེའི་ཚེ་ཚིགས་སུ་བཅད་དེ་ ||| When the great son of Virocana saw that Rāhu, lord of the asuras, had very swiftly released the moon, he asked him in verse:
སྨྲས་པ། ཅི་ཡི་ཕྱིར་ན་སྒྲ་གཅན་ཁྱོད། །ལུས་ཀྱང་རྔུལ་ཅིང་སྐྲག་གྱུར་ལ། །ནད་པ་བཞིན་དུ་བརྟད་པ་ཡིས། །རིངས་པར་ཟླ་བ་གཏོང་བར་བྱེད། ། ||| “Why did you, Rāhu, Covered in sweat, agitated, And confused like a sick person, Hurriedly release the moon?”
སྒྲ་གཅན་གྱིས་སྨྲས་པ། སངས་རྒྱས་ཚིགས་བཅད་འདི་བརྗོད་པས། །གལ་ཏེ་ཟླ་བ་མ་བཏང་ན། ། ||| Rāhu replied: “As the Buddha uttered that verse, If I had not released the moon,
