ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
གང་ལས་འཇིག་རྟེན་བླ་མ་བདེ་གཤེགས་ཐོས་པའི་སྒོ་ནས་རབ་སྙན་བརྟན་པའི་གསུང་ལྡན་གྱིས། །སེམས་ཅན་རྣམས་ལ་ཕན་པ་འབའ་ཞིག་བཞེད་ཕྱིར་བཤད་པ་རྣམ་པ་སྣ་ཚོགས་རང་ཉིད་ཀྱིས། །ལོག་པར་ལྟ་བའི་མུན་ནག་ཆེན་པོ་ཐིབས་པོར་འཐོམས་ཤིང་འཁྲུགས་པ་རྣམས་ལ་རབ་གསུངས་པ། །དེ་ཡི་མིང་ནི་ལས་རྣམ་བརྒྱ་པ་ཞེས་བྱ་ཡོངས་སུ་ཚང་བ་བདག་གིས་བཤད་ཀྱིས་ཉོན། ། ||| Listen well, for I have heard Of a doorway whence we may discern The world-guru, Gone to Bliss, Who wishes nothing but our benefit, As he parcels out a full account To those who wandered in, confused, From the vast, bleak wood of wrongful views. His sacred speech, so sound and sweet— This sūtra—is The Hundred Deeds.
སྤྱི་སྡོམ་ནི། ||| A General Outline of the Text Part One:
ཁྱི་མོ་དང་ནི་ཤིང་རྟ་དང་། །ཀ་ཙང་ཀ་ལ་བྱམས་མི་སྡུག །བྱ་དང་འཕྱེ་བོ་གང་པོ་དང་། །བུ་རྣམས་དང་ནི་བརྒྱ་བྱིན་ནོ། ། ||| “The Dog,” and Other Stories Part Two: “The Chariot,” and Other Stories Part Three: “The Story of Kacaṅkalā,” and Other Stories Part Four: “The Story of Maitrībala,” and Other Stories Part Five: “The Story of Virūpa ,” and Other Stories Part Six: “The Bird,” and Other Stories Part Seven: “The Story of Paṅgu,” and Other Stories Part Eight: “The Story of Pūrṇa,” and Other Stories Part Nine: “The Sons,” and Other Stories Part Ten: “Śakra,” and Other Stories
ཁྱི་མོ་མིག་ཆུང་རྫོགས་བྱེད་དང་། །སྒུར་གཉིས་འཆར་ཀ་རྒྱལ་མཚན་དང་། །བདེ་བྱེད་མ་དང་ནོར་བུའི་འོད། །སྣ་མའི་མེ་ཏོག་ང་བྱིན་དང་། །འདུས་མོ་དང་ནི་ཚེམ་བུ་མཁན། །ཁྱི་མོ་ཞེས་བྱ་བ་ནི། ||| 1. The Dog 2. The Story of Little Eyes 3. The Story of Pūraṇa 4. The Person with a Curving Spine: Two Stories 5. The Story of Udayin 6. Victory Banner 7. The Story of Kṣemā 8. The Story of Maṇiprabha 9. The Story of Sumati 10. Give It to Me! 11. The Story of She Who Gathers 12. The Tailor The Dog
དེའི་ཚེ་མཉན་དུ་ཡོད་པ་ན། ཁྱིམ་བདག་ཕྱུག་ཅིང་ནོར་མང་ལ་ལོངས་སྤྱོད་ཆེ་བ་ཡོངས་སུ་འཛིན་པ་ཡངས་ཤིང་རྒྱ་ཆེ་བ། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་ལྡན་པ། ||| When the Blessed One was in Śrāvastī there lived a certain householder, prosperous and wealthy, a person of vast and magnificent means, endowed with the wealth of Vaiśravaṇa—
རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་འགྲན་པ་ཞིག་གནས་ཏེམུ་སྟེགས་ཅན་ལ་དགའོ། ། ||| with wealth to rival Vaiśravaṇa’s—who was fond of philosophical extremists.
དེ་ནས་དེས་ཐབས་ཟླར་བབ་པ་ལས་ཆུང་མ་བླངས་ནས། དེ་དེ་དང་ལྷན་ཅིག་ཏུ་རྩེ་ཞིང་དགའ་ལ་དགའ་མགུར་སྤྱོད་དོ། ། ||| When the time came for him to marry he took a wife, and they enjoyed themselves and coupled.
དེ་རྩེ་ཞིང་དགའ་ལ་དགའ་མགུར་སྤྱོད་པ་ལས་ཕྱིས་དེའི་ཆུང་མ་ལ་བུ་ཆགས་ནས་ ||| As they enjoyed themselves and coupled, one day his wife conceived.
དེ་ཟླ་བ་དགུའམ་བཅུ་ལོན་པ་དང་། ཁྱེའུ་གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་ལ་མཛེས་པ། མདོག་བཟང་བ་གསེར་གྱི་ཁ་དོག་ཅན། མགོ་བོ་གདུགས་ལྟར་འདུག་པ་ལག་པ་རིང་བ། དཔྲལ་བའི་དབྱེས་ཆེ་བ། སྣ་མཐོ་བ་སྣ་ལེགས་པ་སྨིན་མ་སྟུག་པ་ཞིག་བཙས་སོ། ། ||| After nine or ten months had passed, she gave birth to a child who was well proportioned, pleasing to the eye, and beautiful, with glowing, golden skin, a well-rounded head, long arms, a broad brow, a fine and prominent nose, and eyebrows that met.
དེ་ནས་དེའི་བཙས་སྟོན་རྒྱས་པར་བྱས་ནས། རིགས་དང་འཐུན་པར་མིང་བཏགས་ཏེ། ||| At the elaborate feast celebrating his birth they named him according to their clan.
