འཕགས་པ་སངས་རྒྱས་ཀྱི་རྟོགས་པ་བརྗོད་པ་ཤེས་ལྡན་གྱི་མདོ། ||| An Account of the Noble Deeds of the Buddha The Sūtra of Jñānaka
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas.
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་ཡུམ་གྱི་དོན་དུ་ལྷ་རྣམས་ཀྱི་གནས་སུམ་ཅུ་རྩ་གསུམ་ན་ཤིང་ཡོངས་འདུ་ས་བརྟོལ་གྱི་དྲུང་ན་ལ་བ་དཀར་པོ་ལྟ་བུའི་རྡོ་ལེབ་ལ་བཞུགས་སོ། ||| The Blessed One was staying among the gods of the Heaven of the Thirty-Three for the benefit of his mother. He was seated in front of the Pāriyātra tree upon the Pāṇḍukambala rock.
།དེར་ལྷའི་བུ་ཞིག་ལ་འཆི་བའི་སྔ་ལྟས་ངན་པ་ལྔ་བྱུང་སྟེ། ||| There was a god there experiencing the five ominous signs of death:
ཕྲེང་རྒྱན་རྙིངས་པ་དང་། གོས་རྙིངས་པ་དང་། ལུས་དྲི་ང་བར་གྱུར་པ་དང་། མཆན་ཁུང་ནས་རྔུལ་འཛག་པ་དང་། རང་གི་སྟན་ལ་དགའ་བ་མེད་པར་གྱུར་ཏོ། །སྐྱེ་བ་ཡང་མཐོང་སྟེ། ||| his garlands had withered, his clothes had started to deteriorate, his body had started to smell, sweat dripped from his armpits, and he felt unhappy on his seat.
ཡངས་པའི་ཕག་གི་མངལ་དུ་སྐྱེ་བར་མཐོང་ངོ་། །དེས་དེ་མཐོང་ནས་མྱ་ངན་གྱིས་ཐེབས། སྨྲེ་སྔགས་འདོན། ||| This god foresaw his rebirth in the womb of a pig in Vaiśālī, causing him to be overcome with misery and cry out in woe.
བྲང་རྡུང་ཞིང་ངུ་ལ་ཤིན་ཏུ་མོང་མོང་པོར་གྱུར་ཏོ། ||| He beat his chest as he wept uncontrollably.
།དེ་ནས་ལྷའི་བུ་གཞན་ཞིག་ལྷའི་བུ་དེ་ག་ལ་བ་དེར་སོང་སྟེ། འདི་སྐད་ཅེས་སྨྲས་སོ། །ལྷའི་བུ་ཁྱོད་འཆི་བས་འཇིགས་སམ། ||| Another god approached him and asked, “Deva, is it death that you fear?”
སྨྲས་པ། ལྷའི་བུ་བདག་འཆི་བས་འཇིགས་སོ། །ལྷའི་བུ་དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Indeed, fellow deva,” he responded, “it is death that I fear.
བདག་ལྷ་རྣམས་ཀྱི་གནས་སུམ་ཅུ་རྩ་གསུམ་འདིར་ལྷའི་བཟའ་བ་ནི་ཟོས། ལྷའི་བཏུང་བ་ནི་འཐུངས། ལྷའི་བགོ་བ་ནི་བགོས་ན། ||| Well, fellow deva, I have eaten divine foods, imbibed divine drinks, and worn divine garments here among the gods of the Heaven of the Thirty-Three.
དེ་ནས་ཕྱིར་ཡངས་པའི་ཕག་གི་མངལ་དུ་སྐྱེ་བར་མཐོང་སྟེ། དེར་བདག་བཤང་བ་ཟ་ཞིང་མཚོན་གྱིས་འཆི་བར་འགྱུར་ཏེ། ||| Thus, as I behold my rebirth in the womb of a pig in Vaiśālī, I see that I will eat excrement and be killed by a blade.
ལྷའི་བུ་དེ་ལྟ་བས་ན་བདག་འཆི་བས་འཇིགས་སོ། །སྨྲས་པ། ||| These are the reasons, fellow deva, that I fear death.”
ལྷའི་བུ་ཁྱོད་འཆི་བས་མ་འཇིགས་ཤིག །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Do not be afraid of death, my fellow deva!
ལྷའི་བུ་འདི་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་ཡུམ་གྱི་དོན་དུ་སུམ་ཅུ་རྩ་གསུམ་གྱི་གནས་འདི་ན་ཤིང་ཡོངས་འདུ་ས་བརྟོལ་གྱི་དྲུང་ན་ལ་བ་དཀར་པོ་ལྟ་བུའི་རྡོ་ལེབ་ལ་བཞུགས་ཏེ། ||| Well, fellow deva, the Blessed One—the thus-gone, worthy, perfect Buddha—is residing here in the Heaven of the Thirty-Three for the benefit of his mother. He is seated in front of the Pāriyātra tree upon the Pāṇḍukambala rock.
