༄༅། །དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་བསྟན་པའི་མདོ། ||| Teaching the Ripening of Virtuous and Nonvirtuous Actions
བམ་པོ་གཅིག་གོ། །
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་ཛེ་ཏའི་ཚལ་སྐྱབས་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། བྱང་ཆུབ་སེམས་དཔའ་ཚད་མེད་པ་དང་། ལྷ་དང་མིའི་འཁོར་མང་པོས་བསྐོར་ནས་ཆོས་སྟོན་ཅིང་བཞུགས་སོ། ། ||| The Blessed One was teaching the Dharma while residing at Jeta’s Grove, Anāthapiṇḍada’s park near Śrāvastī, surrounded by countless bodhisattvas and many divine and human followers.
དེ་ནས་དགའ་བོས་འགྲོ་བ་མང་པོའི་དོན་གྱི་ཕྱིར་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ད་ལྟར་འཇིག་རྟེན་གྱི་ཁམས་འདིར་རིགས་འཐུན་པའི་ནང་འདིར་སྐྱེས་པ་ལས། བཟང་པོ་ཡང་མཆིས། མི་སྡུག་པ་ཡང་མཆིས། དྲག་པོ་ཡང་མཆིས། ཞན་པ་ཡང་མཆིས། དབུལ་པོ་ཡང་མཆིས། ཕྱུག་པོ་ཡང་མཆིས། ཉོན་མོངས་པ་ཡང་མཆིས། བདེ་བ་ཡང་མཆིས། བཙན་པ་ཡང་མཆིས། མ་རབས་ཀྱང་མཆིས། ||| It was then that, for the benefit of many beings, Nanda asked the Blessed One, “Blessed One, presently in this world, among beings sharing similar types of rebirths, some are beautiful while others are ugly; some are powerful while others are weak; some are rich while others are poor; some are afflicted while others are at ease; and some are mighty while others are wicked. “
སྐད་ནི་མི་མཚུངས། ཚིག་ནི་མི་འཐུན། ||| Their voices are dissimilar and their words unalike.
ལ་ལ་ནི་ལོ་བརྒྱ་ལོན་ནས་འཆི་བ་ཡང་མཆིས། ལ་ལ་ནི་སུམ་ཅུའམ། བཅུ་ལོན་ནས་འཆི་བ་ཡང་མཆིས། ||| Some die at the age of one hundred, while others die at the age of thirty, or even ten.
ལ་ལ་ནི་བྱད་བཞིན་བཟང་ཡང་དབུལ་ལ། ལ་ལ་ནི་མི་སྡུག་པ་ལ་ཕྱུག་པ་ཡང་མཆིས། ||| Some have lovely faces yet are poor, while others are ugly yet rich.
ཉམས་རྩལ་ཆེ་བ་ནི་མ་རབས་ཀྱི་ནང་ན་ཡང་མཆིས། ཉམས་རྩལ་ཆུང་ལ་གྲལ་མཐོ་བ་ཡང་མཆིས། ||| Some among the wicked are talented, while others within the high class are untalented.
ལ་ལ་ནི་ཉོན་མོངས་ལ་ཚེ་རིང་བ་ཡང་མཆིས། ལ་ལ་ནི་སྐྱིད་ཅིང་ཚེ་ཐུང་། ||| Some are afflicted yet have long lives, while others are happy yet have short lives. “
ལ་ལ་ནི་ལེགས་པར་སྤྱོད་པ་ལ་བྱུར་དང་ཕྲད། ལ་ལ་ནི་མི་དགེ་བ་སྤྱོད་པ་ལ་ལེགས་པའི་དོན་དུ་འགྱུར་བ་ཡང་མཆིས། ||| Some encounter misfortune upon performing good deeds, while others perform nonvirtuous actions and have them turn into meritorious benefits.
དཀར་ཞིང་ཤ་བཟང་ལ་མིག་ཡོ་བ་ཡང་མཆིས། ལ་ལ་ནི་སྔོ་ཞིང་གནག་ལ་མདངས་དང་ལྡན་པ་ཡང་མཆིས། ||| Some are of fair complexion yet are cross-eyed, while others are dark in tone yet full of luster.
ལ་ལ་ནི་ལུས་ཆུང་ཞིང་ཐུང་ལ་སྙིང་རྩལ་དང་ལྡན་པ་ཡང་མཆིས། ལ་ལ་ནི་ཆེ་ཞིང་རིང་ཡང་གཞན་གྱི་བྲན་གཡོག་བགྱིད་པ་ཡང་མཆིས། ||| Some are short and small yet possess courage, while others are big and tall yet work as servants.
ལ་ལ་ནི་བུ་ཚ་མང་བ་ཡང་མཆིས། ||| Some have many children, while others are childless.
