༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན། རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་ཏེ། ||| The Blessed One was dwelling at Śrāvastī in Jetavana, Anāthapiṇḍada’s park.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྔ་དྲོའི་དུས་སུ་ཆོས་གོས་དང་ལྷུང་བཟེད་ཐོགས་ནས་མཉན་ཡོད་དུ་བསོད་སྙོམས་ལ་ཞུགས་སོ། ། ||| One morning, the venerable Ānanda put on his robes, took his alms bowl, and entered the city of Śrāvastī for alms.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་བསོད་སྙོམས་སྤྱད་དེ་ཟས་ཀྱི་བྱ་བ་བྱས་ནས་ཆུ་མིག་གཞན་ཞིག་ཏུ་ཆུའི་ཕྱིར་ཕྱིན་ནོ། །དེར་ཕྱིན་པ་དང་། ||| Afterward, having walked his alms round and having had his meal, the venerable Ānanda went to a well for some water.
ཡང་དེའི་ཚེ་ཆུ་མིག་དེ་ལ་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ཞེས་བྱ་བ་ཆུ་འཆུ་ཞིང་འདུག་གོ། ། ||| At that moment there was an outcaste girl named Prakṛti drawing water at that well.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| The venerable Ānanda said to the outcaste girl Prakṛti, “Please give me some, sister.
སྲིང་མོ་བདག་ལ་ཆུ་བྱིན་ཅིག ། ||| I would like to drink some water.”
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཙུན་པ་ཀུན་དགའ་བོ་བདག་ནི་གདོལ་པའི་བུ་མོ་ལགས་སོ། ། ||| The outcaste girl Prakṛti replied to the venerable Ānanda, “I am an outcaste girl, Venerable Ānanda.”
སྲིང་མོ་རུས་དང་རིགས་འདྲི་བ་མ་ཡིན་གྱིས། ||| “Sister, I did not ask you for your family or caste,” said the venerable Ānanda.
འོན་ཀྱང་དེ་ནས་ཆུ་ཆུས་ལ་བྱིན་ཅིག་བཏུང་བར་བྱའོ། ། ||| “Rather, if you can spare some water, please give me some.”
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཆུ་བྱིན་ནོ། ། ||| The outcaste girl then gave some water to the venerable Ānanda.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ཆུ་འཐུངས་ནས་སོང་ངོ་། ། ||| After drinking the water, the venerable Ānanda set off.
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའི་བཞིན་དང་། ལུས་དང་། སྐད་གདངས་རྣམས་རབ་ཏུ་ལེགས་པར་མཚན་མར་བཟུང་སྟེ། ཚུལ་མ་ཡིན་པའི་ཡིད་ལ་བྱེད་པས་ཀུན་ཏུ་ཆགས་པ་སྐྱེས་པར་གྱུར་ཏེ། ||| Having closely and thoroughly taken in the features of the venerable Ānanda’s body, face, and voice, the outcaste girl Prakṛti became engrossed in shallow thoughts.
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཁོ་མོའི་འདོད་པ་སྐྱེས་ན། ||| Full of desire, she thought, {M.2} “I wish that the noble Ānanda were my husband.
