༄༅། །རྒྱ་གར་སྐད་དུ། པཉྩ་ཤིཀྵྱཱ་ནུ་སྃ་ས་སཱུ་ཏྲ། བོད་སྐད་དུ།
བསླབ་པ་ལྔའི་ཕན་ཡོན་གྱི་མདོ། འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་གུས་པས་ཕྱག་འཚལ་ལོ། ། ||| The Sūtra on The Benefits of the Five Precepts Homage, with devotion, to the noble Three Jewels.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་གརྒ་ར་དང་། ཆུ་སྲིན་བྱིས་པ་གསོད་ཀྱི་རི་དང་། སྨན་གྱི་ནགས་རི་དགས་རྒྱུ་བའི་གནས་ན་བཞུགས་སོ། ། ||| The Bhagavān was staying in the Bhesakalā grove deer park at Suṃsumāragiri in the country of the Bhaggas.
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་སུ་ཆོས་གོས་གྱོན་ལྷུང་བཟེད་ཐོགས་ཏེ། ཕ་ན་ཀུ་ལའི་ཁྱིམ་བདག་གང་ན་ཡོད་པའི་གནས་དེར་གཤེགས་ཤིང་ཉེ་བར་གཤེགས་ཏེ། གདན་བཤམས་པ་ལ་བཞུགས་སོ། །དེ་ནས་ཡང་ཕ་ན་ཀུ་ལའི་ཁྱིམ་བདག་དང་། ||| Early one morning, the Bhagavān, having donned his outer robe and taken up his bowl, went to the dwelling of the householder Nakulapitā and, having approached, sat down on a prepared seat.
མ་ན་ཀུ་ལའི་ཁྱིམ་བདག་མོས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ཞིང་ཉེ་བར་སོང་ནས། བཅོམ་ལྡན་འདས་ལ་ཕྱག་བྱས་ཏེ། ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Then the householders Nakulapitā and Nakulamātā approached the Bhagavān, greeted him reverently, and sat down to one side.
ཕྱོགས་གཅིག་ཏུ་འཁོད་ནས། ཕ་ན་ཀུ་ལའི་ཁྱིམ་བདག་དེས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །གང་གི་ཚེ་བཙུན་པ་བཅོམ་ལྡན་འདས། མ་ན་ཀུ་ལའི་ཁྱིམ་བདག་མོ་བདག་ཁྱེའུའི་དུས་སུ་བུ་མོ་གཞོན་ནུ་མ་བླངས་ཏེ། མ་ན་ཀུ་ལའི་ཁྱིམ་བདག་མོ་ལས་ལོག་པར་གཡེམ་པའི་སེམས་མ་སྐྱེས་སོ། །ལུས་ཀྱི་སྐྱོན་གང་ཡང་མ་བྱུང་བ་ལས་བཙུན་པ་བཅོམ་ལྡན་འདས་མཐོང་བའི་ཆོས་འདི་ལ་ཕན་ཚུན་དུ་མཐོང་ངོ་། ། ||| Sitting to one side, the householder Nakulapitā addressed the Bhagavān: “Ever since, Venerable Bhagavān, the householder Nakulamātā was brought to me as a young girl when I was still a child, not even the thought of being unfaithful to Nakulamātā has occurred to me, and there has been no physical wrongdoing.
སྐྱེ་བ་གཞན་དུ་ཕན་ཚུན་དུ་མཐོང་བར་བདག་འདོད་དོ། ། ||| Bhagavān, this is our mutual experience in this life, and we wish to share this experience in other lives, too.”
མ་ན་ཀུ་ལའི་ཁྱིམ་བདག་མོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །གང་གི་ཚེ་བཙུན་པ་བཅོམ་ལྡན་འདས་ཕ་ན་ཀུ་ལའི་ཁྱིམ་བདག་གཞོན་ནུའི་དུས་སུ་བདག་གཞོན་ནུ་མ་བླངས་སོ། །ཕ་ན་ཀུ་ལའི་ཁྱིམ་བདག་ལས། འདོད་པས་ལོག་པར་གཡེམ་པའི་སེམས་མ་སྐྱེས་སོ། །ལུས་ཀྱི་སྐྱོན་མ་བྱུང་བ་གང་ལས་བཙུན་པ་བཅོམ་ལྡན་འདས་མཐོང་བའི་ཆོས་འདི་ལ་ཕན་ཚུན་དུ་མཐོང་ངོ་། ། ||| Then the householder Nakulamātā addressed the Bhagavān: “Ever since, Venerable Bhagavān, I was brought as a girl to householder Nakulapitā when he was still young, not even the thought of being unfaithful to Nakulapitā has occurred to me, and there has been no physical wrongdoing.
སྐྱེ་བ་གཞན་དུ་ཕན་ཚུན་དུ་མཐོང་བར་བདག་འདོད་དོ། ། ||| Bhagavān, this is our mutual experience in this life, and we wish to share this experience in other lives, too.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁྱིམ་བདག་དང་ཁྱིམ་བདག་མོ་གཉིས་པོ་ལ་འདོད་པ་ཡོད་པར་གྱུར་པས་མཐོང་བའི་ཆོས་འདི་ལ་ཕན་ཚུན་དུ་མཐོང་བར་གྱུར་ཏོ། །སྐྱེ་བ་གཞན་དུ་མཐོང་བར་འགྱུར་རོ། ། ||| Then the Bhagavān said, “When a husband and wife both have that wish and have had this mutual experience in this life, they will share this experience in other lives, too.
གཉིས་པོ་དག་དད་པ་མཉམ་པ་དང་། ཚུལ་ཁྲིམས་མཉམ་པ་དང་། གཏོང་བ་མཉམ་པ་དང་། ཤེས་རབ་མཉམ་པ་རྣམས་ཀྱིས་མཐོང་བའི་ཆོས་འདི་ལ་ཕན་ཚུན་དུ་མཐོང་བར་གྱུར་ཏོ། །སྐྱེ་བ་གཞན་དུ་མཐོང་བར་འགྱུར་རོ། ། ||| By being equal in faith, equal in ethical discipline, equal in generosity, and equal in wisdom, both of you have had this mutual experience in this life, and you will share this experience in other lives, too.”
ཡང་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏེ། གཉིས་ཀ་དད་དང་ཆོས་ཚིག་དང་། །མཉམ་དང་ཆོས་ཀྱིས་འཚོ་བ་དང་། །ཕན་ཚུན་དུ་ནི་དགའ་བའི་ཚིག །དེ་ལྟར་སྐྱེས་པ་བུད་མེད་གཅིག །ནོར་མང་དང་ནི་ལྡན་པ་དང་། ། ||| Then he spoke the following verses: “A man and woman like this, Who speak to each other lovingly, Who are both faithful, generous, and self-controlled, And who live in accordance with the Dharma, “Will have abundant wealth And will be reborn in a good situation.
གནས་ནི་བཟང་པོར་སྐྱེ་བར་འགྱུར། །དགྲ་ནི་དེ་ལ་དགའ་བ་དང་། །གཉིས་ཀ་མཉམ་པའི་ཚུལ་ཁྲིམས་ཀྱིས། །འདི་ལྟར་ཆོས་ནི་སྤྱོད་པ་དང་། །གཉིས་ཀ་ཚུལ་ཁྲིམས་ལྡན་པ་དང་། །འདོད་ཅིང་འདོད་ལ་ཡི་རང་བས། །ལྷ་ཡི་གནས་སུ་དགའ་བར་འགྱུར། ། ||| Their enemies will become unhappy, And when both are equal in ethical discipline, “And have practiced the Dharma in this life With equal virtue and good conduct, They will next enjoy a deva world Where they will delight in sensual pleasures.
དེའི་ཕྱིར་བསླབ་པ་རྣམ་པ་ལྔ་པོ་བསྲུང་བར་བྱའོ། །འདི་ལྟ་སྟེ། ||| “Therefore, one should guard the five precepts.
སྲོག་གཅོད་པ་སྤོང་བ་དང་། མ་བྱིན་པར་ལེན་པ་སྤོང་བ་དང་། འདོད་པས་ལོག་པར་གཡེམ་པ་སྤོང་བ་དང་། བརྫུན་དུ་སྨྲ་བ་སྤོང་བ་དང་། མྱོས་པར་འགྱུར་བའི་ཆང་གི་བཏུང་བ་སྤོང་བའོ། ། ||| “These are (1) refraining from killing, (2) refraining from taking what has not been given, (3) refraining from sexual misconduct, (4) refraining from lying, and (5) refraining from drinking alcohol that leads to intoxication.
བསླབ་པ་ལྔ་པོ་འདི་ནི་བསྲུང་བར་བྱའོ། ། ||| These are the five precepts that one should guard.”
དེ་ནས་ཡང་དགེ་སློང་རྣམས་ཀྱིས་ཚུལ་ཁྲིམས་ལྔའི་ཕན་ཡོན་ཞུས་པ། གཞན་ཡང་བཙུན་པ་བཅོམ་ལྡན་འདས་སྲོག་གཅོད་པ་སྤངས་པའི་རྣམ་པར་སྨིན་པ་ཇི་ལྟར་ཤེས་པར་བགྱི། ||| The monks then inquired about the benefits of the five disciplines: “How else, Venerable Bhagavān, should the karmic fruition of refraining from killing be understood?
མ་བྱིན་པར་ལེན་པ་སྤངས་པའི་རྣམ་པར་སྨིན་པ་ཇི་ལྟར་ཤེས་པར་བགྱི། ||| How should the karmic fruition of refraining from taking what has not been given be understood?
འདོད་པས་ལོག་པར་གཡེམ་པ་སྤངས་པའི་རྣམ་པར་སྨིན་པ་ཇི་ལྟར་ཤེས་པར་བགྱི། ||| How should the karmic fruition of refraining from sexual misconduct be understood?
བརྫུན་དུ་སྨྲ་བ་སྤངས་པའི་རྣམ་པར་སྨིན་པ་ཇི་ལྟར་ཤེས་པར་བགྱི། ||| How should the karmic fruition of refraining from lying be understood?
མྱོས་པར་འགྱུར་བའི་ཆང་གི་བཏུང་བ་སྤངས་པའི་རྣམ་པར་སྨིན་པ་ཇི་ལྟར་ཤེས་པར་བགྱི། ||| And how should the karmic fruition of refraining from drinking alcohol that leads to intoxication be understood?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེ་རྣམས་ཀྱིས་དྲིས་པ་དེ་བསྟན་ཅིང་རྟོགས་པར་བྱ་བའི་ཕྱིར་བཀའ་སྩལ་པ། དགེ་སློང་དག་སྲོག་གཅོད་པ་ནི་སྦྲུལ་དུག་ཅན་དང་འདྲ་བར་བལྟ་བར་བྱའོ། ། ||| The Bhagavān responded to their questions so as to be well understood: “Monks, you should regard killing as being like a venomous snake.
