༄༅༅། །རྒྱ་གར་སྐད་དུ། སཱུརྱ་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཉི་མའི་མདོ། ||| The Sūtra of the Sun
འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་གུས་པས་ཕྱག་འཚལ་ལོ། ། ||| Respectful homage to the noble Three Jewels!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་རྒྱལ་བྱེད་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ། ། དེའི་ཚེ་ལྷའི་བུ་ཉི་མ། ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་འཛིན་གྱིས་བཟུང་ངོ་། ། ||| The Blessed One was dwelling in the Jeta Grove, Anāthapiṇḍada’s park in Śrāvastī. At that time the god Sūrya was seized by Rāhu, lord of the asuras.
དེ་ནས་ལྷའི་བུ་ཉི་མས་བཅོམ་ལྡན་འདས་རྗེས་སུ་དྲན་པ་ཡིད་ལ་བྱས་ཏེ། དེའི་དུས་སུ་ཚིགས་སུ་བཅད་པ་འདི་གསོལ་ཏོ། ། ||| Then the god Sūrya, recollecting and taking the Blessed One to heart, recited this verse:
སངས་རྒྱས་དཔའ་བོ་དེ་ལ་འདུད། །ཐམས་ཅད་མྱུར་དུ་གྲོལ་བར་གྱིས། །བདག་འདིའི་ཁ་རུ་བཅུག་པས་ན། །བདག་ནི་ཁྱེད་ལ་སྐྱབས་སུ་མཆི། ། ||| “I bow to the heroic Buddha. May you swiftly liberate all beings! As I have come into confinement I take refuge in you.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་ཉི་མའི་ཆེད་དུ། ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་འཛིན་ལ་ཚིགས་སུ་བཅད་པ་བཀའ་སྩལ་པ། ||| Then the Blessed One, for the sake of the god Sūrya, addressed Rāhu, lord of the asuras, with these verses:
སངས་རྒྱས་འཇིག་རྟེན་ལ་བརྩེ་བས། །དགྲ་བཅོམ་དེ་བཞིན་གཤེགས་པ་ལ། །ཉི་མ་སྐྱབས་སུ་སོང་བས་ན། །སྒྲ་གཅན་འཛིན་གྱིས་ཉི་མ་ཐོང་། ། ||| “Since buddhas have compassion for the world, Sūrya took refuge In the Worthy One, the Tathāgata. Therefore, Rāhu, set the sun free!
གང་ཞིག་མུན་པ་སྣང་བས་གསལ་བར་བྱེད། །རྣམ་སྣང་དྲག་པོའི་གཟི་བརྗིད་དཀྱིལ་འཁོར་ཅན། །ནམ་མཁའི་ཉི་མ་སྒྲ་གཅན་སྒྲིབ་མ་བྱེད། །ཉི་མ་འདི་ནི་སྒྲ་གཅན་གྱིས་ཐོང་ཤིག ། ||| “The sun, circle of mighty splendor, Illuminates darkness with light. Rāhu, do not conceal the sun in the sky! Set this sun free, Rāhu!”
དེ་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་འཛིན་གྱིས་ལྷའི་བུ་ཉི་མ་གྲོལ་བར་བྱས་ནས། སྔར་གྱི་གཟུགས་བཞིན་དུ་གང་སུ་ཞིག་གིས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་ཐགས་བཟངས་རིས་ཀྱི་དྲུང་དུ་སོང་ཞིང་སོང་ནས། སེམས་མི་དགའ་ཞིང་ཡི་མུག་པས་བ་སྤུ་ལངས་པར་གྱུར་ཏེ། ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ལྷ་མ་ཡིན་གྱི་དབང་པོ་སྒྲ་གཅན་འཛིན་ལ། ལྷ་མ་ཡིན་གྱི་དབང་པོ་ཐགས་བཟངས་རིས་ཀྱིས་ཚིགས་སུ་བཅད་པ་སྨྲས་པ། ||| Thereupon Rāhu, lord of the asuras, set the god Sūrya free and hurriedly approached Vemacitra, lord of the asuras. He then sat to one side, displeased, agitated, and with all his body hairs bristling. Vemacitra, lord of the asuras, now questioned Rāhu, lord of the asuras, in verse:
ཅི་ཕྱིར་ཡིད་ནི་སྐྲག་པར་གྱུར། ། སྒྲ་གཅན་འཛིན་གྱིས་ཉི་མ་ཐོང་། ། ||| “Why, Rāhu, did you release The sun in such a fright?
གཟུགས་ཀྱི་རྣམ་འགྱུར་ཀུན་དུ་ངན། །ཅི་ཕྱིར་འཇིགས་པས་འདི་རུ་ལྷགས། ། ||| You are a very miserable sight. Why did you approach in fear?”
དེས་སྨྲས་པ། སངས་རྒྱས་ཚིགས་བཅད་ཐོས་ནས་ནི། །བདག་གིས་ཉི་མ་མ་བཏང་ན། ། མགོ་བོ་ཚལ་པ་བདུན་འགས་ཤིང་། །འཚོ་བ་ལ་ནི་བདེ་བ་མེད། ། ||| He replied: “Had I, hearing the Buddha’s verse, Not then released the sun My head would have split into seven pieces And my life would be without happiness.”
།​ཉི་མའི་མདོ་རྫོགས་སྷོ།​། ||| This concludes “The Sūtra of the Sun.”
