འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་བརྒྱད་བརྒྱའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་བཞི་ཁྲི་ཉིས་སྟོང་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was staying at Vulture Peak Mountain by Rājagṛha, together with a great saṅgha of eight hundred monks, and with forty-two thousand bodhisattvas.
དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོ་ཞེས་བྱ་བ་བྱང་ཆུབ་སེམས་དཔའ་དགུ་ཁྲི་ཉིས་སྟོང་དང་ལྷན་ཅིག་ཏུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ཀུན་དུ་རྒྱས་པའི་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་སྤྱོད་པ་ཡོངས་སུ་དག་པ་དང་ལྡན་པ་ནས་ ||| At that time, a bodhisattva great being by the name Amalagarbha, accompanied by ninety-two thousand other bodhisattvas, set out from the world known as Immaculate Conduct—the buddhafield of the thus-gone, worthy, perfect buddha Saṃkusumita.
འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིའི་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ག་ལ་བ་དེར་སོང་ངོ་། ། ||| They traveled to Vulture Peak Mountain, here in this Sahā world, where the blessed, thus-gone, worthy, perfect buddha Śākyamuni dwelled.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོ་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཆེན་པོས་ཡོངས་སུ་བསྐོར་ཅིང་། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་མདུན་དུ་བདར་ནས་ནམ་མཁའ་ལས་འོང་བར་བཅོམ་ལྡན་འདས་ཀྱིས་གཟིགས་སོ། ། ||| As the bodhisattva great being Amalagarbha arrived in the sky, surrounded and attended by a great assembly of bodhisattvas, the Blessed One noticed him.
གཟིགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་འདི་སྙམ་དུ་དགོངས་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོ་འདི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ཀུན་དུ་རྒྱས་པས་ཀུན་ནས་སྒོའི་ལེའུའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡང་དག་པར་ཡོངས་སུ་གཟུང་བའི་ཕྱིར་འདིར་འོང་བར་གནང་སྟེ་བཏང་གིས། ||| As he caught sight of him, the Blessed One thought, “The bodhisattva great being Amalagarbha has been dispatched here by the thus-gone, worthy, perfect buddha Saṃkusumita in order to receive the Dharma teaching called The Exposition on the Universal Gateway.
ངས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་དག་བསྡུ་བར་བྱ་བར་ངེས་སོ་སྙམ་དུ་དགོངས་སོ། ། ||| Therefore, I, for my part, should gather the bodhisattvas.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགོངས་པ་དེ་ལྟ་བུ་དགོངས་ནས་དེས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་འཁོད་པ་དེ་དག་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིའི་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་ལྷགས་སོ། ། ||| Then, because the Blessed One formed this intent, all bodhisattva great beings residing in boundless, infinite worlds arrived at Vulture Peak Mountain here in this Sahā world to meet the Blessed One.
ལྷགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Upon arrival, they bowed their heads to the Blessed One’s feet and sat down to one side.
