འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ལེའུ་བཅུ་བཞི་པ་སྟེ། ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱཱ་ཡུཥྨཾ་ནནྡཾ་གརྦྷཱ་བ་ཀྲཱནྟི་ནིར་དེ་ཤ། བོད་སྐད་དུ།
འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Teaching to Venerable Nanda on Entry into the Womb
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas.
།འདི་སྐད་བདག་གི་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་ཏེ། ||| The Bhagavān was staying at the Jetavana pleasure grove of Anāthapiṇḍada in Śrāvastī.
དེ་ནས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ཕྱི་དྲོའི་དུས་ཀྱི་ཚེ་ནང་དུ་ཡང་དག་འཇོག་ལས་ལངས་ཏེ། དགེ་སློང་ལྔ་བརྒྱ་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ། ||| Now at that time, Venerable Nanda arose from his afternoon meditation and went to where the Buddha was seated together with five hundred monks.
ཐལ་མོ་སྦྱར་ནས་གུས་པས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་བྱས་ནས་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Having paid respect with palms joined and having worshiped at the Bhagavān’s feet, Nanda sat to one side.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་དགའ་བོ་དང་། དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ང་ལ་ཆོས་ཀྱི་རྣམ་གྲངས་ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། དོན་བཟང་པོ། གཅིག་པུ་མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་དཀར་བ། ཚངས་པར་སྤྱོད་པའི་ཆོས་འདི་ལྟ་སྟེ། མངལ་དུ་འཇུག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཡོད་ཀྱིས་ ||| Then the Bhagavān spoke to Venerable Nanda and the monks: “I have a teaching that is virtuous at the beginning, virtuous in the middle, virtuous at the end, excellent in meaning, unadulterated, perfect, pure, pristine, and conducive to being chaste, namely, the Dharma teaching called Entry into the Womb.
ལེགས་པར་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ||| Listen well and remember it.
ངས་ཁྱོད་ལ་རྣམ་པར་ཕྱེ་སྟེ་བསྟན་པར་བྱའོ། ||| I will explain it and teach it to you.”
།བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་དགའ་བོས་གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་ཐོས་པར་འཚལ་ལོ་ཞེས་གསོལ་པ་དང་། དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །དགའ་བོ་སེམས་ཅན་རྣམས་ནི་མངལ་དུ་འཇུག་པར་འདོད་པའི་ཚེ་རྒྱུ་དང་རྐྱེན་ཕུན་སུམ་ཚོགས་པར་གྱུར་ན་ནི་ལུས་ལེན་པར་འགྱུར་གྱི། གལ་ཏེ་ཕུན་སུམ་ཚོགས་པར་མི་གྱུར་ན་ནི་ལུས་ལེན་པར་མི་འགྱུར་རོ། ||| Venerable Nanda replied to the Bhagavān, saying, “I wish to hear what the Bhagavān says,” after which the Bhagavān addressed Venerable Nanda as follows: “Nanda, when sentient beings wish to enter a womb, if the causes and conditions are complete, they will receive bodies; but if the causes and conditions are not complete, they will not receive bodies. “
།དེ་ལ་རྐྱེན་དང་མི་ལྡན་པ་ཞེས་བྱ་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What does lacking conditions mean here?
ཕ་དང་མ་གཉི་ག་ཡང་ཆགས་པའི་སེམས་བྱུང་བར་གྱུར། བར་མ་དོའི་ཕུང་པོ་ཡང་མངོན་དུ་གྱུར་ཅིང་སྐྱེ་བའི་གནས་ཡོངས་སུ་ཚོལ་བར་བྱེད་ཀྱང་ཕ་མ་དེ་དག་གི་འདུ་འཕྲོད་སྔ་ཕྱིར་གྱུར་ཅིང་དུས་གཅིག་ཏུ་བྱུང་བར་མ་གྱུར་ཏམ། ||| It means that the mother and father both have a lustful thought; the antarābhava appears and desires the particular place of birth, but the coming together of the father and mother does not occur at the same time as that, whether early or late.
