འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མངོན་པར་གྲགས་པ། མངོན་པར་གྲགས་པ་མངོན་པར་ཤེས་པ་ཐོབ་པ། གཟུངས་ཐོབ་པ། རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་ཐོབ་པ། མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པ་ལྔ་སྟོང་ལ་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེ་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཙན་དན་བཟང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁ་ལོ་སྒྱུར་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁ་ལོ་སྒྱུར་བ་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་དཔལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་བྱེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་གཟི་བརྗིད་དང་ལྡན་ཞིང་ང་རོ་སྙན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འོད་བཀོད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གསལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེམས་ཅན་གྱི་སྙིང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེམས་ཅན་ཁ་ལོ་སྒྱུར་བ་དུལ་བ་དང་ལྡན་པ་དང་། བྱམས་པ་ལ་སོགས་པ་བསྐལ་པ་བཟང་པོའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཐམས་ཅད་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྔ་སྟོང་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was dwelling at Vulture Peak Mountain near Rājagṛha together with a saṅgha of 1,250 monks and five thousand renowned bodhisattva mahāsattvas—renowned for having attained the superknowledges, the retentions, the miraculous power of magical display, and acceptance that phenomena are unborn—such as the bodhisattva mahāsattva Siṃha, the bodhisattva mahāsattva Siṃhamati, the bodhisattva mahāsattva Fine Sandalwood, the bodhisattva mahāsattva Sārathi, the bodhisattva mahāsattva Mahāsārathi, the bodhisattva mahāsattva Prabhāśrī, the bodhisattva mahāsattva Radiant, the bodhisattva mahāsattva Endowed with Brilliant Light and Having a Melodious Voice, the bodhisattva mahāsattva Prabhāvyūha, the bodhisattva mahāsattva Clear Mind, the bodhisattva mahāsattva Essence of Beings, the bodhisattva mahāsattva Disciplined Charioteer of Beings, all the bodhisattva mahāsattvas of the Fortunate Eon, such as Maitreya, and other bodhisattvas such as Mañjuśrīkumārabhūta and so forth.
ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་དང་ཡང་ཐབས་ཅིག་གོ ། ||| Śakra, ruler of the gods, was also there with them.
མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་ཡང་ཐབས་ཅིག་གོ །རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་ཡང་ཐབས་ཅིག་གོ །ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། ||| Brahmā, the lord of this world Endurance, was there, too, as were the Four Great Kings.
ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། དྲི་ཟ་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དུ་མས་ཀྱང་ཡོངས་སུ་བསྐོར་ཏོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ནི་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ལ་རྟེན་ཅིང་བཞུགས་ཏེ། རྒྱལ་པོ་དང་། ||| Many gods, nāgas, yakṣas, asuras, garuḍas, gandharvas, kinnaras, and mahoragas also surrounded them.
བློན་པོ་ཆེན་པོ་རྣམས་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་དང་། གྲོང་རྡལ་དང་། ལྗོངས་ཀྱི་མི་རྣམས་ཀྱིས་ནི་གུས་པར་བྱས། བླ་མར་བྱས། བསྙེན་བཀུར་བྱས། མཆོད་པ་བྱས་སོ། ། ||| While the Blessed One was residing near the great city of Rājagṛha, kings, chief ministers, brahmins, householders, and people of the villages and countryside all paid respect, venerated, served, and made offerings to him.
བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་གོས་དང་། ཞལ་ཟས་དང་། གཟིམས་ཆ་དང་། གདན་དང་། སྙུན་གསོས་དང་། སྨན་ཟོང་ནི་བརྙེས། ||| The Blessed One received robes, food, bedding, seats, and medicines to cure the sick.
བཅོམ་ལྡན་འདས་ཀྱི་གྲགས་པ་དང་། སྙན་པ་དང་། ཚིགས་སུ་བཅད་པ་རྒྱ་ཆེན་པོ་ནི་མངོན་པར་འཕགས་ཏེ། འདི་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། ||| Extensive verses of praise further elevated the Blessed One’s fame and reputation.
སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་ནི་ཐམས་ཅད་མཁྱེན་པ། ཐམས་ཅད་གཟིགས་པ་དང་ལྡན་པ་སྟེ། ཐམས་ཅད་ནི་མཁྱེན། ཐམས་ཅད་ནི་གཟིགས། དེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་དང་ནི་ལྡན། དེ་བཞིན་གཤེགས་པའི་མི་འཇིགས་པ་བཞི་དང་ནི་ལྡན། ||| Thus the tathāgata, arhat, complete and perfect Buddha accomplished in knowledge and conduct, the Sugata, the knower of the world, the unsurpassed guide who tames beings, the teacher of gods and humans, the Blessed Buddha—the all-knowing and all-seeing one—knew all and saw all and was endowed with the ten strengths of a tathāgata, the four fearlessnesses of a tathāgata, and the four correct discernments.
